,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,ミッキーサウザンド,牡3,57.0,津村,古賀大,482(-8),4.8,2,美浦,2023107260,01092,ミッキーアイル,ミッキーラズベリー,キングカメハメハ,0.8275685441167694,3,-1.2352056695126477,12,-0.20694206194190953,4,-1.0119785346241756,6,0.059113213522857366,0.16502449040612313
1,2,2,パッサージュワイズ,牡3,57.0,菅原隆,天間,448(-4),206.6,15,美浦,2023109122,01129,ヴァンセンヌ,サイレントアスカ,ハーツクライ,-1.0178408354533675,14,-0.3497079134923779,2,-0.5226393164295631,12,-2.2112571082684824,13,0.017817407072193443,0.0038340636686804985
2,2,3,ピクシーゲイル,牡3,57.0,木幡育,松永康,488(+4),111.8,14,美浦,2023104811,01167,ダノンスマッシュ,エインセル,メイショウサムソン,-0.9224807557767626,13,-0.6201849999223648,4,-0.8957628607673473,15,-1.8713715889128504,12,0.025029657560819717,0.007085130178438202
3,3,4,ジャガーライズ,牡3,57.0,菊沢,伊藤圭,476(+2),6.9,3,美浦,2023102594,01161,パイロ,ハニーディスタフ,ゴールドアリュール,0.7674494956658615,4,-0.8674367050697405,10,-0.49679749503803095,10,-0.4592165130394034,3,0.1027415385465735,0.11479964549991174
4,3,5,フランシスガリバー,牝3,55.0,北村友,千葉,426(-7),22.4,10,美浦,2023100599,01102,モーリス,ヴィリア,ディープインパクト,-0.409944684365856,9,-1.6116885807531611,14,-0.5018865573365708,11,-1.121328791398457,8,0.05299005326610393,0.0353623908013121
5,4,6,ユイハホンキダゼ,牡3,57.0,大野,尾関,478(-6),9.2,5,美浦,2023104344,01096,ディープブリランテ,ネネグース,クロフネ,0.11528431696991641,6,-0.8839587029193335,11,-0.5868716488257119,13,-0.9990388685604717,5,0.0598830889895448,0.08609973412493381
6,4,7,メビウスロマンス,牝3,55.0,嶋田,矢嶋,460(-2),11.4,6,美浦,2023101477,01134,ニューイヤーズデイ,セレンディップ,ダイワメジャー,-0.15980753688908414,7,-0.3635549209047233,3,0.35517416086943326,1,-1.2559764381146,10,0.04631456891553441,0.06948399596047289
7,5,8,ヴェロシスタ,牡3,57.0,石川,池上,484(+4),20.0,9,美浦,2023106201,01150,ファインニードル,ナイトスプライト,タートルボウル,-0.33274450519157606,8,-0.6836479255621195,5,-0.28689544507874454,7,-1.0445766921650108,7,0.05721730118656918,0.03960587769746955
8,5,9,ダイユウレゾナンス,牝3,55.0,小崎,松永康,454(+14),98.3,13,美浦,2023101801,01152,ローレルゲレイロ,ダイユウドナテラ,クロフネ,-0.8162725022939896,12,-1.512178408523716,13,-0.6936096290188611,14,-1.5159952907696896,11,0.035710248568785775,0.00805816433315759
9,6,10,ジーティーニッツァ,牡3,54.0,▲上里,伊藤伸,452(+6),3.7,1,美浦,2023106331,01217,ミスチヴィアスアレックス,ドリームデュネット,ディープインパクト,2.448348618094133,1,-0.7412565742759132,7,-0.03863855656922484,2,0.144428040312224,2,0.18789082074663085,0.21408582539172727
10,6,11,ゼフィリア,牝3,55.0,原,岩戸,466(+2),26.0,11,美浦,2023107422,01184,サンダースノー,イフィゲニア,エピファネイア,-0.49186402361916604,10,-0.7123931241247867,6,-0.4875560708470037,9,-1.2016997281093729,9,0.048897842996345184,0.03046605976728427
11,7,12,ミエスタ,牝3,55.0,坂井,加藤征,484(+4),8.1,4,美浦,2023101394,01163,スワーヴリチャード,オアシスミラージュ,Oasis Dream,1.4317623724013806,2,-0.18834389884885172,1,-0.1534423127534573,3,0.1693909375508511,1,0.1926401519050814,0.09779229061103593
12,7,13,サトミノアカリ,牝3,53.0,△石田,鈴木伸,472(-3),16.9,8,美浦,2023103139,01203,シャンハイボビー,デヒアバーズ,デヒア,-0.6552821142729108,11,-0.8378083017339677,9,-0.25785595815501716,5,-2.413010222648732,14,0.014562107678988613,0.04687086118043734
13,8,14,ブルーダイヤシチー,牡3,54.0,▲佐藤,上原博,522(0),11.4,7,美浦,2023100349,01207,エスポワールシチー,スカイブルーダイヤ,ロードカナロア,0.2529435782202214,5,-0.744211833166584,8,-0.2752488988173081,6,-0.5739647137225092,4,0.09160339180107856,0.06948399596047289
14,8,15,ノーブルスアーク,牝3,51.0,★谷原,尾形,426(-14),66.3,12,美浦,2023103651,01219,シルバーステート,カーヴィシャス,シンボリクリスエス,-1.0371199676055685,15,-1.645779658921475,15,-0.36669050296060246,8,-3.064784937503619,15,0.007588607242893222,0.011947474418542851
