,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,,,ヴァーヴイレヴン,牡2,55.0,鮫島駿,小崎,,---.-,**,栗東,2024108319,01157,Jack Christopher,Turn and Bern,Bernardini,,,,,,
1,,,ヴィスタグロッサ,牝2,53.0,◇永島,高橋忠,,---.-,**,栗東,2024100632,01187,ファインニードル,アウトオブサイト,リアルインパクト,,,,,,
2,,,ウォーターアケビ,牝2,55.0,太宰,秋山,,---.-,**,栗東,2024105358,01037,レイデオロ,プレミアスコア,ハーツクライ,,,,,,
3,,,エイダンバローズ,牡2,55.0,団野,上村,,---.-,**,栗東,2024100451,01180,ロードカナロア,ターフウォー,War Front,,,,,,
4,,,コトテーラー,牝2,54.0,☆田山,緒方,,---.-,**,栗東,2024104829,01220,フィレンツェファイア,アルコセニョーラ,ステイゴールド,,,,,,
5,,,サンクサンス,牝2,55.0,松若,小栗,,---.-,**,栗東,2024103392,01154,American Pharoah,エリーズスマイル,Tapit,,,,,,
6,,,スティルラブハー,牡2,55.0,西村淳,杉山佳,,---.-,**,栗東,2024106517,01171,ミッキーアイル,ヒップホップスワン,Tiz Wonderful,,,,,,
7,,,セーズアマゾネス,牝2,53.0,◇今村,飯田,,---.-,**,栗東,2024102992,01193,ミッキーアイル,ヒシラストレディ,Posse,,,,,,
8,,,ファミーリエ,牝2,55.0,吉村,清水久,,---.-,**,栗東,2024103478,01216,キズナ,ベルオロール,Galileo,,,,,,
9,,,ポッドハンター,牡2,55.0,藤懸,前川,,---.-,**,栗東,2024105355,01138,ディスクリートキャット,シェクロエ,ノヴェリスト,,,,,,
