,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ショウナンライラ,牡3,57.0,富田,松下,464(-2),---.-,13,栗東,2023100277,1168,サートゥルナーリア,ブルーイリュージョン,Dubawi,-1.464056685396953,16,-1.5317749727081993,16,-1.0769266115331524,15
1,1,2,マテンロウノア,牡3,57.0,太宰,坂口,404(-10),---.-,14,栗東,2023102237,1037,レイデオロ,マテンロウディーバ,ディープインパクト,0.17880407899172504,7,-0.20744673902997482,4,-0.5091840024868008,9
2,2,3,イクヒロ,牡3,55.0,△柴田裕,小椋,462(-16),---.-,10,栗東,2023102290,1212,アルアイン,ルアス,タイキシャトル,-1.492821023570424,17,-1.5819812982972659,17,-1.071698507729647,14
3,2,4,チュウワメロディー,牡3,57.0,松若,小崎,460(-8),---.-,1,栗東,2023106766,1154,ミスターメロディ,チュウワプリンセス,スペシャルウィーク,0.3420630963686654,5,-0.2505407350527106,5,-0.35468855795444015,5
4,3,5,タイガーロード,牡3,57.0,酒井,大橋,458(-8),---.-,5,栗東,2023102989,1034,フォーウィールドライブ,アビイロード,ストリートセンス,0.37292641400133886,3,-0.16908134143477313,3,-0.3757868970023375,6
5,3,6,ドラムメジャー,牝3,53.0,△田山,東田,486(0),---.-,2,栗東,2023102185,1220,ビッグアーサー,ブラックフェアリー,ヴィクトワールピサ,-0.2255741599687489,9,-0.912883580992215,11,-0.4358988124836201,8
6,4,7,ヴェネラブル,牝3,55.0,藤懸,吉村,434(-2),---.-,12,栗東,2023102421,1138,ブラックタイド,マルーンドロップ,コンデュイット,-1.2476762538923087,14,-1.6703228978227438,18,-0.8264452832663863,12
7,4,8,ルナフィオーレ,牝3,55.0,西村淳,庄野,472(-10),---.-,3,栗東,2023104520,1171,シルバーステート,マレキアーレ,Pioneerof the Nile,-0.6300475197039719,10,-0.742470065414203,10,-0.8543927162705927,13
8,5,9,チョウダントツ,牝3,52.0,▲川端,羽月,474(0),---.-,17,栗東,2023101782,1195,ダンカーク,ミスシューケット,ルーラーシップ,-1.4131896795513668,15,-1.2471174794847764,14,-1.1961349385672118,17
9,5,10,ヤマトチャージ,牡3,57.0,角田和,安達,450(+8),---.-,16,栗東,2023103054,1186,フィレンツェファイア,マリアン,キンシャサノキセキ,-0.9821011495713714,13,-1.5006309749775704,15,-0.7097461815495402,10
10,6,11,スイートポメロ,牝3,55.0,菱田,森田,388(0),---.-,7,栗東,2023102133,1144,ダノンプレミアム,エレスチャル,ショウナンカンプ,0.8054798963981149,1,-0.13628473998104515,2,-0.048963657590376054,2
11,6,12,アドバンスモダン,セ3,55.0,◇永島,森秀,432(0),---.-,9,栗東,2023110089,1187,Modernist,Pioneerof New York,Pioneerof the Nile,-0.782825101414143,11,-1.215833679749013,13,-0.7105828145945952,11
12,7,13,モズヴイ,牡3,57.0,川田,藤岡健,454(0),---.-,4,栗東,2023105739,1088,モズアスコット,モズデコレーション,デクラレーションオブウォー,0.14672592482355318,8,-0.6980389048540079,9,-0.25936776021667446,3
13,7,14,ジャスティンカレラ,牡3,57.0,西塚,友道,462(0),---.-,15,栗東,2023102563,1200,エピファネイア,アントパール,Lope de Vega,-0.9386969394879362,12,-0.5811163675733122,8,-1.1913201655969914,16
14,7,15,メテオロイド,牡3,57.0,幸,宮地,454(+2),---.-,6,栗東,2023104173,732,カレンブラックヒル,ケアリイカイ,ディープインパクト,0.3200586401847215,6,-0.29173293949838447,6,-0.34912570380865,4
15,8,16,モズナツノジン,牡3,57.0,国分優,畑端,496(+2),---.-,18,栗東,2023105740,1125,モズアスコット,モズトレジャー,カリフォルニアクローム,-1.6433648972259147,18,-1.0595278049082537,12,-1.4851584252565366,18
16,8,17,ワイドカクゲン,牡3,57.0,吉村,杉山佳,484(-2),---.-,8,栗東,2023106320,1216,ビッグアーサー,ワイドチキチータ,ハービンジャー,0.7567334293258026,2,-0.48865591576753614,7,0.1099516637758099,1
17,8,18,レジーナテンペスタ,牝3,52.0,▲森田,前川,474(0),---.-,11,栗東,2023100392,1222,シルバーステート,ボールルーム,Storm Cat,0.34363615516361334,4,-0.1360596253672554,1,-0.41770284501221977,7
