,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ガットネロ,牝6,56.0,小沢,東田,492(-4),---.-,10,栗東,2020105073,1185,アメリカンペイトリオット,ブラックシュガー,ブラックタイド,0.1169568066724919,11,-0.004309032721141,2,-0.0404159798018437,3,58.7,55.9,59.8,2
1,2,2,エルサトアナ,牝4,56.0,池添,本田,426(0),---.-,3,栗東,2022100933,1032,カリフォルニアクローム,クイーンハーツ,キングカメハメハ,0.6670408902136716,8,-0.0004756262575621,10,-0.0038139507957813,14,43.8,41.7,47.8,6
2,3,3,サンドロナイト,牝5,56.0,北村友,茶木,460(0),---.-,7,栗東,2021110119,1102,Capitalist,Catwalk,Foxwedge,0.5891084299551725,9,-0.0004756262575621,8,-0.0146428180679501,7,46.8,48.4,46.8,7
3,3,4,ウチュウノセカイ,牡3,55.0,原,青木,498(-2),---.-,1,美浦,2023106665,1184,タワーオブロンドン,リッチクレマチス,ローレルゲレイロ,-0.2698742792622036,13,-0.0004756262575621,7,-0.1340001399893821,2,50.8,56.7,44.5,10
4,4,5,キープサインオン,牡4,58.0,岩田望,加藤征,478(0),---.-,9,美浦,2022103556,1174,ビッグアーサー,ブレッシングテレサ,マンハッタンカフェ,0.6990000589183928,7,-0.0025574713883539,5,0.0222594537590656,13,52.9,42.4,48.4,5
5,4,6,ヴィヴァクラウン,牡5,58.0,大野,杉浦,470(-2),---.-,5,美浦,2021101595,1096,サトノクラウン,セトノフラッパー,タイキシャトル,-1.097713781076768,14,-0.0109598037539903,6,-0.1400881432533893,6,52.0,49.1,45.5,9
6,5,7,ビーコング,牡5,58.0,松本,小手川,512(0),---.-,14,美浦,2021103595,1191,タリスマニック,タマモペンライト,ブラックタイド,-0.0854217180984484,12,-0.0109598037539903,14,0.0005718122298794,1,39.4,79.8,78.5,1
7,5,8,フェアリーライズ,牝3,53.0,黛,秋山,430(-2),---.-,11,栗東,2023102567,1109,インディチャンプ,インゴニャーマ,Kitten's Joy,1.2630839025508471,3,0.0070747361998612,12,0.0005509801868327,8,41.8,45.9,42.6,12
8,6,9,エクストラバック,牡5,58.0,鮫島駿,前川,514(0),---.-,6,栗東,2021110023,1157,Iffraaj,エクストラマイル,Frankel,0.9724091834616596,4,0.0070747361998612,1,-0.0398388386633743,9,78.0,44.9,57.9,3
9,6,10,シーグルロス,牝3,53.0,小林美,尾形,454(+4),---.-,4,美浦,2023100214,1206,フィレンツェファイア,ディヴァインクレア,ディープインパクト,0.7252915190712252,6,0.0009287233360444,9,-0.0103126189520547,5,45.1,49.7,46.1,8
10,7,11,ライツユーアップ,牝4,56.0,丹内,角田,454(-2),---.-,12,栗東,2022103527,1091,スワーヴリチャード,チェアユーアップ,エアジハード,0.821967773766028,5,0.0009287233360444,13,0.0031207350956409,12,40.4,42.9,41.2,14
11,7,12,クリエープキー,牝3,53.0,古川吉,牧,436(+2),---.-,8,美浦,2023103355,1015,ミッキーアイル,エルーセラ,Spirit One,1.541839410787615,1,0.0070747361998612,11,0.0392846014541363,4,42.7,55.4,44.1,11
12,8,13,ゴキゲンサン,牝6,56.0,岩田康,伊藤大,508(+6),---.-,13,美浦,2020106623,5203,リアルインパクト,マチャプチャレ,ヨハネスブルグ,1.3220893490445014,2,-0.0025574713883539,4,0.1088389252540594,11,53.0,43.1,42.3,13
13,8,14,ホワイトドラゴン,牡3,55.0,横山和,伊藤大,466(+4),---.-,2,美浦,2023106104,1140,ダノンキングリー,ピースオブラヴ,マイネルラヴ,0.3579231596671243,10,0.0009287233360444,3,-0.0613591686283501,10,54.4,44.1,54.4,4
