,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ゲンジ,牡4,58.0,田辺,尾形,426(0),---.-,3,美浦,2022105597,1075,オルフェーヴル,サクレディーヴァ,クロフネ,2.3365524175899326,1,0.559612439524161,1,0.7138864157924729,9,76.9,45.9,57.2,2
1,2,2,エクセルクラウン,牡3,54.0,菊沢,菊沢,484(0),---.-,7,美浦,2023106177,1161,サトノアラジン,ミシシッピコースト,Super Saver,0.6187866941981771,4,0.075147060477541,6,-0.652062462191485,3,50.1,52.8,53.8,3
2,3,3,ヤマニンヘルシェ,牡3,54.0,石川,辻,482(0),---.-,4,美浦,2023104361,1150,レッドファルクス,ヤマニンヌヌース,ディープインパクト,1.1843185655966866,2,0.2060540168846605,4,-0.1617516955345962,8,53.4,46.0,50.9,7
3,4,4,リリエンフェルト,牝5,53.0,▲石田,上原博,470(0),---.-,11,美浦,2021104927,1203,ルーラーシップ,リリカルホワイト,ダイワメジャー,-0.4641898026801712,8,-0.6702158354552247,11,-0.8884388135395783,11,41.0,45.4,40.4,11
4,4,5,ニホンピロロジャー,牡3,54.0,田口,緒方,442(+4),---.-,2,栗東,2023102994,1208,ロジャーバローズ,ニホンピロカフェ,ジャングルポケット,0.3439700536147296,5,-0.3408896024309351,2,-0.389807654931311,10,58.8,45.9,52.7,4
5,5,6,テイキットイージー,牡5,58.0,木幡巧,萱野,440(-4),---.-,9,美浦,2021101088,1162,ゴールドシップ,コスモマイルール,ルールオブロー,-0.2140312170739145,7,-0.6369227588918787,10,-0.6365984259346362,4,43.1,48.2,41.9,10
6,5,7,ストレートブラック,牝4,56.0,松岡,奥平,442(+6),---.-,6,美浦,2022103353,1085,トーセンラー,コスモメソッド,ヴィクトワールピサ,0.8878348970310892,3,0.0388642944888277,3,-0.2788221238508783,1,55.9,81.7,76.8,1
7,6,8,キロノヴァ,牡4,58.0,北村宏,大竹,436(+2),---.-,8,美浦,2022105289,1043,ミッキーアイル,カンビーナ,Hawk Wing,-0.467802383682123,9,-0.5981563704146144,8,-0.9950987364716988,2,46.9,54.7,51.3,6
8,6,9,リュクスパトロール,牝3,52.0,ゴンサルベ,加藤士,430(+8),---.-,5,美浦,2023105259,5675,ビーチパトロール,レイトブルーマー,ジャングルポケット,-0.879476134502557,12,-0.916296116522662,7,-1.035524093287488,6,48.5,46.1,50.2,8
9,7,10,エースフライト,牡3,54.0,戸崎圭,池江,506(-6),---.-,1,栗東,2023103287,5386,コントレイル,シスタリーラヴ,Bellamy Road,0.3376410645278213,6,-0.4826690446442097,5,-0.1960175928670654,5,50.7,48.2,51.4,5
10,7,11,オメガストリーム,牝4,56.0,丸田,田中勝,454(-2),---.-,10,美浦,2022105292,1117,アルアイン,キャットタング,Tapit,-0.8651416841482119,11,-0.732130189540635,9,-1.2799398240213744,7,43.2,46.1,43.9,9
11,8,12,ジャスティンライズ,セ5,55.0,▲石神道,大和田,524(+4),---.-,12,美浦,2021103237,1209,キズナ,ジアナズドリーム,Twirling Candy,-0.570141077750917,10,-0.6540886771201447,12,-1.0380327598367027,12,41.0,44.6,39.9,12
12,8,13,グランドフォレスト,牡5,55.0,▲上里,室井,462(-10),---.-,13,美浦,2021103651,1217,リアルインパクト,グランドウイズダム,キングカメハメハ,-1.2334038999518429,13,-0.8151335497897725,13,-1.6024015864925878,13,40.7,44.3,39.6,13
