,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ウィンターガーデン,牝5,55.0,☆舟山,井上,496(+2),---.-,7,栗東,2021105857,1221,リアルインパクト,リッチダンサー,Halling,-0.1892129146880323,7,0.0,6,-1.4382864811524898,6,48.6,47.6,45.9,6
1,2,2,ビーチイン,牝3,53.0,横山和,和田勇,420(0),---.-,3,美浦,2023105830,1140,ダノンプレミアム,アグアアスール,ロードカナロア,0.2193304618620804,4,0.0,2,-0.9604238612848892,2,55.2,52.0,55.4,3
2,3,3,キタノサリスカ,牝3,50.0,▲和田陽,羽月,430(+4),---.-,8,栗東,2023105977,1223,タイセイレジェンド,ブラウンキャビア,Kodiac,0.2032111113090459,5,0.0,8,-0.979278248671812,5,41.4,48.1,45.7,7
3,4,4,キャットテイル,牝4,52.0,★河原田,野中,424(+2),---.-,4,栗東,2022101678,1204,ディスクリートキャット,ピクシープリンセス,ディープインパクト,0.6168013562203833,1,0.0,4,-0.495512437428091,1,52.2,77.2,73.3,1
4,5,5,アリストクラシア,牝5,56.0,岩田望,吉岡,484(+2),---.-,1,栗東,2021105238,1174,ハーツクライ,マジェスティッククオリティ,Quality Road,0.4884444879205889,3,0.0,3,-0.6456481461053228,7,53.2,45.2,56.5,2
5,6,6,ガーネットフレア,牝3,53.0,鮫島駿,杉山佳,450(-2),---.-,5,栗東,2023107075,1157,ニューイヤーズデイ,スペクトロライト,ディープインパクト,-0.6663566841842331,9,-0.0140215476198475,7,-0.7010972699729621,8,46.3,44.0,42.5,8
6,7,7,ヒミノエトワール,牝4,56.0,武豊,宮地,470(0),---.-,2,栗東,2022102388,666,パイロ,ヒミノプリンセス,マンハッタンカフェ,-0.0775843826574819,6,-0.0140215476198475,5,-0.012425538493945,3,51.8,49.9,51.7,4
7,7,8,サウンドルーチェ,牝4,53.0,▲小林美,渡辺,456(0),---.-,6,栗東,2022105267,1206,ミッキーアイル,オッティマルーチェ,Fusaichi Pegasus,-1.1382585897543358,10,-0.0140215476198475,1,-1.2530687223569943,4,72.9,49.3,48.3,5
8,8,9,ゴールドヴィーナス,牝3,53.0,松本,森秀,458(0),---.-,10,栗東,2023105672,1191,ドレフォン,グラニーズチップス,ハーツクライ,-0.2456049485633839,8,0.0,9,-1.5042467844987186,9,40.9,43.4,41.0,9
9,8,10,シャンデヴィーニュ,牝3,53.0,北村友,柴田,446(+2),---.-,9,栗東,2023107384,1102,ミスターメロディ,シュペトレーゼ,ディープインパクト,0.52087241812512,2,0.0,10,-0.607718034949745,10,37.5,43.3,39.7,10
