,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ブランチアウト,牡3,57.0,太宰,昆,448(0),---.-,2,栗東,2023102357,1037,ブリックスアンドモルタル,アレス,ブラックタイド,1.4074000748191051,2,0.1749024423041345,1,0.2956573100573172,1,82.6,87.2,84.5,1
1,1,2,マサハヤルージュ,牝3,55.0,吉村,千田,428(-2),---.-,8,栗東,2023103357,1216,シャンハイボビー,エレベル,ディープインパクト,-1.0159274031162064,16,-0.7371636884891387,10,-0.7329178153610468,15,44.8,46.2,44.8,13
2,2,3,エリカアズーラ,牝3,55.0,西塚,友道,434(0),---.-,13,栗東,2023102622,1200,ロードカナロア,ラシグネア,Siyouni,0.7744243291408404,5,0.0045097667864001,14,-0.048222946713985,2,44.0,49.8,44.8,15
3,2,4,リュネヴィル,牝3,55.0,加藤,梅田,478(-6),---.-,16,栗東,2023103775,1156,ハービンジャー,サイモンミラベル,ダイワメジャー,-0.8316935498680451,15,-0.655275375646921,16,-0.6686327868699237,9,43.7,47.0,44.8,14
4,3,5,モンロワイヤル,牡3,57.0,西村淳,牧浦,458(0),---.-,1,栗東,2023100926,1171,フィレンツェファイア,サンドスラッシュ,Holy Roman Emperor,-0.0992201818604257,12,-0.1237725249192574,2,-0.641370882376089,7,59.1,47.5,58.8,2
5,3,6,グリミスティ,牝3,55.0,菱田,森田,436(-10),---.-,11,栗東,2023101308,1144,アルアイン,マリアンヌカフェ,マンハッタンカフェ,0.5933603138962463,6,0.1181314379556143,15,-0.3266050223977232,16,43.9,46.1,44.8,16
6,4,7,チヨ,牝3,51.0,△田山,鈴木孝,470(+14),---.-,5,栗東,2023107543,1220,Zoustar,Custard,Lonhro,0.3956746602273364,7,-0.0719332414654532,5,-0.2822759367047107,11,51.2,46.8,47.7,6
7,4,8,エングルマン,牡3,55.0,幸,西村,470(+8),---.-,4,栗東,2023110077,732,Peltzer,Didnt Even Kiss Me,Murtajill,-0.8191441791985342,14,-0.04140545076885,3,-1.3386774643381498,5,58.9,48.3,54.3,3
8,5,9,サンダーバード,牝3,53.0,◇今村,武幸,442(+6),---.-,3,栗東,2023105292,1193,エピファネイア,サロニカ,ディープインパクト,1.5323511084290855,1,0.3206241284703282,4,0.2392688126197278,4,51.3,49.2,47.9,5
9,5,10,メイショウユウゲン,牡3,54.0,▲森田,安達,436(+8),---.-,15,栗東,2023101282,1222,ダノンバラード,メイショウユウスゲ,マジェスティックウォリアー,0.1412917618631122,10,-0.2534221554703679,8,-0.2951789697967241,6,46.8,48.1,47.1,9
10,6,11,ワンダーエイド,牡3,57.0,秋山稔,吉村,440(-2),---.-,14,栗東,2023100457,1181,ノーブルミッション,ワンダーポピュレル,ケイムホーム,1.292516868884456,3,0.2502342581492867,13,0.1154345075464467,14,44.1,46.4,44.9,12
11,6,12,アリュウ,牝3,55.0,角田和,井上,442(-6),---.-,7,栗東,2023104938,1186,アドマイヤマーズ,ヒラボクウィン,ワイルドラッシュ,0.1760523026086197,9,-0.0178149353733319,7,-0.5271415149279788,10,47.2,46.9,47.1,8
12,7,13,オーマイラッキーン,牝3,53.0,◇永島,高橋康,484(-4),---.-,6,栗東,2023102060,1187,マテラスカイ,メイショウキラリ,マンハッタンカフェ,0.2481906021008238,8,-0.2095833665117442,12,-0.2538033376116332,12,44.7,46.7,45.0,11
13,7,14,ダノンプレリュード,牝3,55.0,富田,矢作,468(+2),---.-,12,栗東,2023107239,1168,キタサンブラック,マハゴニー,Storm Embrujado,0.1271211073139965,11,-0.0663914559802268,11,-0.5144709813088556,13,44.7,46.6,45.4,10
14,8,15,パラフローラ,牝3,55.0,松若,今野,424(0),---.-,10,栗東,2023105646,1154,ブリックスアンドモルタル,パラフレーズ,Pivotal,-0.1391833222305184,13,-0.6899525949317443,6,-0.047275863463071,3,48.0,49.5,50.6,4
15,8,16,シャロン,牝3,55.0,泉谷,杉山晴,430(-2),---.-,9,栗東,2023105372,1182,コントレイル,ヒミコ,American Pharoah,0.8151724526003798,4,-0.0154345741162006,9,0.0081887784136711,8,45.2,47.4,47.2,7
