,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ミランド,牡3,55.0,西村淳,小林,450(0),---.-,5,栗東,2023102836,1171,ゴールドドリーム,ラレッサングル,キングカメハメハ,0.6568514414092322,7,0.0656890088720542,10,-0.6635665028688399,4,48.8,52.4,47.4,11
1,1,2,バロニアル,牡3,55.0,藤懸,柴田,516(+8),---.-,8,栗東,2023103213,1138,ダノンスマッシュ,ラブフール,ゼンノロブロイ,1.0061910151069586,2,0.0517832964423219,9,-0.2632654359358325,3,48.9,53.1,47.1,12
2,2,3,アンティーム,牡3,55.0,国分恭,高橋忠,520(+24),---.-,2,栗東,2023106788,1124,エスポワールシチー,アンティグラビティ,エンパイアメーカー,1.6029873429873571,1,0.0870761022560561,2,0.0242923158408854,1,55.1,85.8,80.9,1
3,2,4,ブルーカミング,牡4,56.0,△柴田裕,牧浦,470(+10),---.-,16,栗東,2022104205,1212,ロジャーバローズ,ミーシャレヴュー,アグネスタキオン,0.3171953280918277,9,0.0429016665147868,16,-0.8090970365736319,15,30.3,44.7,31.5,16
4,3,5,ミッションルース,牡5,56.0,◇永島,平田,442(+6),---.-,14,栗東,2021101464,1187,リアルスティール,クローソー,ハービンジャー,-0.4955219851923805,14,-0.094686087386124,4,-0.5998492583754907,6,52.9,48.9,50.7,7
5,3,6,チャチャピンク,牡4,58.0,亀田,北出,468(-4),---.-,11,栗東,2022104176,1176,リオンディーズ,マーチャンテイマー,クロフネ,0.8050595232785318,5,0.0474875690952771,12,-0.4111749728625148,16,46.0,44.4,44.3,13
6,4,7,ニシノジェダイ,牡4,56.0,△田山,宮本,470(-12),---.-,3,栗東,2022106998,1220,ゴールドドリーム,スターペスユウコ,バトルライン,0.4982695467833032,8,0.0656890088720542,3,-0.8029168268896197,8,53.7,46.5,53.2,3
7,4,8,セルジュバローズ,牡3,55.0,吉村,池江,510(+8),---.-,6,栗東,2023103092,1216,サートゥルナーリア,ホワットアスポット,Arch,0.9889491256132854,3,0.0429016665147868,7,-0.2188082802965402,11,51.7,45.9,50.4,8
8,5,9,ポルトドール,牡6,58.0,角田和,小栗,470(-2),---.-,12,栗東,2020102728,1186,モーリス,レクレドール,サンデーサイレンス,0.9077959604431212,4,0.0429016665147868,13,-0.2901198249621518,13,44.4,45.3,43.5,14
9,5,10,クイノールト,牡3,55.0,幸,橋口,472(+4),---.-,9,栗東,2023107371,732,クリソベリル,ワシントンレガシー,クロフネ,-0.5394468723037754,15,-0.0182515657048601,8,-1.1514291763365974,2,49.4,53.4,48.5,9
10,6,11,バトゥカーダ,牡3,55.0,秋山稔,安達,492(-4),---.-,4,栗東,2023105708,1181,カレンブラックヒル,サンバホイッスル,サウスヴィグラス,0.1207622840243846,11,-0.0980409462953119,6,-0.0357873531982469,10,52.6,46.0,52.4,4
11,6,12,ブラックレジェンド,牡3,53.0,◇今村,寺島,450(-4),---.-,1,栗東,2023100297,1193,ダノンレジェンド,ララエクレリゼ,スペシャルウィーク,0.7096408566490492,6,0.0656890088720542,1,-0.617178974608516,12,79.9,45.5,56.2,2
12,7,13,モズプリヴェール,牡4,58.0,松若,森田,494(-6),---.-,7,栗東,2022102916,1154,モズアスコット,モズジャカランダ,Congrats,-0.3420514514388578,13,-0.0973693309780069,5,-0.446982134739306,7,52.8,48.1,51.3,5
13,7,14,ライラックデューン,牝4,56.0,長岡,緒方,466(+8),---.-,15,栗東,2022101473,1142,コパノリッキー,スターライラック,シニスターミニスター,-0.620356922567519,16,-0.0182515657048601,15,-1.222527089168235,14,42.2,44.8,43.1,15
14,8,15,ロードシュヴァリエ,牡4,58.0,太宰,森田,492(-10),---.-,10,栗東,2022102639,1037,シュヴァルグラン,アンダルシア,アルカセット,-0.2930171090338853,12,-0.0798167741283246,11,-0.5216963509331609,9,47.3,46.3,48.2,10
15,8,16,ルシャリオ,牡4,58.0,西塚,森田,498(-2),---.-,13,栗東,2022107248,1200,シルバーステート,スプレンダー,ファンタスティックライト,0.2378281000383815,10,-0.0798167741283246,14,-0.0552278927047402,5,44.0,48.9,51.3,6
