,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ヒートオンビート,セ8,60.0,石神深,青木,美浦,2017104936,01059,キングカメハメハ  ,マルセリーナ  ,ディープインパクト  
1,2,2,フェーレンベルク,牡5,60.0,高田,千葉,美浦,2020103875,01046,エイシンフラッシュ  ,エクラミレネール  ,マツリダゴッホ  
2,3,3,フレッチア,牡10,60.0,小野寺,木村,美浦,2015104699,01123,Dansili  ,ヴィアメディチ  ,Medicean  
3,3,4,スコラーリ,牡6,60.0,上野,萩原,美浦,2019100718,01087,トゥザワールド  ,ヒカリヴィグラス  ,サウスヴィグラス  
4,4,5,マイネルエール,セ6,60.0,大江圭,蛯名利,美浦,2019100794,01120,スクリーンヒーロー  ,マイネヒメル  ,ロージズインメイ  Roses in May(米)  
5,4,6,ローディアマント,セ5,60.0,伴,尾関,美浦,2020101429,01149,サトノダイヤモンド  ,ブロッサムレーン  Blossom Lane(英)  ,New Approach  
6,5,7,アサクサゲンキ,セ10,60.0,西谷誠,四位,栗東,2015110032,01005,Stormy Atlantic  ,Amelia  ,Dixieland Band  
7,5,8,ドゥラモンド,牡7,60.0,坂口,手塚久,美浦,2018105078,01211,ドゥラメンテ  ,シーズインクルーデッド  She's Included(米)  ,Include  
8,6,9,サイード,セ6,60.0,小坂,角田,栗東,2019103152,01063,キズナ  ,セレブラール  ,ボストンハーバー  Boston Harbor(米)  
9,6,10,ホッコーメヴィウス,セ9,60.0,難波,清水久,栗東,2016102442,01066,ダイワメジャー  ,ホッコーメモリー  ,ダンシングブレーヴ  Dancing Brave(米)  
10,7,11,ハーツシンフォニー,セ8,60.0,森一,辻,美浦,2017100360,01139,ハーツクライ  ,クラリネット  Clarinet(米)  ,Giant's Causeway  (米)  
11,7,12,インプレス,牡6,60.0,小牧加,佐々木,栗東,2019104899,01196,キズナ  ,ベアトリスII  Beatrice(英)  ,Dr Fong  (米)  
12,8,13,エコロマーベリック,セ5,60.0,水沼,岩戸,美浦,2020102902,01201,ハーツクライ  ,スターシップトラッフルズ  Starship Truffles(米)  ,Ghostzapper  
13,8,14,ブルメンダール,牡7,60.0,黒岩,国枝,美浦,2018105236,01072,モーリス  ,ブルーメンブラット  ,アドマイヤベガ  
