,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,エンデュミオン,牡7,62.0,小野寺,清水久,栗東,2017106153,01123,ヴィクトワールピサ ,ヒラボクビジン ,ブライアンズタイム Brian's Time(米) 
1,2,2,ブリヨンカズマ,牡5,60.0,伴,高橋文,美浦,2019105262,01149,クロフネ ,スプレンダークラン ,ルーラーシップ 
2,3,3,ルリアン,牡7,60.0,小牧加,佐々木,栗東,2017105517,01196,キズナ ,フレンチバレリーナ ,フレンチデピュティ French Deputy(米) 
3,4,4,クラップサンダー,牡5,60.0,黒岩,牧田,栗東,2019103278,01072,ジャスタウェイ ,ゲッコウ ,キングカメハメハ 
4,5,5,インディゴブラック,セ5,60.0,小坂,奥村豊,栗東,2019105143,01063,キタサンブラック ,カーニバルダクス ,Bernardini (米) 
5,6,6,クリノサンシャイン,牝7,58.0,江田勇,石毛,美浦,2017101355,01023,ベーカバド Behkabad(仏) ,クリノメダリスト ,ステイゴールド 
6,7,7,トランシルヴァニア,セ7,60.0,上野,田中剛,美浦,2017105667,01087,オルフェーヴル ,ワンダーレディアンエル Wonder Lady Anne L(米) ,Real Quiet 
7,7,8,ケンアンビシャス,牡6,60.0,草野,久保田,美浦,2018103796,01113,トゥザワールド ,モルフェキイ ,モルフェデスペクタ 
8,8,9,ピンポイントドロー,牡4,60.0,五十嵐,宗像,美浦,2020103003,01069,レッドファルクス ,ピリカクル ,オルフェーヴル 
9,8,10,エターナリー,牡7,60.0,石神深,池上,美浦,2017105027,01059,ゴールドアリュール ,タマユラ ,Tamayuz 
