,式別,馬番,配当,人気
202610010101,単勝,5,140,1
202610010101,複勝,5,110,2
202610010101,複勝,10,350,5
202610010101,複勝,6,1180,9
202610010101,枠連,5-8,480,2
202610010101,馬連,5-10,1410,4
202610010101,ワイド,5-10,640,6
202610010101,ワイド,5-6,1520,15
202610010101,ワイド,6-10,7370,36
202610010101,馬単,5→10,1960,5
202610010101,三連複,5-6-10,16440,37
202610010101,三連単,5→10→6,53840,130
202610010102,単勝,4,210,1
202610010102,複勝,4,110,2
202610010102,複勝,14,190,4
202610010102,複勝,6,110,1
202610010102,枠連,2-7,1020,3
202610010102,馬連,4-14,1410,5
202610010102,ワイド,4-14,380,4
202610010102,ワイド,4-6,150,1
202610010102,ワイド,6-14,440,5
202610010102,馬単,4→14,2270,7
202610010102,三連複,4-6-14,710,2
202610010102,三連単,4→14→6,5750,15
202610010103,単勝,2,180,1
202610010103,複勝,2,110,1
202610010103,複勝,7,170,3
202610010103,複勝,11,2460,12
202610010103,枠連,2-5,560,2
202610010103,馬連,2-7,550,2
202610010103,ワイド,2-7,280,2
202610010103,ワイド,2-11,5920,35
202610010103,ワイド,7-11,9820,45
202610010103,馬単,2→7,790,3
202610010103,三連複,2-7-11,25340,47
202610010103,三連単,2→7→11,54700,135
202610010104,単勝,5,320,1
202610010104,複勝,5,130,1
202610010104,複勝,9,220,5
202610010104,複勝,8,210,4
202610010104,枠連,5-7,940,3
202610010104,馬連,5-9,1650,6
202610010104,ワイド,5-9,670,7
202610010104,ワイド,5-8,540,5
202610010104,ワイド,8-9,820,10
202610010104,馬単,5→9,2950,9
202610010104,三連複,5-8-9,3810,11
202610010104,三連単,5→9→8,18130,49
202610010105,単勝,6,220,1
202610010105,複勝,6,110,1
202610010105,複勝,3,130,2
202610010105,複勝,7,140,3
202610010105,枠連,3-6,470,1
202610010105,馬連,3-6,570,1
202610010105,ワイド,3-6,230,1
202610010105,ワイド,6-7,250,2
202610010105,ワイド,3-7,540,7
202610010105,馬単,6→3,970,1
202610010105,三連複,3-6-7,990,1
202610010105,三連単,6→3→7,2990,1
202610010106,単勝,18,260,1
202610010106,複勝,18,160,1
202610010106,複勝,6,980,14
202610010106,複勝,3,890,13
202610010106,枠連,3-8,1930,8
202610010106,馬連,6-18,5990,20
202610010106,ワイド,6-18,2220,23
202610010106,ワイド,3-18,2080,20
202610010106,ワイド,3-6,5240,56
202610010106,馬単,18→6,8090,24
202610010106,三連複,3-6-18,52930,166
202610010106,三連単,18→6→3,165320,472
202610010107,単勝,15,250,1
202610010107,複勝,15,140,1
202610010107,複勝,7,280,4
202610010107,複勝,9,320,5
202610010107,枠連,4-8,790,3
202610010107,馬連,7-15,1560,4
202610010107,ワイド,7-15,760,4
202610010107,ワイド,9-15,880,5
202610010107,ワイド,7-9,1530,15
202610010107,馬単,15→7,2240,3
202610010107,三連複,7-9-15,6440,12
202610010107,三連単,15→7→9,22190,34
202610010108,単勝,1,140,1
202610010108,複勝,1,110,1
202610010108,複勝,5,130,2
202610010108,馬連,1-5,200,1
202610010108,ワイド,1-5,120,1
202610010108,ワイド,1-4,220,2
202610010108,ワイド,4-5,310,5
202610010108,馬単,1→5,270,1
202610010108,三連複,1-4-5,470,1
202610010108,三連単,1→5→4,1070,1
202610010109,単勝,12,1440,5
202610010109,複勝,12,350,5
202610010109,複勝,5,170,2
202610010109,複勝,8,410,7
202610010109,枠連,5-8,1160,5
202610010109,馬連,5-12,3240,12
