,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,アドアプローズ,牡5,60.0,上野,小手川,478(-6),22.5,9,美浦,2021107224,01087,ジャングルポケット,マーシフルレイン,キングカメハメハ
1,2,2,カルマンフィルター,牡5,60.0,草野,戸田,496(+4),6.7,3,美浦,2021104842,01113,スワーヴリチャード,カルマート,シンボリクリスエス
2,3,3,コトブキヘスペラス,牡6,60.0,小野寺,金成,480(+2),65.7,13,美浦,2020100209,01123,ハーツクライ,エーシンベロシティ,Lemon Drop Kid
3,3,4,テンプーシャオン,牡6,60.0,金子,和田勇,430(-6),81.2,14,美浦,2020102767,01052,ドレフォン,ウィズエモーション,クロフネ
4,4,5,ゴーツウキリシマ,牝6,58.0,黒岩,牧田,468(+1),12.6,5,栗東,2020109148,01072,ナムラタイタン,エイシンドナウ,グラスワンダー
5,4,6,シュハリ,牡6,60.0,大江圭,粕谷,464(+2),26.0,10,美浦,2020105031,01120,カレンブラックヒル,キシャリ,Kris
6,5,7,アルシミスト,セ5,58.0,△坂口,浅利,510(-10),13.5,6,美浦,2021105805,01211,オルフェーヴル,ミセスワタナベ,Tapizar
7,5,8,バンデルオーラ,牡7,60.0,伴,岩戸,490(+4),13.5,7,美浦,2019104915,01149,トーセンラー,マチカネハヤテ,サクラバクシンオー
8,6,9,アバットゥータ,牡4,57.0,▲井上,中竹,486(+8),6.1,2,栗東,2022101139,01151,ハービンジャー,グッディー,キングカメハメハ
9,6,10,ブランフォルテ,牡4,57.0,▲水沼,辻,484(-2),6.8,4,美浦,2022100527,01201,シルバーステート,トーセンバスケット,ブライアンズタイム
10,7,11,ロイガヴェーグル,牡6,60.0,中村,浜田,454(+8),61.7,12,栗東,2020103697,01101,サトノアラジン,レジェンドトレイル,フレンチデピュティ
11,7,12,ニシノブレイゼスト,牡4,60.0,五十嵐,高木,504(+2),13.5,8,美浦,2022107011,01069,シルバーステート,ニシノステディー,グランデラ
12,8,13,サトノドルチェ,セ7,60.0,江田勇,蛯名利,458(+8),31.5,11,美浦,2019105500,01023,オルフェーヴル,ラッドルチェンド,Danehill Dancer
13,8,14,グランナヴィール,牡5,60.0,難波,堀内,556(+16),2.9,1,美浦,2021101779,01066,ゴールドシップ,ウッドシップ,クロフネ
