,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,ヴォンドゥ,牝3,51.0,▲森田,小栗,424(-4),11.5,4,栗東,2023101810,01222,ルヴァンスレーヴ,キティ,Northern Afleet,-0.1682293895318886,5,-0.17156606607278496,7,-0.2702035430433874,6,-0.7944723139418048,9,0.0513395139602897,0.0681089815038044
1,2,2,オンザノアール,牝3,54.0,幸,佐藤悠,486(0),10.7,3,栗東,2023103399,00732,インディチャンプ,コーンドリー,Indian Charlie,0.19268143987454536,3,0.292522711870581,2,-0.3327792311415537,8,-0.16373222143917918,3,0.09646698262397305,0.07320124180315428
2,3,3,アーガイルショア,牝3,54.0,北村友,安田,504(0),11.5,5,栗東,2023103718,01102,ナダル,ベルプラージュ,キングカメハメハ,0.05030162680260647,4,-0.023775827206892794,6,-0.18035356106827855,2,-0.32929789743305093,5,0.08174749154407034,0.0681089815038044
3,3,4,サヨノパララックス,牡3,56.0,川須,羽月,432(-2),80.8,12,栗東,2023105140,01128,ミッキーアイル,ナリタアマリリス,ハーツクライ,-0.7478525814958626,13,-0.4479420782302361,12,-0.4746286060153267,12,-1.362132090736449,13,0.02910182629617765,0.00969372880314048
4,4,5,モノノケ,牝3,54.0,酒井,宮地,462(-8),50.0,9,栗東,2023100695,01034,マテラスカイ,ツインエンジェルズ,ハーツクライ,-0.6136316890526635,12,-0.2425454219145561,8,-0.36778320546957244,10,-0.9998704327633707,12,0.04180694982640705,0.015665065745875013
5,4,6,ダノンステート,牡3,56.0,角田和,千田,484(+2),15.4,6,栗東,2023105024,01186,シルバーステート,マダムヴェステル,Into Mischief,-0.3577663668891791,9,-0.5753278169085027,13,-0.5283352969714507,13,-0.9901727178959225,11,0.042214353956970284,0.05086060307102277
6,5,7,ミスヘンリー,牝3,52.0,△柴田裕,羽月,428(-2),59.8,11,栗東,2023100676,01212,ヘニーヒューズ,ミスパッション,ディープブリランテ,-0.2415421933374482,7,-0.341100015823485,9,-0.22198033446279344,4,-0.16703037792536626,4,0.09614934351920118,0.013097881058423924
7,5,8,レジェンダリーデイ,セ6,58.0,菱田,森田,534(-12),52.8,10,栗東,2020107018,01144,ダノンレジェンド,ハイウェイトゥグローリー,Cape Cross,-0.5017085906007756,10,-0.38185712366136654,10,0.009008187116885571,1,-0.6688508135184598,7,0.058211458030983806,0.014834342562381642
8,6,9,メラヴィリオーザ,牝6,53.0,▲川端,秋山,476(-6),85.2,13,栗東,2020101920,01195,ディーマジェスティ,メイクデュース,トウカイテイオー,-0.6103827322169785,11,-0.4383711106771549,11,-0.30266425713242306,7,-0.846617950207756,10,0.048730985096665645,0.009193113700630876
9,6,10,グラスゴー,牝3,53.0,☆田山,浜田,454(+2),20.7,7,栗東,2023103218,01220,モズアスコット,トモノメジェール,ゼンノロブロイ,-0.34867911749715247,8,0.1433347280040058,3,-0.21418865561864228,3,-0.698672929104996,8,0.056501099218533905,0.03783832305766911
10,7,11,ヒルノプーリア,牝3,54.0,秋山稔,北出,500(-2),2.1,1,栗東,2023106388,01181,ミスチヴィアスアレックス,ヒルノケアンズ,ハーツクライ,2.617888291521315,1,0.09728413252818055,5,-0.23658954811632152,5,0.16603446461641336,2,0.13415119528292663,0.372977755854167
11,7,12,ラヴネヴァーダイズ,牡3,56.0,松山,渡辺,478(+2),3.5,2,栗東,2023102131,01126,ミッキーアイル,モーレアモーレ,ジャイアントレッカー,1.837062709178714,2,0.12031800047119653,4,-0.38806577585544383,11,0.43009488913041677,1,0.17469260934248018,0.22378665351250018
12,8,13,タイセイブロウ,牡5,58.0,田口,平田,496(+2),22.6,8,栗東,2021104101,01208,キンシャサノキセキ,ギブユースマイル,エンパイアメーカー,-0.22098450282617918,6,0.37546834454325323,1,-0.3671877218698946,9,-0.3832934262113329,6,0.07745054441261857,0.03465722510149339
13,8,14,パワポケビー,牝7,56.0,中井,森田,518(0),98.2,14,栗東,2019107007,01141,アポロキングダム,ハイパーラッシュ,ワイルドラッシュ,-0.8871569039290533,14,-1.3266358557832174,14,-0.6556805890456252,14,-2.296197625448479,14,0.01143564688870214,0.007976102721932289
