,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,フレイムジョーカー,牡7,60.0,大江圭,岩戸,496(+2),18.3,7.0,美浦,2019105745,1120,ロージズインメイ,オヒア,ブラックタイド
1,2,2,ニシノインヴィクタ,牡5,60.0,伴,本間,nan,999.9,nan,美浦,2021100190,1149,ブリックスアンドモルタル,ニシノミストレス,ルーラーシップ
2,3,3,ニシノクードクール,牝4,57.0,▲水沼,武藤,454(+6),34.2,9.0,美浦,2022106999,1201,ホークビル,セイウンリリシイ,ダイワメジャー
3,4,4,メイショウブレゲ,牡7,60.0,中村,本田,478(0),9.0,6.0,栗東,2019104091,1101,ゴールドシップ,メイショウスイヅキ,パイロ
4,4,5,マルディランダ,牡6,60.0,上野,金成,492(+8),3.2,1.0,美浦,2020103063,1087,イスラボニータ,マルバイユ,Marju
5,5,6,エポカスピーガ,牝4,57.0,▲井上,田中剛,484(+2),23.5,8.0,美浦,2022101532,1151,エポカドーロ,インドリヤ,Stormy Atlantic
6,5,7,バトンロード,牡4,57.0,▲小林凌,粕谷,490(+4),122.6,11.0,美浦,2022103285,1177,ホッコータルマエ,ウイナーズロード,ケイムホーム
7,6,8,ブラックシールド,牡7,60.0,小牧加,小栗,472(+4),8.0,4.0,栗東,2019105197,1196,キタサンブラック,ゴールドエッセンス,キングカメハメハ
8,6,9,オーサムストローク,牡5,60.0,草野,伊藤圭,456(+4),6.8,3.0,美浦,2021100557,1113,エピファネイア,グランドクララ,Frankel
9,7,10,ヨシノヤッタルデー,牡5,60.0,黒岩,中竹,466(+2),82.8,10.0,栗東,2021102336,1072,ファインニードル,ナムラバイオレット,チーフベアハート
10,7,11,トラマンダーレ,セ6,58.0,△坂口,浅利,502(+2),10.6,5.0,美浦,2020103486,1211,ドゥラメンテ,テルアケリー,Tapit
11,8,12,スノーリン,セ4,60.0,江田勇,和田雄,458(-4),155.4,12.0,美浦,2022103588,1023,ノヴェリスト,レットイットスノー,ハーツクライ
12,8,13,ゴールデンステップ,牝5,58.0,高田,和田勇,502(+10),3.1,2.0,美浦,2021103555,1046,ブリックスアンドモルタル,ルミナスレッド,トーセンダンス
