,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,スマラグドス,牡6,60.0,田村,西園正,480(0),栗東,2020102798,01105,ハーツクライ,エメラルドスター,Mount Nelson
1,2,2,ハワイアンタイム,セ6,60.0,森一,昆,500(-2),栗東,2020101808,01139,ロードカナロア,ザマンダ,コマンズ
2,3,3,セイフウサツキ,牡4,59.0,難波,松永幹,472(+4),栗東,2022101461,01066,サトノクラウン,モンローライン,ダンスインザダーク
3,4,4,ファイツオン,牡5,60.0,小牧加,藤岡,506(-4),栗東,2021100476,01196,アルアイン,ソラコマチ,サクラバクシンオー
4,5,5,ペンティメント,牡6,60.0,伴,嘉藤,506(0),美浦,2020102641,01149,レッドファルクス,カイカヨソウ,ティンバーカントリー
5,6,6,タイセイジャスパー,セ7,60.0,上野,伊藤圭,496(-2),美浦,2019100135,01087,ヘニーヒューズ,プラセンティア,トワイニング
6,6,7,ヴァランセカズマ,牡9,60.0,大江圭,蛯名利,506(+8),美浦,2017105822,01120,モンテロッソ,トシザマキ,デュランダル
7,7,8,ノーブルクライ,牡6,60.0,五十嵐,田村,514(+6),美浦,2020102976,01069,ハーツクライ,ノーブルジュエリー,Smarty Jones
8,7,9,ホウオウスターツ,セ4,59.0,石神深,池上,470(+6),美浦,2022103528,01059,ダノンバラード,ツインクルスター,サクラバクシンオー
9,8,10,ラウダブル,牡5,57.0,▲井上,池江,516(0),栗東,2021104752,01151,キズナ,クイーンカトリーン,Acclamation
10,8,11,エンジョイドライブ,牡4,59.0,小野寺,宮本,472(+4),栗東,2022102713,01123,フォーウィールドライブ,プリンセスメイク,キャプテンスティーヴ
