,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,コスモアミマネラ,牡4,60.0,小坂,柄崎,498(+6),美浦,2021106768,01063,Study of Man,ヴァニティールールズ,New Approach
1,2,2,ゴーツウキリシマ,牝5,58.0,黒岩,牧田,464(+10),栗東,2020109148,01072,ナムラタイタン,エイシンドナウ,グラスワンダー
2,3,3,ハワイアンタイム,セ5,60.0,森一,昆,502(0),栗東,2020101808,01139,ロードカナロア,ザマンダ,コマンズ
3,3,4,シャンデルナゴル,牡5,60.0,中村,石坂,496(+2),栗東,2020103193,01101,サトノダイヤモンド,アガルタ,キングカメハメハ
4,4,5,フジフォンテ,セ6,60.0,石神深,粕谷,480(+2),美浦,2019105759,01059,ロージズインメイ,シチリアーナ,メイショウオウドウ
5,4,6,ネイチャーシップ,牡7,60.0,大江圭,根本,512(+10),美浦,2018102917,01120,ゴールドシップ,アルデグロリア,アルデバラン
6,5,7,テーオーサンドニ,牡6,60.0,小野寺,高柳大,472(-8),栗東,2019104079,01123,キタサンブラック,ポールポジション,Pivotal
7,5,8,スマラグドス,牡5,60.0,田村,西園正,482(+2),栗東,2020102798,01105,ハーツクライ,エメラルドスター,Mount Nelson
8,6,9,メイショウソムリエ,セ4,60.0,草野,蛯名正,506(-16),美浦,2021102980,01113,サトノダイヤモンド,シーサイドホーム,Storm Cat
9,6,10,ヒットアンドロール,牡4,60.0,難波,田中勝,464(0),美浦,2021104974,01066,ブリックスアンドモルタル,エオリアンハープ,キングカメハメハ
10,7,11,スティルシャイニン,牡3,56.0,▲水沼,天間,464(+18),美浦,2022103884,01201,メイショウボーラー,コウユーヒカリママ,ロックオブジブラルタル
11,7,12,ダノンロッキー,牡4,60.0,五十嵐,萩原,500(0),美浦,2021105654,01069,キズナ,ティファニーズオナー,Street Cry
12,8,13,ロードヴァレンチ,セ6,57.0,▲坂口,中舘,490(+2),美浦,2019103507,01211,エスポワールシチー,アンダルシア,アルカセット
13,8,14,ブラックバラード,セ4,60.0,伴,嘉藤,462(+4),美浦,2021103267,01149,ダノンバラード,メイショウグレア,ジャングルポケット
