,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,イーグルチョイス,牡3,55.0,◇今村,千田,512(-4),栗東,2023102672,01193,ダノンスマッシュ,ナスケンアイリス,フレンチデピュティ,-1.7559681527530486,9
1,1,2,サンエンジェルス,牝3,55.0,浜中,谷,410(-4),栗東,2023101315,01115,カリフォルニアクローム,ディーズハイエンド,ダイワメジャー,-1.5987356418848877,8
2,2,3,ラッキーヴォーグ,牡3,57.0,池添,牧田,486(0),栗東,2023105657,01032,タリスマニック,サンタレジーナ,タニノギムレット,-2.227764464200653,12
3,2,4,キタノコウセイ,セ3,57.0,角田和,畑端,454(0),栗東,2023104229,01186,セイウンコウセイ,キラステラ,ハービンジャー,-0.5149923886131961,4
4,3,5,ブランチアウト,牡3,57.0,古川吉,昆,440(-6),栗東,2023102357,01015,ブリックスアンドモルタル,アレス,ブラックタイド,-1.917867093252841,10
5,3,6,マイティキングダム,牡3,57.0,富田,加藤公,460(-2),栗東,2023101501,01168,ビッグアーサー,クリノエカテリーナ,スズカマンボ,-0.10498154602215999,3
6,4,7,ムーンライトダイヤ,牝3,55.0,秋山稔,河嶋,418(0),栗東,2023101844,01181,インディチャンプ,ダイヤーズブルーム,ヘニーヒューズ,0.09118991124406262,2
7,4,8,ティアラティアレ,牝3,55.0,国分優,梅田,420(0),栗東,2023102863,01125,ダノンキングリー,アシュレイリバー,Mr. Greeley,-2.367305887155035,13
8,5,9,タイガーロード,牡3,57.0,田口,大橋,468(-4),栗東,2023102989,01208,フォーウィールドライブ,アビイロード,ストリートセンス,-2.865590456933806,15
9,5,10,チヨ,牝3,50.0,▲田山,鈴木孝,460(0),栗東,2023107543,01220,Zoustar,Custard,Lonhro,-2.1452335960098354,11
10,6,11,アクアアイ,牝3,55.0,岩田望,四位,448(-2),栗東,2023106837,01174,ドレフォン,アドマイヤセプター,キングカメハメハ,0.11771640496129976,1
11,6,12,ワトルツリー,牝3,55.0,高杉,藤岡健,470(+4),栗東,2023110056,01213,Frankel,エリシェヴァ,Smart Strike,-1.4337011301267297,7
12,7,13,ダノンベルビュー,牝3,55.0,川田,坂口,430(+2),栗東,2023107102,01088,レイデオロ,ダノンファンタジー,ディープインパクト,-0.9626468994636165,5
13,7,14,アスターシャウルス,牝3,53.0,△柴田裕,中竹,402(-4),栗東,2023102795,01212,ハービンジャー,アスタービーナス,ディープインパクト,-3.562787064923511,17
14,7,15,ヴェルメロディ,牝3,55.0,吉村,福永,442(+16),栗東,2023106901,01216,モーリス,ヴィラ,ディープインパクト,-2.4964252804459792,14
15,8,16,ハピネスサンライズ,牝3,55.0,松若,東田,466(+2),栗東,2023100910,01154,ダノンスマッシュ,オークヴィル,タニノギムレット,-3.864267578815675,18
16,8,17,ルナティックブルー,牝3,55.0,小沢,今野,436(0),栗東,2023106517,01185,リオンディーズ,オーシャンティ,ダノンシャンティ,-2.8728733026101234,16
17,8,18,レインボーステート,牡3,57.0,坂井,茶木,444(+8),栗東,2023106943,01163,シルバーステート,カイルアコナ,キンシャサノキセキ,-1.3037376402803726,6
