,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ノアフェイス,牡4,57.0,▲坂口,武藤,美浦,2021107206,01211,アメリカンペイトリオット ,フォレスタレガーロ ,ダイワメジャー 
1,2,2,ポリトナリティー,牝4,57.0,難波,和田雄,美浦,2021100016,01066,エイシンヒカリ ,ポリリズム ,バチアー Bachir(愛) 
2,3,3,コスモゴレアドール,牡6,57.0,▲土田,土田,美浦,2019100741,01198,ゴールドシップ ,グワダラハラ Guadalajara(独) ,Acatenango 
3,3,4,ガンダルフ,牡7,60.0,伴,国枝,美浦,2018104907,01149,キングカメハメハ ,アメリ ,Distorted Humor (米) 
4,4,5,イチリュウオー,牡4,57.0,▲水沼,小西,美浦,2021100123,01201,バゴ Bago(仏) ,マールデルプラタ ,ステイゴールド 
5,4,6,フェーングロッテン,セ6,60.0,高田,宮本,栗東,2019105366,01046,ブラックタイド ,ピクシーホロウ ,キングヘイロー 
6,5,7,ワタシダケドナニカ,牡5,60.0,石神深,本間,美浦,2020103918,01059,マインドユアビスケッツ Mind Your Biscuits(米) ,トップスカーレット ,ダイワメジャー 
7,5,8,ネイチャーシップ,牡7,60.0,大江圭,根本,美浦,2018102917,01120,ゴールドシップ ,アルデグロリア ,アルデバランII Aldebaran(米) 
8,6,9,グラヴィテ,牝7,58.0,小牧加,藤野,栗東,2018103603,01196,ネオユニヴァース ,ファシネイト ,キングカメハメハ 
9,6,10,タイセイエピソード,牡6,60.0,上野,千葉,美浦,2019106390,01087,エピファネイア ,ラストメッセージ ,ジャングルポケット 
10,7,11,マルベリーシチー,牡5,60.0,金子,奥平,美浦,2020100684,01052,サトノアラジン ,ベルミュール ,キングカメハメハ 
11,7,12,ドライブアローカス,牡5,60.0,草野,戸田,美浦,2020103034,01113,キンシャサノキセキ ,プリンセスノンコ ,Orb 
12,8,13,グランサバナ,セ5,60.0,五十嵐,田村,美浦,2020103289,01069,ドレフォン Drefong(米) ,エンジェルフォール ,ジャングルポケット 
13,8,14,セファーラジエル,牡7,60.0,中村,高柳大,栗東,2018105131,01101,キズナ ,ダークサファイア ,Out of Place 
