,2015104471
peds_0,ヴィクトワールピサ
peds_1,バルドネキア Bardonecchia(愛)
peds_2,ネオユニヴァース
peds_3,ホワイトウォーターアフェア Whitewater Affair(英)
peds_4,Indian Ridge
peds_5,Rosa de Caerleon
peds_6,サンデーサイレンス Sunday Silence(米)
peds_7,ポインテッドパス Pointed Path(英)
peds_8,Machiavellian
peds_9,Much Too Risky
peds_10,Ahonoora
peds_11,Hillbrow
peds_12,Caerleon (米)
peds_13,Carose
peds_14,Halo
peds_15,Wishing Well
peds_16,Kris
peds_17,Silken Way
peds_18,Mr. Prospector
peds_19,Coup de Folie
peds_20,Bustino
peds_21,Short Rations
peds_22,Lorenzaccio
peds_23,Helen Nichols
peds_24,Swing Easy
peds_25,Golden City
peds_26,Nijinsky
peds_27,Foreseer
peds_28,Caro
peds_29,Pomme Rose
peds_30,Hail to Reason
peds_31,Cosmah
peds_32,Understanding
peds_33,Mountain Flower
peds_34,Sharpen Up
peds_35,Doubly Sure
peds_36,Shantung
peds_37,Boulevard
peds_38,Raise a Native
peds_39,Gold Digger
peds_40,Halo
peds_41,Raise the Standard
peds_42,Busted
peds_43,Ship Yard
peds_44,Lorenzaccio
peds_45,Short Commons
peds_46,Klairon
peds_47,Phoenissa
peds_48,Martial
peds_49,Quaker Girl
peds_50,Delta Judge
peds_51,Free Flowing
peds_52,スカイマスター
peds_53,West Shaw
peds_54,Northern Dancer
peds_55,Flaming Page
peds_56,Round Table
peds_57,Regal Gleam
peds_58,フォルティノ
peds_59,Chambord
peds_60,Carvin
peds_61,Sentinelle
