,2017100834
peds_0,スウェプトオーヴァーボード Swept Overboard(米)
peds_1,ミエノプリンプリン
peds_2,エンドスウィープ End Sweep(米)
peds_3,Sheer Ice
peds_4,ハービンジャー Harbinger(英)
peds_5,クラウンプリンセス
peds_6,フォーティナイナー Forty Niner(米)
peds_7,Broom Dance
peds_8,Cutlass
peds_9,Hey Dolly A.
peds_10,Dansili
peds_11,Penang Pearl
peds_12,スペシャルウィーク
peds_13,クラウンピース
peds_14,Mr. Prospector
peds_15,File
peds_16,Dance Spell
peds_17,Witching Hour
peds_18,Damascus
peds_19,Aphonia
peds_20,Ambehaving
peds_21,Swift Deal
peds_22,デインヒル
peds_23,Hasili
peds_24,Bering
peds_25,Guapa
peds_26,サンデーサイレンス
peds_27,キャンペンガール
peds_28,Seattle Slew
peds_29,クラシッククラウン
peds_30,Raise a Native
peds_31,Gold Digger
peds_32,Tom Rolfe
peds_33,Continue
peds_34,Northern Dancer
peds_35,Obeah
peds_36,Thinking Cap
peds_37,Enchanted Eve
peds_38,Sword Dancer
peds_39,Kerala
peds_40,Dunce
peds_41,Gambetta
peds_42,Ambiorix
peds_43,Dentifrice
peds_44,Native Charger
peds_45,Miss Barter
peds_46,Danzig
peds_47,Razyana
peds_48,Kahyasi
peds_49,Kerali
peds_50,Arctic Tern
peds_51,Beaune
peds_52,Shareef Dancer
peds_53,Sauceboat
peds_54,Halo
peds_55,Wishing Well
peds_56,マルゼンスキー
peds_57,レディーシラオキ
peds_58,Bold Reasoning
peds_59,My Charmer
peds_60,Mr. Prospector
peds_61,Six Crowns
