,2015100244
peds_0,ステイゴールド
peds_1,フリーヴァケイション Free Vacation(加)
peds_2,サンデーサイレンス Sunday Silence(米)
peds_3,ゴールデンサッシュ
peds_4,Fly So Free
peds_5,Miami Vacation
peds_6,Halo
peds_7,Wishing Well
peds_8,ディクタス Dictus(仏)
peds_9,ダイナサッシュ
peds_10,Time for a Change
peds_11,Free to Fly
peds_12,Far North
peds_13,Decision
peds_14,Hail to Reason
peds_15,Cosmah
peds_16,Understanding
peds_17,Mountain Flower
peds_18,Sanctus
peds_19,Doronic
peds_20,ノーザンテースト
peds_21,ロイヤルサッシュ
peds_22,Damascus
peds_23,Resolver
peds_24,Stevward
peds_25,Dancing Lark
peds_26,Northern Dancer
peds_27,Fleur
peds_28,Resound
peds_29,School Board
peds_30,Turn-to
peds_31,Nothirdchance
peds_32,Cosmic Bomb
peds_33,Almahmoud
peds_34,Promised Land
peds_35,Pretty Ways
peds_36,Montparnasse
peds_37,Edelweiss
peds_38,Fine Top
peds_39,Sanelta
peds_40,Worden
peds_41,Dulzetta
peds_42,Northern Dancer
peds_43,Lady Victoria
peds_44,Princely Gift
peds_45,Sash of Honour
peds_46,Sword Dancer
peds_47,Kerala
peds_48,Reviewer
peds_49,Lovely Morning
peds_50,Nashua
peds_51,Sherry Jen
peds_52,Native Dancer
peds_53,Say Blue
peds_54,Nearctic
peds_55,Natalma
peds_56,Victoria Park
peds_57,Flaming Page
peds_58,Gun Shot
peds_59,Sound Sweep
peds_60,Reverse
peds_61,Merry Marlboro
