,2016104042
peds_0,カジノドライヴ
peds_1,モエレサンタマリア
peds_2,Mineshaft (米)
peds_3,Better Than Honour
peds_4,ゴールドヘイロー
peds_5,ピサノガレー
peds_6,A.P. Indy
peds_7,Prospectors Delite
peds_8,Deputy Minister
peds_9,Blush With Pride
peds_10,サンデーサイレンス Sunday Silence(米)
peds_11,ニアーザゴールド Near the Gold(米)
peds_12,ブライアンズタイム Brian's Time(米)
peds_13,トロピカルサウンドII
peds_14,Seattle Slew
peds_15,Weekend Surprise
peds_16,Mr. Prospector
peds_17,Up the Flagpole
peds_18,Vice Regent
peds_19,Mint Copy
peds_20,Blushing Groom
peds_21,Best in Show
peds_22,Halo
peds_23,Wishing Well
peds_24,Seeking the Gold
peds_25,ニヤー
peds_26,Roberto
peds_27,Kelley's Day
peds_28,Fappiano
peds_29,Pacific Princess
peds_30,Bold Reasoning
peds_31,My Charmer
peds_32,Secretariat
peds_33,Lassie Dear
peds_34,Raise a Native
peds_35,Gold Digger
peds_36,Hoist the Flag
peds_37,The Garden Club
peds_38,Northern Dancer
peds_39,Victoria Regina
peds_40,Bunty's Flight
peds_41,Shakney
peds_42,Red God
peds_43,Runaway Bride
peds_44,Traffic Judge
peds_45,Stolen Hour
peds_46,Hail to Reason
peds_47,Cosmah
peds_48,Understanding
peds_49,Mountain Flower
peds_50,Mr. Prospector
peds_51,Con Game
peds_52,Northern Dancer
peds_53,Far
peds_54,Hail to Reason
peds_55,Bramalea
peds_56,Graustark
peds_57,Golden Trail
peds_58,Mr. Prospector
peds_59,Killaloe
peds_60,Damascus
peds_61,Fiji
