,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,セールデュクール,牝2,52.0,▲和田陽,深山,436(-4),111.0,12,美浦,2024103622,01223,ベンバトル,ブルーバード,リーチザクラウン,-0.5803594103683885,11,-1.8951918024853507,13,-0.5965393076632429,13,-0.0660590602154796,5,0.08199947296229991,0.0071159232451354516
1,2,2,ロゼハイスクール,牝2,53.0,◇古川奈,小崎,400(-2),52.9,11,栗東,2024105019,01190,ミスチヴィアスアレックス,アツコ,ワークフォース,-0.5775215751329854,10,-0.9863343714486162,12,-0.31596632515599543,10,-0.1619649206614835,8,0.07450058364445375,0.014931332329112194
2,3,3,フォルトゥナロッサ,牝2,55.0,浜中,武幸,466(+8),1.9,1,栗東,2024105934,01115,サートゥルナーリア,ダイワクンナナ,ノヴェリスト,3.107941839184612,1,0.9181858544364774,2,-0.22623296109918445,8,-0.032798250268791754,4,0.08477270617972064,0.41571972642633426
3,4,4,セイレイカ,牝2,55.0,横山典,昆,436(-10),6.8,2,栗東,2024105494,00660,エフフォーリア,ブロンシェダーム,ディープインパクト,0.22643063646854103,3,-0.12883655428829752,4,-0.1655448901431591,6,-0.3305223522459614,13,0.06294425717192405,0.1161569823838287
4,4,5,タプティ,牝2,55.0,小沢,岡田,460(0),9.0,5,栗東,2024100935,01185,ダノンスマッシュ,パフェムリ,ヴィクトワールピサ,0.1703264655049635,4,-0.4745155052688059,8,-0.14192613329897708,4,-0.029173170953932334,3,0.08508057164457822,0.08776305335667056
5,5,6,ルギッドドランジュ,牝2,55.0,北村友,秋本,416(-2),9.4,6,美浦,2024100800,01102,ジャンダルム,ルージュヴィッフ,ドゥラメンテ,0.04858158677865813,5,-0.7348806029594108,10,-0.41728846797831015,12,-0.152138360935948,7,0.07523627682576967,0.0840284553414931
6,5,7,コイゾラ,牝2,51.0,★河原田,浅利,430(+4),37.2,8,美浦,2024103350,01204,インディチャンプ,トウカイアンジュ,ハービンジャー,-0.48989198114198873,8,-0.39747896336967947,6,0.12650833492772207,2,-0.11641257676405302,6,0.07797274194781922,0.02123299677983965
7,6,8,リラカリス,牝2,55.0,丹内,新谷,400(+8),42.4,9,栗東,2024102008,01091,レイデオロ,クロコスミア,ステイゴールド,-0.6197517049994595,13,-0.6876584122534426,9,-0.333801174691056,11,-0.2817120431418552,11,0.0660928014522772,0.01862895000495366
8,6,9,ソーハッピー,牝2,52.0,▲小林美,松下,442(-2),8.8,3,栗東,2024101900,01206,モズアスコット,オフクヒメ,キンシャサノキセキ,-0.0031630193299249758,6,1.2786332896936725,1,0.13490348854826223,1,-0.3180270937210732,12,0.06373569625858834,0.0897576682056858
9,7,10,アヴレディール,牝2,55.0,吉田隼,松永幹,456(+2),8.8,4,栗東,2024105638,01095,ジャスタウェイ,シーイズドーター,ヨハネスブルグ,0.31089895887941604,2,0.5950104428784804,3,0.12365131321430631,3,0.11996938234302493,1,0.09876479965867112,0.0897576682056858
10,7,11,ルイスイメル,牝2,52.0,▲遠藤,本田,432(+4),196.9,13,栗東,2024105051,01218,モズアスコット,ビオレイメル,ワイルドラッシュ,-0.5550374298700964,9,-0.29656836288749333,5,-0.23182919494023171,9,0.0037485054796068287,2,0.08792818358357332,0.0040115158974608186
11,8,12,バタフライ,牝2,55.0,原田和,松山,492(-2),22.8,7,美浦,2024107318,01143,タワーオブロンドン,サンタメテ,Intense Focus,-0.41999911054810696,7,-0.439506505194464,7,-0.1454992519087047,5,-0.19114621658298867,9,0.07235797416977803,0.034643310535527855
12,8,13,サトノパラディ,牝2,55.0,鮫島駿,平田,442(+4),48.6,10,栗東,2024106326,01157,サトノクラウン,サトノユリア,ディープインパクト,-0.6184552554252415,12,-0.8493014724742697,11,-0.17758705759602006,7,-0.24427623923554873,10,0.06861393450054659,0.016252417288272328
