,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ウインシュクラン,セ8,60.0,上野,和田郎,468(-4),5.8,3,美浦,2018101615,1087,スクリーンヒーロー,イクスキューズ,ボストンハーバー
1,2,2,ホウオウサンデー,牡8,60.0,小野寺,井上,466(-1),6.7,5,栗東,2018105047,1123,キングカメハメハ,サンデースマイル,サンデーサイレンス
2,3,3,コスモグラニット,牡4,60.0,大江圭,清水英,494(+6),37.9,9,美浦,2022106800,1120,キタサンブラック,ホワイトウインド,スウェプトオーヴァーボード
3,4,4,アスクアットバット,セ4,60.0,黒岩,加藤公,474(-4),41.3,10,栗東,2022110139,1072,カラヴァッジオ,Luna Rosa,Malibu Moon
4,5,5,ワールドシリーズ,牡5,60.0,中村,秋山,476(0),68.0,12,栗東,2021110002,1101,No Nay Never,エリーシエズワールド,Champs Elysees
5,5,6,リッケンバッカー,牡8,60.0,小牧加,西村,480(+10),8.5,4,栗東,2018103590,1196,ロードカナロア,シティウェルズ,City Zip
6,6,7,マイネルニコラス,牡7,60.0,草野,畠山,518(-2),17.6,7,美浦,2019100768,1113,キングカメハメハ,フライングメリッサ,ダンスインザダーク
7,6,8,エナジーグラン,牡7,60.0,難波,高橋康,476(-6),18.5,8,栗東,2019104108,1066,ジャングルポケット,エナジーハート,サクラバクシンオー
8,7,9,フォーディアライフ,セ5,60.0,高田,矢嶋,526(-8),4.5,2,美浦,2021104770,1046,ドレフォン,ディアマイダーリン,ハーツクライ
9,7,10,オリンポスカズマ,牡6,60.0,小坂,平田,524(+12),10.4,6,栗東,2020102013,1063,ヴィクトワールピサ,サクラサクラサクラ,アッミラーレ
10,8,11,ラパンラピッド,セ6,58.0,△坂口,武井,486(-4),3.2,1,美浦,2020102648,1211,ルーラーシップ,クードラパン,ダイワメジャー
11,8,12,バダジェフスカ,牝4,58.0,伴,高橋文,486(+8),67.2,11,美浦,2022106590,1149,デクラレーションオブウォー,フィリポナ,ブラックタイド
