,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,ユーフォナイト,牡2,55.0,武豊,加藤征,482(0),3.8,3,美浦,2024106798,666,ドレフォン,レイナブローニュ,ヘニーヒューズ,1.853149379818981,1,0.0943930095862095,7,0.2867655884114332,5,0.6090074737371283,4,0.1006603254521138,0.2093529208026966
1,2,2,ハイネスプラウド,牡2,51.0,★河原田,武井,444(0),18.3,9,美浦,2024106566,1204,クリソベリル,プラウドスペル,Proud Citizen,-0.7185084967014519,11,0.0943930095862095,7,-0.0403271266136704,10,-0.4596221055057729,11,0.0345746984288783,0.0434721912049315
2,3,3,ロンバルディア,牡2,55.0,丹内,伊藤圭,500(0),11.8,5,美浦,2024105349,1091,ルヴァンスレーヴ,パラダイスコーブ,キングカメハメハ,0.5471086893448754,5,0.0943930095862095,7,0.4005020583909822,4,0.8238737079398062,2,0.1247882085535799,0.067418737207648
3,3,4,ウィナーズクロノ,牡2,55.0,松本,昆,482(0),65.5,13,栗東,2024104203,1191,フィレンツェファイア,サンバビーン,スズカマンボ,-1.1181073406601538,13,0.0943930095862095,7,0.1219422611343618,8,-0.6063259244737343,14,0.0298569706835814,0.0121456656343549
4,4,5,フィールザウィル,牝2,55.0,小沢,伊藤大,474(0),15.4,6,美浦,2024107117,1185,ウィルテイクチャージ,フィールザプリティ,ブラックタイド,-0.6126936276437085,10,0.0943930095862095,7,0.8434374877479547,1,-0.4210883407646215,10,0.0359329937727204,0.0516585129253407
5,4,6,コスモセイント,牡2,55.0,池添,矢嶋,480(0),29.2,11,美浦,2024105875,1032,クリソベリル,シトロプシス,ジャングルポケット,-0.5995173223155035,9,0.0943930095862095,7,0.5217215025782873,3,0.1168694255505572,7,0.0615354656810585,0.0272445581866522
6,5,7,フクノブロッサム,牝2,52.0,▲遠藤,竹内,460(0),84.4,14,美浦,2024100211,1218,アルアイン,サクラレディ,Galileo,-1.1430225940869652,14,0.0943930095862095,7,-0.2602206410652891,14,-0.5906263666104626,13,0.0303294107689523,0.0094258424058086
7,5,8,テンラッキーロード,牡2,55.0,鮫島駿,高柳大,484(0),10.5,4,栗東,2024106739,1157,ドレフォン,レディスキッパー,クロフネ,0.8425656758737687,4,0.0943930095862095,7,0.0373637094331589,9,0.960741216788876,1,0.1430916705365972,0.0757658189571663
8,6,9,ハリケンライズ,牡2,55.0,石川倭,高柳大,472(0),17.6,8,栗東,2024104323,5534,モーリス,クイーンマンボ,マンハッタンカフェ,-0.3064052198293174,7,0.0943930095862095,7,0.7025124680310557,2,0.2460060584706449,6,0.0700178576820967,0.0452011988096731
9,6,10,ゴーストミステリー,牡2,55.0,横山和,黒岩,504(0),3.7,1,美浦,2024105699,1140,Ghostzapper,スライミー,Quality Road,1.4618574568523934,2,0.0943930095862095,7,-0.166732972025252,12,0.0867079945547643,9,0.059707178457711,0.2150111078514181
10,7,11,モントリオール,牡2,55.0,横山武,松尾,490(0),5.9,2,美浦,2024106658,1170,ニューイヤーズデイ,モンオール,オルフェーヴル,1.2250152061149824,3,0.0943930095862095,7,-0.1459257357192409,11,0.7723153685011445,3,0.1185173815172347,0.1348374744152961
11,7,12,リュウノタキノボリ,牡2,55.0,横山琉,堀内,500(0),31.0,12,美浦,2024103223,1192,タワーオブロンドン,テイエムブリランテ,ディープブリランテ,-0.92886182798282,12,0.0943930095862095,7,-0.1722779645526538,13,-0.4938838352883794,12,0.0334101727011114,0.025662616098395
12,8,13,ルクシエル,牡2,55.0,斎藤,浜田,478(0),16.5,7,栗東,2024107227,1178,シニスターミニスター,レディーメグネイト,ファスリエフ,-0.3700495196546543,8,0.0943930095862095,7,0.2056748236567887,6,0.1124425660380048,8,0.0612636588885764,0.0482146120636513
13,8,14,ルボワ,牡2,55.0,北村友,杉山佳,540(0),23.0,10,栗東,2024106761,1102,ブリックスアンドモルタル,ワイルドラズベリー,ファルブラヴ,-0.1325304591304237,6,0.0943930095862095,7,0.1551039632700756,7,0.5648694978627437,5,0.0963140068757874,0.0345887434369672
