,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ヨシノヤッタルデー,牡5,55.0,▲川端,中竹,,栗東,2021102336,01195,ファインニードル,ナムラバイオレット,チーフベアハート,-3.4754578764318236,16
1,1,2,クリノオリーブ,牝5,54.0,◇永島,谷,,栗東,2021102259,01187,ニューイヤーズデイ,クリノラホール,ダイワメジャー,2.162453627359789,3
2,2,3,セントールビースト,牡4,58.0,吉村,羽月,,栗東,2022100371,01216,シニスターミニスター,カフェアリアドネ,スペシャルウィーク,-0.6324090082396961,9
3,2,4,マイネルフォーコン,牡6,58.0,菱田,西園翔,,栗東,2020104523,01144,アジアエクスプレス,マジックシアター,ネオユニヴァース,-0.9625775193417317,10
4,3,5,アメリカンチケット,セ5,58.0,松山,藤原,,栗東,2021110122,01126,Justify,A Z Warrior,Bernardini,-1.1902678425726767,11
5,3,6,ヴリトラハン,牡4,58.0,川田,千田,,栗東,2022105302,01088,ロードカナロア,クラリスピンク,ネオユニヴァース,3.3853575199501744,1
6,4,7,タイセイアレス,牡5,58.0,高倉,西村,,栗東,2021105333,01130,ベストウォーリア,ミアフィリア,ゴールドアリュール,-1.3899552115756695,12
7,4,8,ジーベック,牡5,55.0,古川奈穂,矢作,,栗東,2021103242,01190,Gun Runner,ステラエージェント,More Than Ready,-2.2381863869456047,14
8,5,9,サンライズプルート,牡6,58.0,池添,東田,,栗東,2020102326,01032,リオンディーズ,テーオーヴィーナス,ディープインパクト,0.18815333712622156,5
9,5,10,キボウノホシ,セ7,58.0,藤懸,奥平,,美浦,2019101165,01138,ロードカナロア,アイアムカミノマゴ,アグネスタキオン,2.6805666004236706,2
10,6,11,ドンパッショーネ,牡4,58.0,団野,斉藤崇,,栗東,2022105965,01180,Quality Road,ストーミーエンブレイス,Circular Quay,-1.8346866175694259,13
11,6,12,ボルセーナ,牝4,56.0,泉谷,奥村豊,,栗東,2022105600,01182,イスラボニータ,フーイズフー,Harlan's Holiday,-2.962023166608145,15
12,7,13,ハリーケーン,牡4,58.0,田口,大根田,,栗東,2022106453,01208,モーニン,チェインブラッド,マンハッタンカフェ,0.03785709773919351,6
13,7,14,ディニトーソ,牡4,58.0,西村淳,辻野,,栗東,2022104004,01171,ディーマジェスティ,ウォータームージカ,フレンチデピュティ,1.5275082913538092,4
14,8,15,ベンダバール,牡5,58.0,ハマーハン,牧浦,,栗東,2021101077,05676,ドレフォン,ラヴアズギフト,Tiznow,-0.39869686037518076,7
15,8,16,ビッグドリーム,牡5,58.0,幸,西園正,,栗東,2021100899,00732,ビッグアーサー,アンナペレンナ,Tale of Ekati,-0.40510256879401974,8
