,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id
202604010101,1,5,7,サトノエピック,牡5,60,上野翔,0:3:12.7,,3-3-2-2,13.3,3.4,2,536,[東]奥村武,障害,2890,晴,重,2026年05月02日,未勝利,2021105271,01087
202604010101,2,5,8,ノーブルクライ,牡6,60,五十嵐雄,0:3:12.8,1,5-4-6-5,13.3,13.4,5,508,[東]田村康仁,障害,2890,晴,重,2026年05月02日,未勝利,2020102976,01069
202604010101,3,7,11,ビジューブリランテ,セ8,57,坂口智康,0:3:13.0,1,1-1-1-1,13.4,4.0,3,496,[東]浅利英明,障害,2890,晴,重,2026年05月02日,未勝利,2018105199,01211
202604010101,4,8,14,ディベルティスマン,牡4,59,伴啓太,0:3:13.8,5,8-6-4-4,13.4,3.3,1,520,[東]菊沢隆徳,障害,2890,晴,重,2026年05月02日,未勝利,2022104000,01149
202604010101,5,6,10,メイショウトム,牡5,60,難波剛健,0:3:14.4,3.1/2,8-8-7-7,13.5,11.8,4,494,[西]谷潔,障害,2890,晴,重,2026年05月02日,未勝利,2021110065,01066
202604010101,6,4,6,オリンポスカズマ,牡6,60,小坂忠士,0:3:14.9,3,4-5-5-5,13.5,148.6,13,534,[西]平田修,障害,2890,晴,重,2026年05月02日,未勝利,2020102013,01063
202604010101,7,8,13,メイショウコガシラ,牡6,60,中村将之,0:3:15.0,1/2,2-2-2-3,13.5,16.7,7,510,[西]本田優,障害,2890,晴,重,2026年05月02日,未勝利,2020100979,01101
202604010101,8,2,2,ファイツオン,牡5,60,小牧加矢,0:3:17.0,大,5-6-8-8,13.6,19.3,8,518,[西]藤岡健一,障害,2890,晴,重,2026年05月02日,未勝利,2021100476,01196
202604010101,9,7,12,シークレットキー,牡5,57,鷲頭虎太,0:3:17.0,ハナ,10-10-9-9,13.6,14.8,6,504,[西]井上智史,障害,2890,晴,重,2026年05月02日,未勝利,2021105489,01202
202604010101,10,3,3,ノブダブルホワイト,牡4,59,江田勇亮,0:3:18.4,9,11-11-12-12,13.7,176.0,14,442,[東]松永康利,障害,2890,晴,重,2026年05月02日,未勝利,2022101614,01023
202604010101,11,4,5,ニシノインヴィクタ,牡5,57,水沼元輝,0:3:19.6,7,12-11-11-11,13.8,82.4,12,512,[東]本間忍,障害,2890,晴,重,2026年05月02日,未勝利,2021100190,01201
202604010101,12,1,1,ヴォルスター,牡5,60,黒岩悠,0:3:19.8,1,7-9-10-10,13.8,56.7,10,436,[西]清水久詞,障害,2890,晴,重,2026年05月02日,未勝利,2021100677,01072
202604010101,13,3,4,アップストローク,セ7,60,草野太郎,0:3:30.3,大,13-13-13-13,14.6,56.6,9,478,[東]杉浦宏昭,障害,2890,晴,重,2026年05月02日,未勝利,2019104675,01113
202604010101,14,6,9,サミアド,牡5,60,大江原圭,0:3:32.1,大,13-13-13-13,14.7,66.2,11,514,[東]竹内正洋,障害,2890,晴,重,2026年05月02日,未勝利,2021109086,01120
