,着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,通過,上り,単勝,人気,馬体重,調教師,race_type,course_len,weather,ground_state,date,class,horse_id,jockey_id
202604010801,1,5,10,マイネルユーゲント,牡3,54,小林美駒,0:1:10.6,,1-1,36.0,3.5,2,452,[東]加藤士津,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023100143,01206
202604010801,2,7,13,ハルヒメ,牝3,53,舟山瑠泉,0:1:11.0,2.1/2,2-2,36.2,3.1,1,404,[東]矢嶋大樹,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023103400,01221
202604010801,3,6,12,ソワンドヴィクター,牝3,55,丸田恭介,0:1:11.1,3/4,14-12,35.1,10.6,5,410,[東]高橋文雅,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023102783,01117
202604010801,4,4,7,ドゥボヌール,牝3,52,和田陽希,0:1:11.1,アタマ,2-2,36.3,39.1,9,406,[西]奥村豊,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023103381,01223
202604010801,5,8,15,チャーミングアイ,牝3,52,大久保友,0:1:11.2,クビ,7-7,35.9,38.8,8,468,[東]菊川正達,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023101227,01194
202604010801,6,6,11,リュウセイコウテイ,牡3,57,丹内祐次,0:1:11.3,1/2,4-4,36.2,13.9,6,448,[東]奥平雅士,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023106437,01091
202604010801,7,2,4,アンコ,牝3,52,石田拓郎,0:1:11.4,3/4,8-9,35.9,146.3,12,486,[西]武英智,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023101440,01203
202604010801,8,5,9,ゲンテン,牡3,57,ゴンサル,0:1:11.6,1.1/4,11-12,35.9,4.2,3,502,[東]尾関知人,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023107346,05675
202604010801,9,4,8,シンデレラリバティ,牝3,52,遠藤汰月,0:1:11.6,アタマ,10-10,36.0,187.2,15,410,[東]蛯名利弘,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023106594,01218
202604010801,10,3,5,ピコバレット,牡3,55,富田暁,0:1:11.8,1.1/4,4-5,36.8,28.3,7,438,[東]牧光二,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023107508,01168
202604010801,11,8,16,ユニベールクイーン,牝3,51,河原田菜,0:1:11.8,アタマ,6-5,36.6,149.5,13,470,[東]武市康男,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023102758,01204
202604010801,12,3,6,ウインラブソング,牝3,52,川端海翼,0:1:12.2,2,16-15,35.7,153.9,14,470,[西]宮徹,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023105884,01195
202604010801,13,1,2,ブライティアロード,牝3,52,石神深道,0:1:12.3,1,11-10,36.5,100.2,11,450,[東]和田正一,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023100573,01209
202604010801,14,1,1,ウレシイゴサン,牡3,57,嶋田純次,0:1:12.3,ハナ,8-7,36.8,9.8,4,492,[東]伊藤大士,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023106583,01134
202604010801,15,2,3,グランフォワイエ,牡3,54,上里直汰,0:1:13.6,8,13-14,37.7,287.3,16,420,[東]室井潔,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023105549,01217
202604010801,16,7,14,ピコテーパー,牡3,57,杉原誠人,0:1:13.7,1/2,15-16,37.5,55.8,10,504,[東]伊藤大士,芝,1200,小雨,稍重,2026年05月24日,未勝利,2023105562,01135
