,0,1,2,3
202105040411,単勝,2,1090,5
202105040411,複勝,2,490,8
202105040411,複勝,16,580,10
202105040411,複勝,10,440,7
202105040411,枠連,1-8,3740,17
202105040411,馬連,2-16,29540,73
202105040411,ワイド,2-16,6790,70
202105040411,ワイド,2-10,3070,38
202105040411,ワイド,10-16,6590,69
202105040411,馬単,2→16,47170,132
202105040411,三連複,2-10-16,111110,292
202105040411,三連単,2→16→10,726520,1765
