,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,モズイージス,牡5,58.0,小沢,高橋康,472(0),栗東,2021102151,1185,サンダースノー,モズカッチャン,ハービンジャー,-0.8090529148607735,9,-0.3709265027281112,9,,
1,1,2,テーオーミリカン,牡4,55.0,▲田山,宮,466(-6),栗東,2022106705,1220,ウインブライト,ミッキーパール,タニノギムレット,-2.6610833096176187,14,-0.7686771090761422,14,,
2,2,3,レザンクレール,牝5,56.0,亀田,西村,428(-2),栗東,2021105794,1176,キズナ,マンビア,アルデバラン,-1.0940145940911565,11,-0.432126189850265,11,,
3,2,4,バルサミコ,牝5,52.0,★河原田,小手川,426(0),美浦,2021103798,1204,オルフェーヴル,サウンタ,Invincible Spirit,-0.6620013816721779,8,-0.33934503589270826,8,,
4,3,5,ランドブレイブ,牡4,55.0,▲森田,安達,490(+2),栗東,2022106943,1222,アジアエクスプレス,ハロードリーム,ブライアンズタイム,0.3531092230215455,6,-0.12133519130791942,6,,
5,3,6,リッチハンター,牡6,56.0,△柴田裕,本間,502(-22),美浦,2020100555,1212,ホッコータルマエ,トモトモリバー,ブラックタイド,0.690146695907521,3,-0.04895146608293182,3,,
6,4,7,インピッシュ,牝4,53.0,▲和田陽,中尾,448(+4),栗東,2022103469,1223,カレンブラックヒル,ショーエクセレント,ワイルドラッシュ,1.7374308477701859,1,0.17596811817515948,1,,
7,4,8,ノイヤー,牝5,53.0,▲石神道,高橋亮,470(-4),栗東,2021101064,1209,ニューイヤーズデイ,メモリーレーン,ダイワメジャー,-1.302203915020201,12,-0.47683789051627057,12,,
8,5,9,ワンウェイトゥヘル,牡4,58.0,松若,中村,472(0),栗東,2022102701,1154,タワーオブロンドン,アリアプーラ,Flying Spur,-0.42328908459450315,7,-0.28807807981349,7,,
9,5,10,ブラックトルネード,牡4,58.0,秋山稔,佐藤吉,476(-8),美浦,2022106418,1181,フォーウィールドライブ,シャンパンサーベル,キンシャサノキセキ,-3.067025451523945,16,-0.8558591194484171,16,,
10,6,11,アドアプローズ,牡5,55.0,▲上里,小手川,486(+6),美浦,2021107224,1217,ジャングルポケット,マーシフルレイン,キングカメハメハ,-2.6900978009942373,15,-0.7749083953285717,15,,
11,6,12,ゲーベル,牡5,58.0,高杉,渡辺,528(+8),栗東,2021100786,1213,ミッキーアイル,ハイノリッジ,マンハッタンカフェ,-1.0550910221578842,10,-0.423766783664751,10,,
12,7,13,フルドド,牝4,56.0,長岡,茶木,466(+2),栗東,2022100630,1142,ジャスタウェイ,シンメイフジ,フジキセキ,-2.137753317997495,13,-0.6562843416160039,13,,
13,7,14,プルミエールパス,牝5,56.0,小崎,河嶋,486(-2),栗東,2021103451,1152,ロゴタイプ,シャインパーミット,ファルブラヴ,1.300065440954423,2,0.08203750221490538,2,,
14,8,15,ポムドール,牝4,56.0,中井,藤野,468(-10),栗東,2022103921,1141,リアルスティール,レッドレネット,キングカメハメハ,0.5653238486027906,4,-0.07575899761270596,4,,
15,8,16,ルクスコスモス,牝4,56.0,鮫島駿,高橋一,456(-2),栗東,2022101126,1157,モズアスコット,サトノルミナス,ディープインパクト,0.3747993712006889,5,-0.11667691484849577,5,,
