,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ヘザルフェン,牡4,60.0,森一,昆,栗東,2021110022,01139,Golden Horn (英) ,Entertainment ,Halling 
1,2,2,ネロコルヴィーノ,牡4,60.0,小坂,辻野,栗東,2021105549,01063,スワーヴリチャード ,ザクイーン ,ヴィクトワールピサ 
2,3,3,カイタロー,牡6,60.0,上野,和田雄,美浦,2019103063,01087,キンシャサノキセキ ,パラダイスコーブ ,キングカメハメハ 
3,3,4,ヘヴンリーハンド,セ4,60.0,石神深,武井,美浦,2021106910,01059,オルフェーヴル ,アンシェリゼ Une Cherise(米) ,Curlin (米) 
4,4,5,メイショウカゲカツ,牡6,60.0,難波,西園正,栗東,2019104044,01066,ダンカーク Dunkirk(米) ,ウォータームージカ ,フレンチデピュティ French Deputy(米) 
5,4,6,スズノイナズマ,セ7,60.0,大江圭,深山,美浦,2018102811,01120,リーチザクラウン ,フローラルウインド ,アグネスタキオン 
6,5,7,ジッピーレーサー,セ8,60.0,伴,天間,美浦,2017110086,01149,City Zip (米) ,Espial ,Banker's Gold 
7,5,8,ディープグラビティ,セ6,60.0,草野,矢嶋,美浦,2019104773,01113,ディープインパクト ,スターシップトラッフルズ Starship Truffles(米) ,Ghostzapper 
8,6,9,サンライズジーク,牡5,60.0,小野寺,矢作,栗東,2020103039,01123,エピファネイア ,プロヴィナージュ ,フレンチデピュティ French Deputy(米) 
9,6,10,ゴールデンルーキー,牡4,60.0,中村,粕谷,美浦,2021110146,01101,Catholic Boy ,Gold N Shaft ,Mineshaft (米) 
10,7,11,ナムラドーギー,牡4,60.0,五十嵐,石栗,美浦,2021104267,01069,サトノアレス ,ナムラエメラルド ,ファンタスティックライト Fantastic Light(米) 
11,7,12,レッドファーロ,牡6,60.0,西谷誠,松永幹,栗東,2019104983,01005,ハーツクライ ,プラヤデシエルタ Playa Desierta(亜) ,Orpen 
12,8,13,フェーングロッテン,セ6,60.0,高田,宮本,栗東,2019105366,01046,ブラックタイド ,ピクシーホロウ ,キングヘイロー 
13,8,14,カイザーブリッツ,セ5,60.0,江田勇,伊藤圭,美浦,2020106384,01023,ロードカナロア ,エルパンドール ,ネオユニヴァース 
