,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,アルデドゥオーモ,牡3,58.0,五十嵐,矢野,美浦,2021100361,01069,オルフェーヴル ,アルフィルク ,アグネスタキオン 
1,2,2,ヘイセイメジャー,牡7,60.0,中村,木原,栗東,2017101109,01101,マジェスティックウォリアー Majestic Warrior(米) ,スズノメヒョー ,バチアー Bachir(愛) 
2,3,3,アースブレイブ,セ7,60.0,江田勇,宗像,美浦,2017106236,01023,ゴールドシップ ,オーシャンルミナス ,フレンチデピュティ French Deputy(米) 
3,4,4,クラウンアラビアン,牡3,58.0,小坂,角田,栗東,2021101269,01063,アルアイン ,マーモリー Marmorea(愛) ,Tiger Hill (愛) 
4,4,5,スペクトログラム,牡5,60.0,小牧加,池江,栗東,2019105186,01196,ドレフォン Drefong(米) ,ケアレスウィスパー ,フジキセキ 
5,5,6,マイネルメサイア,牡5,60.0,草野,水野,美浦,2019100788,01113,ゴールドシップ ,マイネソルシエール ,ロージズインメイ Roses in May(米) 
6,5,7,バーンパッション,牡7,60.0,大江圭,天間,美浦,2017104128,01120,エイシンフラッシュ ,ディパッション ,ダイワメジャー 
7,6,8,ペイシャモノノフ,牡4,60.0,田村,畑端,栗東,2020101020,01105,ニシケンモノノフ ,ペイシャオブワキア ,フリオーソ 
8,6,9,マテンロウナイト,牡4,60.0,西谷誠,坂口,栗東,2020103588,01005,モーリス ,プリモンディアル ,ディープインパクト 
9,7,10,フジフォンテ,セ5,60.0,石神深,粕谷,美浦,2019105759,01059,ロージズインメイ Roses in May(米) ,シチリアーナ ,メイショウオウドウ 
10,7,11,カイトレッド,牝7,58.0,上野,和田雄,美浦,2017100641,01087,ゴールドヘイロー ,ニシノマドカ ,ジャングルポケット 
11,8,12,グラヴィテ,牝6,58.0,黒岩,鮫島,栗東,2018103603,01072,ネオユニヴァース ,ファシネイト ,キングカメハメハ 
12,8,13,テイエムエメラルド,牝6,58.0,小野寺,小椋,栗東,2018102822,01123,ロードカナロア ,ヒミノダンス ,ダンスインザダーク 
