,0,1,2,3
202101010204,ワイド,6-11,3890,34
202101010204,ワイド,7-11,840,11
202101010204,ワイド,6-7,2180,27
202101010204,馬単,11→6,21410,65
202101010204,三連複,6-7-11,21310,67
202101010204,三連単,11→6→7,148680,441
202101010205,単勝,5,4380,7
202101010205,複勝,5,1420,7
202101010205,複勝,1,2390,9
202101010205,複勝,4,430,3
202101010205,枠連,1-4,13260,25
202101010205,馬連,1-5,67040,60
202101010205,ワイド,1-5,9670,52
202101010205,ワイド,4-5,1900,18
202101010205,ワイド,1-4,4070,32
202101010205,馬単,5→1,108670,99
202101010205,三連複,1-4-5,72370,123
202101010205,三連単,5→1→4,755640,800
202101010206,単勝,1,840,4
202101010206,複勝,1,290,5
202101010206,複勝,13,140,1
202101010206,複勝,11,590,10
202101010206,枠連,1-8,1400,6
202101010206,馬連,1-13,1560,4
202101010206,ワイド,1-13,710,5
202101010206,ワイド,1-11,3020,41
202101010206,ワイド,11-13,1210,12
202101010206,馬単,1→13,4040,11
202101010206,三連複,1-11-13,9370,36
202101010206,三連単,1→13→11,47670,156
202101010207,単勝,4,1090,5
202101010207,複勝,4,270,5
202101010207,複勝,5,320,6
202101010207,枠連,4-5,3440,12
202101010207,馬連,4-5,4610,19
202101010207,ワイド,4-5,1330,17
202101010207,ワイド,1-4,750,7
202101010207,ワイド,1-5,740,6
202101010207,馬単,4→5,8960,35
202101010207,三連複,1-4-5,5230,15
202101010207,三連単,4→5→1,41390,138
202101010208,単勝,6,350,2
202101010208,複勝,6,160,2
202101010208,複勝,3,190,3
202101010208,複勝,4,300,7
202101010208,枠連,3-4,580,2
202101010208,馬連,3-6,1410,4
202101010208,ワイド,3-6,460,3
202101010208,ワイド,4-6,750,9
202101010208,ワイド,3-4,1460,17
202101010208,馬単,6→3,2180,6
202101010208,三連複,3-4-6,4970,19
202101010208,三連単,6→3→4,18720,52
202101010209,単勝,12,750,3
202101010209,複勝,12,200,3
202101010209,複勝,16,260,5
202101010209,複勝,2,140,1
202101010209,枠連,6-8,3880,13
202101010209,馬連,12-16,4090,14
202101010209,ワイド,12-16,1230,13
202101010209,ワイド,2-12,400,2
202101010209,ワイド,2-16,700,7
202101010209,馬単,12→16,8380,28
202101010209,三連複,2-12-16,3600,7
202101010209,三連単,12→16→2,28020,83
202101010210,単勝,13,290,1
