,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ハロングロットル,牡3,54.0,▲遠藤,伊藤伸,456(+2),美浦,2023106603,1218,ウインブライト,ブリッサ,ブラックホーク,-0.3263535153577928,14,-0.2061333247944653,18,,13,40.6,45.3,42.9,18
1,1,2,シデンイッセン,牡3,57.0,横山和,田村,496(+12),美浦,2023103739,1140,エイシンフラッシュ,アースリーチャンス,ネオユニヴァース,0.9874117313689008,5,0.062539609188991,15,,14,40.7,45.3,43.1,15
2,2,3,ウインターブレス,牡3,57.0,原,竹内,500(-2),美浦,2023103521,1184,ハービンジャー,フェイブルネージュ,ディープインパクト,-1.1995323634088255,16,-0.3847036771330442,11,,5,48.5,50.6,48.3,8
3,2,4,ゼータレティクル,牝3,55.0,丹内,小手川,460(-6),美浦,2023106416,1091,ビーチパトロール,コスモレティクルム,ダノンシャンティ,1.0582766482127683,4,0.0770319130251393,8,,11,52.5,47.2,50.4,6
4,3,5,ウインベルチェーロ,牝3,53.0,△長浜,手塚久,456(-2),美浦,2023105879,1214,エピファネイア,コスモチェーロ,Fusaichi Pegasus,2.7516829321829968,1,0.4233437338575811,12,,18,45.5,44.7,44.7,12
5,3,6,アイスアンドスノー,牡3,57.0,佐々木,古賀,504(+4),美浦,2023103691,1197,イスラボニータ,シナノネージュ,フレンチデピュティ,-1.3626061175141682,17,-0.418053245543643,3,,7,57.1,48.2,51.7,5
6,4,7,エリュグレイス,牝3,55.0,横山武,和田勇,468(-2),美浦,2023103467,1170,エピファネイア,ダイワクンナナ,ノヴェリスト,0.400062797394669,9,-0.0575767980276635,10,,8,49.2,47.8,46.9,11
7,4,8,ウインリフレクト,牡3,54.0,▲舟山,嘉藤,442(+2),美浦,2023105893,1221,ウインブライト,リゲイン,ショウナンカンプ,1.2002030297998056,3,0.106056715930873,17,,17,40.6,44.8,42.9,16
8,5,9,ノーブルジャッカル,牡3,57.0,武藤,武藤,482(+20),美浦,2023100056,1169,サトノダイヤモンド,ノーブルプルート,キングズベスト,0.1682723223633968,11,-0.1049793512244649,16,,12,40.7,46.8,42.9,17
9,5,10,マイネルアイフェル,牡3,57.0,柴田大,上原博,508(+6),美浦,2023101917,1009,デクラレーションオブウォー,ジオパーククイーン,バトルプラン,0.6862935075363933,7,0.0009591123121412,13,,10,40.8,47.4,43.2,13
10,6,11,サトノマティーニ,牡3,57.0,北村宏,蛯名正,472(-8),美浦,2023105007,1043,エピファネイア,キャッチザカクテル,Catcher In The Rye,-0.1306053458950316,13,-0.166101640943422,9,,4,49.9,51.2,47.4,10
11,6,12,アドマイヤウルトラ,牡3,57.0,荻野極,宮田,504(+2),美浦,2023106836,1160,リオンディーズ,アドマイヤシーマ,ディープインパクト,0.7976387028925312,6,0.0237298777862854,6,,6,52.9,48.2,56.1,3
12,7,13,マナイアカラニ,牡3,57.0,菊沢,田中勝,476(+2),美浦,2023107355,1161,アルアイン,レーヴドカナロア,ロードカナロア,0.0227191293527313,12,-0.1347458589885199,1,,3,81.3,51.4,60.9,2
13,7,14,アンヴデット,牝3,55.0,丸山,高橋文,408(-14),美浦,2023107044,1127,リアルスティール,シングルゲイズ,Not A Single Doubt,0.4982427692933485,8,-0.0374984003275004,5,,2,53.5,55.4,50.1,7
14,7,15,ガードオブオナー,牡3,57.0,戸崎圭,林,512(+6),美浦,2023107327,5386,サトノダイヤモンド,ルミナスパレード,シンボリクリスエス,-1.8700816040414607,18,-0.5218350499639375,4,,9,54.3,47.6,53.3,4
15,8,16,グルノーブル,牡3,57.0,原田和,佐藤吉,528(+12),美浦,2023105958,1143,マクマホン,ラデビーナ,Southdale,2.5770345441161155,2,0.3876270828392034,14,,15,40.8,44.9,43.1,14
16,8,17,ベアドッキューン,牝3,55.0,松岡,千葉,444(-8),美浦,2023102738,1085,カレンブラックヒル,ラックアサイン,ハービンジャー,-0.3607484685010621,15,-0.2131673006118726,2,,1,58.4,88.4,84.4,1
17,8,18,タイセイスタナー,牝3,55.0,津村,池上,476(+2),美浦,2023104480,1092,シルバーステート,コンフォータブル,ザール,0.2938080690163912,10,-0.0793065322356091,7,,16,52.7,44.9,47.7,9
