,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,プラーヴィ,牡5,55.0,Ａルメート,杉山晴,栗東,2020101905,5659,ドゥラメンテ ,ワイメアビーチ ,フジキセキ ,-4.596100128870398,16,-1.826065988683379,16,,
1,1,2,セブンスレター,セ6,53.0,荻野極,高橋文,美浦,2019100876,1160,コパノリッキー ,ブライアンズレター ,ナリタブライアン ,0.25846647157858377,3,-0.1471125774923333,3,,
2,2,3,レプンカムイ,牡7,54.0,幸,橋口,栗東,2018109080,732,キズナ ,ローレルアンジュ ,パラダイスクリーク Paradise Creek(米) ,-1.535374999506667,12,-0.7675132239137866,12,,
3,2,4,タイトニット,牡5,57.0,坂井,今野,栗東,2020102750,1163,キズナ ,アルティメイトラブ ,シンボリクリスエス ,-2.4791450348866246,15,-1.093916392455037,15,,
4,3,5,マリアナトレンチ,牡5,55.0,鮫島駿,音無,栗東,2020102737,1157,ハーツクライ ,アイアムルビー ,Saint Liam ,-0.30808604550517926,5,-0.34305494670170467,5,,
5,3,6,セクシーブーケ,牝4,54.0,北村友,田中克,栗東,2021110103,1102,Liam's Map ,Shurakaa ,Tapit (米) ,0.007004435418130329,4,-0.23408080311263735,4,,
6,4,7,フルオール,牡6,57.0,高杉,斎藤誠,美浦,2019102143,1213,ホッコータルマエ ,ゴールドフォレスト ,ゴールドアリュール ,-1.717386093293104,14,-0.8304618189045504,14,,
7,4,8,サイモンザナドゥ,牡5,58.0,武豊,小林,栗東,2020104497,666,アジアエクスプレス ,トゥルーロマンス ,アグネスデジタル ,0.9343558309939922,1,0.08664397360190408,1,,
8,5,9,ナリタフォルテ,牡7,54.0,酒井,木原,栗東,2018100474,1034,ベルシャザール ,オースミリンド ,Woodman ,-0.3674751306819328,6,-0.36359468080192364,6,,
9,5,10,スナークラファエロ,セ4,56.0,西村淳,野中,栗東,2021103987,1171,リアルスティール ,シンコームーン ,フォーティナイナーズサン Fourty Niners Son(米) ,0.33838083988515893,2,-0.11947416765795328,2,,
10,6,11,シゲルバクハツ,牡7,54.0,田口,谷,栗東,2018103470,1208,アイルハヴアナザー I'll Have Another(米) ,アフロディシアス ,ジャングルポケット ,-0.7489452582273409,9,-0.495526246402571,9,,
11,6,12,ネッケツシャチョウ,牡5,56.0,荻野琢,藤沢,栗東,2020105954,1112,リオンディーズ ,レッドティムール ,シンボリクリスエス ,-1.7121706667103949,13,-0.8286580619530964,13,,
12,7,13,マオノアラシ,牡5,55.0,戸崎圭,加藤士,美浦,2020100850,5386,ゴールドアクター ,マオノココロ ,ヴァーミリアン ,-0.5476144359359136,8,-0.42589591713016434,8,,
13,7,14,ポッドロゴ,牡4,56.0,松山,西園正,栗東,2021104873,1126,ロゴタイプ ,スクラッタ ,キングカメハメハ ,-1.294082854140639,10,-0.6840622582769303,10,,
14,8,15,メイショウオーロラ,牝5,53.0,太宰,本田,栗東,2020101209,1037,ホッコータルマエ ,エンパイアガール ,エンパイアメーカー Empire Maker(米) ,-1.3848974975582213,11,-0.715470531744215,11,,
15,8,16,クレメダンジュ,牝5,54.0,吉村誠之助,鈴木孝,栗東,2020105627,1216,ラニ ,シェルエメール ,ジャングルポケット ,-0.509167669513301,7,-0.4125990906681397,7,,
