,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,サトノトルネード,牡5,60.0,大江圭,国枝,美浦,2020103463,01120,ハーツクライ  ,タイタンクイーン  ,Tiznow  
1,2,2,ブルースピリット,セ7,60.0,小野寺,岩戸,美浦,2018110037,01123,Invincible Spirit  (愛)  ,Jasmine Blue  ,Galileo  (愛)  
2,3,3,ファベル,牡6,60.0,小牧加,小林,栗東,2019106821,01196,ディープインパクト  ,ポウリナズラヴ  Paulina's Love(米)  ,Mizzen Mast  
3,4,4,タガノバルコス,牡6,60.0,高田,秋山,栗東,2019100549,01046,キタサンブラック  ,タガノレヴェントン  ,キングカメハメハ  
4,5,5,ネロコルヴィーノ,牡4,60.0,小坂,辻野,栗東,2021105549,01063,スワーヴリチャード  ,ザクイーン  ,ヴィクトワールピサ  
5,6,6,ホウオウプレシャス,牡5,60.0,伴,天間,美浦,2020103939,01149,イスラボニータ  ,プレシャスドロップ  ,フレンチデピュティ  French Deputy(米)  
6,7,7,コスモエスメラルダ,牝4,58.0,石神深,土田,美浦,2021106785,01059,ゴールドシップ  ,コスモリープリング  ,ヤマニンセラフィム  
7,7,8,カルマンフィルター,牡4,60.0,草野,戸田,美浦,2021104842,01113,スワーヴリチャード  ,カルマート  ,シンボリクリスエス  
8,8,9,ジュリアスローズ,牝4,58.0,江田勇,粕谷,美浦,2021103506,01023,エピファネイア  ,タニノジュレップ  ,コロナドズクエスト  Coronado's Quest(米)  
9,8,10,スマラグドス,牡5,60.0,田村,西園正,栗東,2020102798,01105,ハーツクライ  ,エメラルドスター  Emerald Star(英)  ,Mount Nelson  (英)  
