,0,1,2,3
202107010101,単勝,6,730,4
202107010101,複勝,6,140,3
202107010101,複勝,8,110,1
202107010101,複勝,5,220,5
202107010101,枠連,6-7,310,1
202107010101,馬連,6-8,400,1
202107010101,ワイド,6-8,200,2
202107010101,ワイド,5-6,750,11
202107010101,ワイド,5-8,340,4
202107010101,馬単,6→8,1140,5
202107010101,三連複,5-6-8,1100,4
202107010101,三連単,6→8→5,6620,26
202107010102,単勝,7,280,1
202107010102,複勝,7,140,1
202107010102,複勝,16,160,3
202107010102,複勝,8,140,2
202107010102,枠連,4-8,590,2
202107010102,馬連,7-16,880,2
202107010102,ワイド,7-16,440,2
202107010102,ワイド,7-8,320,1
202107010102,ワイド,8-16,490,6
202107010102,馬単,7→16,1470,2
202107010102,三連複,7-8-16,1340,1
202107010102,三連単,7→16→8,6050,3
202107010103,単勝,5,120,1
202107010103,複勝,5,100,1
202107010103,複勝,12,150,2
202107010103,複勝,7,690,9
202107010103,枠連,4-7,270,1
202107010103,馬連,5-12,300,1
202107010103,ワイド,5-12,170,1
202107010103,ワイド,5-7,1130,13
202107010103,ワイド,7-12,3440,29
202107010103,馬単,5→12,390,1
202107010103,三連複,5-7-12,4500,15
202107010103,三連単,5→12→7,8570,25
202107010104,単勝,11,200,1
202107010104,複勝,11,110,1
202107010104,複勝,5,110,2
202107010104,複勝,7,150,3
202107010104,枠連,5-8,270,1
202107010104,馬連,5-11,290,1
202107010104,ワイド,5-11,150,1
202107010104,ワイド,7-11,280,2
202107010104,ワイド,5-7,360,4
202107010104,馬単,11→5,480,1
202107010104,三連複,5-7-11,690,1
202107010104,三連単,11→5→7,2200,1
202107010105,単勝,10,230,1
202107010105,複勝,10,130,1
202107010105,複勝,3,210,3
202107010105,複勝,2,830,13
202107010105,枠連,2-5,820,2
202107010105,馬連,3-10,920,2
202107010105,ワイド,3-10,400,2
202107010105,ワイド,2-10,1820,20
202107010105,ワイド,2-3,3350,39
202107010105,馬単,10→3,1410,3
202107010105,三連複,2-3-10,12220,38
202107010105,三連単,10→3→2,39490,111
202107010106,単勝,7,420,3
202107010106,複勝,7,170,3
202107010106,複勝,5,510,7
202107010106,複勝,8,200,4
202107010106,馬連,5-7,6710,19
202107010106,ワイド,5-7,1650,20
202107010106,ワイド,7-8,440,6
202107010106,ワイド,5-8,1570,19
202107010106,馬単,7→5,11160,34
202107010106,三連複,5-7-8,8500,32
202107010106,三連単,7→5→8,54910,178
202107010107,単勝,9,1130,5
202107010107,複勝,9,250,5
202107010107,複勝,13,130,1
202107010107,複勝,2,1930,14
202107010107,枠連,5-7,1020,4
202107010107,馬連,9-13,1060,3
202107010107,ワイド,9-13,410,2
202107010107,ワイド,2-9,10840,79
202107010107,ワイド,2-13,4760,52
202107010107,馬単,9→13,3060,11
202107010107,三連複,2-9-13,36030,116
202107010107,三連単,9→13→2,198500,622
202107010108,単勝,6,330,1
202107010108,複勝,6,150,1
202107010108,複勝,15,160,2
202107010108,複勝,13,210,5
202107010108,枠連,3-8,440,1
202107010108,馬連,6-15,1220,3
202107010108,ワイド,6-15,470,3
202107010108,ワイド,6-13,670,8
202107010108,ワイド,13-15,630,7
202107010108,馬単,6→15,2320,4
202107010108,三連複,6-13-15,3260,7
202107010108,三連単,6→15→13,13400,23
202107010109,単勝,6,520,2
202107010109,複勝,6,180,2
202107010109,複勝,7,260,7
202107010109,複勝,11,140,1
202107010109,枠連,3-4,2390,13
202107010109,馬連,6-7,2490,11
202107010109,ワイド,6-7,830,10
202107010109,ワイド,6-11,370,1
202107010109,ワイド,7-11,620,7
202107010109,馬単,6→7,4680,19
202107010109,三連複,6-7-11,2820,6
202107010109,三連単,6→7→11,16960,45
202107010110,単勝,13,2650,7
202107010110,複勝,13,500,7
202107010110,複勝,4,320,5
202107010110,複勝,6,200,3
202107010110,枠連,3-8,5260,15
202107010110,馬連,4-13,13650,34
202107010110,ワイド,4-13,2870,30
202107010110,ワイド,6-13,1570,16
202107010110,ワイド,4-6,900,9
202107010110,馬単,13→4,31740,70
202107010110,三連複,4-6-13,17420,53
202107010110,三連単,13→4→6,188870,426
202107010111,単勝,2,4330,12
202107010111,複勝,2,820,12
202107010111,複勝,4,170,2
202107010111,複勝,13,1140,13
202107010111,枠連,1-2,1590,7
202107010111,馬連,2-4,8950,24
202107010111,ワイド,2-4,2300,24
202107010111,ワイド,2-13,21280,94
202107010111,ワイド,4-13,3950,38
202107010111,馬単,2→4,24740,60
202107010111,三連複,2-4-13,135900,221
202107010111,三連単,2→4→13,1228010,1474
202107010112,単勝,13,280,1
202107010112,複勝,13,160,1
202107010112,複勝,6,380,7
202107010112,複勝,15,340,5
202107010112,枠連,4-7,550,1
202107010112,馬連,6-13,2260,9
202107010112,ワイド,6-13,920,10
202107010112,ワイド,13-15,890,9
202107010112,ワイド,6-15,3790,42
202107010112,馬単,13→6,3340,11
202107010112,三連複,6-13-15,10670,44
202107010112,三連単,13→6→15,35230,108
202107010201,単勝,7,25600,16
202107010201,複勝,7,6530,16
202107010201,複勝,2,1110,7
202107010201,複勝,12,220,2
202107010201,枠連,1-4,7390,18
202107010201,馬連,2-7,283040,99
202107010201,ワイド,2-7,62130,109
202107010201,ワイド,7-12,13480,63
202107010201,ワイド,2-12,2020,18
202107010201,馬単,7→2,635670,193
202107010201,三連複,2-7-12,393530,274
202107010201,三連単,7→2→12,4945540,2005
202107010202,単勝,16,590,3
202107010202,複勝,16,190,4
202107010202,複勝,9,140,1
202107010202,複勝,7,260,6
202107010202,枠連,5-8,890,3
202107010202,馬連,9-16,1030,3
202107010202,ワイド,9-16,440,3
202107010202,ワイド,7-16,840,11
202107010202,ワイド,7-9,670,9
202107010202,馬単,16→9,2180,6
202107010202,三連複,7-9-16,2720,8
202107010202,三連単,16→9→7,13400,34
202107010203,単勝,3,2900,9
202107010203,複勝,3,780,9
202107010203,複勝,5,330,5
202107010203,複勝,8,260,4
202107010203,枠連,2-3,4790,14
202107010203,馬連,3-5,19750,45
202107010203,ワイド,3-5,5350,46
202107010203,ワイド,3-8,4200,39
202107010203,ワイド,5-8,1780,19
202107010203,馬単,3→5,41910,94
202107010203,三連複,3-5-8,45360,114
202107010203,三連単,3→5→8,388510,807
202107010204,単勝,7,1210,4
