,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,テイエムエメラルド,牝7,58.0,小野寺,小椋,462(+6),栗東,2018102822,01123,ロードカナロア  ,ヒミノダンス  ,ダンスインザダーク  
1,2,2,ビーンスターク,牡4,60.0,田村,森田,482(-2),栗東,2021103578,01105,ロジャーバローズ  ,アートオブビーン  ,アグネスデジタル  
2,3,3,ポリトナリティー,牝4,58.0,草野,和田雄,416(+2),美浦,2021100016,01113,エイシンヒカリ  ,ポリリズム  ,バチアー  Bachir(愛)  
3,4,4,アルマーザアミール,牡4,60.0,小牧加,斉藤崇,502(-2),栗東,2021105455,01196,サトノダイヤモンド  ,オーサムフェザー  Awesome Feather(米)  ,Awesome of Course  
4,5,5,ディナースタ,牡6,61.0,高田,辻野,482(-2),栗東,2019101507,01046,ドゥラメンテ  ,ラヴァリーノ  Ravarino(米)  ,Unbridled's Song  (米)  
5,6,6,テイエムマジック,牡7,60.0,難波,鈴木孝,532(+4),栗東,2018103005,01066,マジェスティックウォリアー  Majestic Warrior(米)  ,ハミングライフ  ,スペシャルウィーク  
6,6,7,ヘザルフェン,牡4,61.0,森一,昆,516(+8),栗東,2021110022,01139,Golden Horn  (英)  ,Entertainment  ,Halling  
7,7,8,マイネルメサイア,牡6,60.0,上野,水野,486(-6),美浦,2019100788,01087,ゴールドシップ  ,マイネソルシエール  ,ロージズインメイ  Roses in May(米)  
8,7,9,コンテナワールド,牡4,57.0,▲井上,中竹,484(0),栗東,2021104924,01151,エピファネイア  ,ユッカマウンテン  ,アグネスタキオン  
9,8,10,レディステディゴー,牡7,60.0,中村,中村,516(0),栗東,2018104865,01101,ダイワメジャー  ,レディトゥプリーズ  Ready to Please(米)  ,More Than Ready  
10,8,11,ワールドスケール,牡8,61.0,黒岩,加藤公,484(-2),栗東,2017106372,01072,ワールドエース  ,アモーレヴォレ  ,アグネスデジタル  
