,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,,,イキフン,牡2,55.0,菊沢,平岩,,---.-,**,美浦,2024101560,01161,ロゴタイプ,セリス,スマートファルコン,,,,,,
1,,,グラスクラージュ,牡2,55.0,木幡巧,牧,,---.-,**,美浦,2024104494,01162,シャンハイボビー,グラスエトワール,ヴァーミリアン,,,,,,
2,,,ナムラアラバイ,牡2,55.0,杉原,武市,,---.-,**,美浦,2024100828,01135,マテラスカイ,ナムラビバ,アジアエクスプレス,,,,,,
3,,,ニシノマキロイ,牡2,55.0,野中,田中勝,,---.-,**,美浦,2024103935,01158,ニューイヤーズデイ,ニシノアジーブ,モーリス,,,,,,
4,,,ファウナード,牡2,55.0,石橋脩,上原佑,,---.-,**,美浦,2024105993,01077,スワーヴリチャード,パンズラビリンス,メイショウサムソン,,,,,,
5,,,ファブリック,牡2,55.0,岩田康,武井,,---.-,**,美浦,2024104851,05203,クリソベリル,ウィンクルム,キズナ,,,,,,
6,,,フレンドミラノ,牡2,52.0,▲水沼,加藤和,,---.-,**,美浦,2024100841,01201,イスラボニータ,ネイビーロマン,キズナ,,,,,,
7,,,メイプルカモーン,牡2,55.0,丸田,中舘,,---.-,**,美浦,2024104534,01117,ゴールドシップ,メイプルレモン,ドレフォン,,,,,,
8,,,レッジェランツァ,牡2,55.0,坂井,田中博,,---.-,**,美浦,2024106982,01163,シスキン,エレヴァテッツァ,ディープインパクト,,,,,,
9,,,レッドマウロア,牡2,55.0,ルメール,加藤征,,---.-,**,美浦,2024101427,05339,クリソベリル,レッドアネラ,カジノドライヴ,,,,,,
