,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,レネネト,牝3,55.0,北村友,田中克,栗東,2022110062,01102,American Pharoah (米) ,Family Meeting ,Sky Mesa 
1,2,2,イモルテル,セ3,55.0,△吉村,清水久,栗東,2022100782,01216,シャンハイボビー Shanghai Bobby(米) ,オールウェイズラブ ,ディープインパクト 
2,3,3,サラサハウナイス,牡3,57.0,菱田,岡田,栗東,2022102743,01144,マクフィ Makfi(英) ,フラワーファースト ,ネオユニヴァース 
3,4,4,ブレイジングスター,牡3,54.0,▲橋木,高橋康,栗東,2022103644,01215,モーニン ,ヴァーチュスター ,シンボリクリスエス 
4,5,5,リメンバーヒム,牡3,56.0,☆高杉,浜田,栗東,2022100321,01213,コパノリッキー ,ヴォルトファース ,リアルインパクト 
5,5,6,ビリオネアボーイ,牡3,57.0,川田,新谷,栗東,2022110094,01088,American Pharoah (米) ,ザワールドウィノウ ,Speightstown (米) 
6,6,7,ダシータピット,牡3,57.0,西村淳,中竹,栗東,2022110049,01171,Tapit (米) ,Dacita (智) ,Scat Daddy (米) 
7,6,8,ボーヌロマネ,牡3,57.0,鮫島駿,橋口,栗東,2022102529,01157,マクフィ Makfi(英) ,リサプシュケ ,ワイルドラッシュ Wild Rush(米) 
8,7,9,メイショウタビズキ,牡3,57.0,岩田望,笹田,栗東,2022103260,01174,レイデオロ ,メイショウツレヅレ ,サウスヴィグラス 
9,7,10,サンジャシント,牡3,57.0,幸,石坂,栗東,2022110013,00732,Earthlight (愛) ,Alice Rose ,Manduro (独) 
10,8,11,メイショウツクモ,牝3,55.0,高倉,安達,栗東,2022101869,01130,ルヴァンスレーヴ ,プレシャスエルフ ,コロナドズクエスト Coronado's Quest(米) 
11,8,12,エンダードラゴン,牡3,57.0,武豊,友道,栗東,2022104890,00666,リアルスティール ,ダストアンドダイヤモンズ Dust and Diamonds(米) ,Vindication 
