,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ダノンブレット,牡7,57.0,池添,菊沢,美浦,2018104665,01032,キングカメハメハ ,ダイワズーム ,ハーツクライ 
1,1,2,ダノンマデイラ,牡7,57.0,Ｍデムーロ,茶木,栗東,2018104586,05212,ディープインパクト ,キャンディネバダ Candy Nevada(亜) ,Pure Prize 
2,2,3,ソニックスター,牡4,56.0,坂井,木村,美浦,2021110060,01163,Into Mischief ,Carolina Bertie ,Speightstown (米) 
3,2,4,ピースオブザライフ,牝5,55.0,浜中,野中,栗東,2020101024,01115,キタサンブラック ,サンキューアスク ,シンボリクリスエス 
4,3,5,エナハツホ,牝6,55.0,藤懸,吉田,栗東,2019100094,01138,トビーズコーナー Toby's Corner(米) ,タイセイゴディス ,ステイゴールド 
5,3,6,ブライアンセンス,牡5,57.0,岩田望,斎藤誠,美浦,2020106565,01174,ホッコータルマエ ,ヒラボクビジン ,ブライアンズタイム Brian's Time(米) 
6,4,7,ヒップホップソウル,牝5,55.0,西村淳,木村,美浦,2020102942,01171,キタサンブラック ,ダンスファンタジア ,ファルブラヴ Falbrav(愛) 
7,4,8,ヴィブラフォン,牝6,56.0,高杉,高木,美浦,2019105096,01213,ドレフォン Drefong(米) ,ヴィンテージローズ ,ゼンノロブロイ 
8,5,9,リアレスト,牡4,56.0,田辺,尾関,美浦,2021105496,01075,リアルスティール ,クィーンズベスト ,ワークフォース Workforce(英) 
9,5,10,モンブランミノル,牡4,56.0,松山,小栗,栗東,2021100838,01126,キズナ ,アイアンヒロイン ,Congrats (米) 
10,6,11,アンデスビエント,牝4,54.0,幸,西園正,栗東,2021105387,00732,ドレフォン Drefong(米) ,アンデスクイーン ,タートルボウル Turtle Bowl(愛) 
11,6,12,ゼットリアン,牡5,57.0,団野,吉田,栗東,2020104760,01180,モーリス ,ネオシルヴィア ,ネオユニヴァース 
12,7,13,タイセイドレフォン,牡6,58.0,川田,西村,栗東,2019105308,01088,ドレフォン Drefong(米) ,デイトユアドリーム ,トワイニング Twining(米) 
13,7,14,キタノヴィジョン,牡8,58.0,吉村,萱野,美浦,2017102011,01216,メイショウボーラー ,グリーンオリーヴ ,サンデーサイレンス Sunday Silence(米) 
14,8,15,ブレイクフォース,牡6,58.0,北村友,中舘,美浦,2019105604,01102,アジアエクスプレス ,プレシャスフラワー ,サンデーサイレンス Sunday Silence(米) 
15,8,16,ジューンアヲニヨシ,牡5,57.0,鮫島駿,松下,栗東,2020100912,01157,キズナ ,オールブランニュー ,ノボジャック 
