,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,テイエムマジック,牡7,60.0,難波,鈴木孝,栗東,2018103005,01066,マジェスティックウォリアー Majestic Warrior(米) ,ハミングライフ ,スペシャルウィーク 
1,2,2,ネイチャーシップ,牡7,60.0,高田潤,根本,美浦,2018102917,01046,ゴールドシップ ,アルデグロリア ,アルデバランII Aldebaran(米) 
2,3,3,アメリカンピース,セ7,60.0,小坂,東田,栗東,2018110131,01063,Tapit (米) ,La Cloche ,Ghostzapper 
3,3,4,デスティネ,牡8,57.0,▲土田,萱野,美浦,2017106490,01198,リアルインパクト ,スプリングドリュー ,ミシル Misil(米) 
4,4,5,タマモエース,牡6,60.0,小野寺,宮地,栗東,2019104010,01123,ワールドエース ,ミサトサウス ,サウスヴィグラス 
5,4,6,ロードプレジール,牡7,60.0,西谷誠,中内田,栗東,2018102576,01005,キングカメハメハ ,キャトルフィーユ ,ディープインパクト 
6,5,7,マイネルクロンヌ,牡8,60.0,五十嵐,青木,美浦,2017102952,01069,オルフェーヴル ,ナナヨーティアラ ,マイネルラヴ 
7,5,8,アルカンサス,牡6,60.0,伴,土田,美浦,2019101023,01149,シルバーステート ,ラサンバ La Samba(豪) ,Orientate 
8,6,9,グラヴィテ,牝7,58.0,小牧加,藤野,栗東,2018103603,01196,ネオユニヴァース ,ファシネイト ,キングカメハメハ 
9,6,10,ミラクルジニア,牡4,59.0,上野,粕谷,美浦,2021103301,01087,ダンカーク Dunkirk(米) ,キセキノハナ ,ネオユニヴァース 
10,7,11,シュウズダイヤ,セ4,57.0,▲井上,戸田,美浦,2021104934,01151,オルフェーヴル ,ローズカットダイヤ ,フレンチデピュティ French Deputy(米) 
11,7,12,メネラオス,牡4,59.0,森一,奥村豊,栗東,2021105840,01139,アジアエクスプレス ,ラトーナ ,Dansili 
12,8,13,ストラクチャー,セ4,59.0,草野,和田郎,美浦,2021101216,01113,リアルスティール ,サンヴィヴァン ,マンハッタンカフェ 
13,8,14,アルファインディ,牡5,57.0,▲坂口,武藤,美浦,2020103535,01211,モーリス ,パーシーズベスト ,ディープインパクト 
