,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,ビーストウォーズ,牡3,57.0,国分恭,松山,454(-4),美浦,2023104891,1124,アニマルキングダム,ビーフィットウォー,ウォーエンブレム,0.7951528128148396,2,0.0385005652493723,6,,2,49.8,58.5,47.2,7
1,2,2,レジェルテ,牡3,54.0,▲和田陽,柴田,456(-2),栗東,2023107303,1223,シュヴァルグラン,ラリズ,Bernstein,0.242439618407176,5,-0.1526554697868389,3,,1,53.6,79.2,78.1,1
2,3,3,ダイメイミラクル,牡3,53.0,★河原田,本田,518(0),栗東,2023101605,1204,アジアエクスプレス,ダイメイダーク,ダンスインザダーク,-0.2646959910561594,6,-0.3280484824949494,10,,8,43.8,46.7,45.2,8
3,4,4,オセアビシャイン,牡3,57.0,嶋田,菊川,462(0),美浦,2023100052,1134,ダンカーク,サクラサイレンス,オレハマッテルゼ,-2.182211641321173,12,-0.9912218833350795,8,,4,45.2,51.2,45.0,9
4,4,5,ハイロード,牡3,57.0,斎藤,浜田,464(-4),栗東,2023102761,1178,シニスターミニスター,スイングサンデー,スペシャルウィーク,-1.2913359846753314,8,-0.6831122525939414,7,,9,47.9,45.4,49.2,5
5,5,6,クランドゥルス,牡3,57.0,小沢,羽月,496(-4),栗東,2023101633,1185,ビッグアーサー,ブライトガーランド,ダイワメジャー,1.2903441705442855,1,0.2097626546757044,12,,12,42.9,41.7,42.1,13
6,5,7,ロードエルドラド,牡3,57.0,中井,坂口,502(-8),栗東,2023105722,1141,ハービンジャー,ラバーズケープ,ダイワメジャー,0.7051461121979012,3,0.0073717190580596,9,,3,44.2,53.1,43.0,11
7,6,8,サウンドラッシュ,牡3,55.0,◇古川奈,安達,430(0),栗東,2023104255,1190,マジェスティックウォリアー,サウンドラブリー,ディープインパクト,-1.199275125041021,7,-0.6512729748495779,13,,11,42.9,43.6,42.5,12
8,6,9,ナウオアネヴァー,牡3,57.0,川又,寺島,516(+10),栗東,2023104408,1166,キズナ,プリカジュール,アーネストリー,-1.5607980295533432,10,-0.7763057869853761,4,,10,51.0,43.7,50.4,4
9,7,10,サンライズジャッジ,牡3,54.0,▲田山,小椋,500(0),栗東,2023101574,1220,ダノンキングリー,サイモンドルチェ,ジャングルポケット,-1.40298385814562,9,-0.7217257053371442,1,,6,80.5,48.9,60.1,2
10,7,11,コンテナヒーロー,牡3,57.0,団野,茶木,494(-2),栗東,2023103682,1180,クリソベリル,オリヒメ,マジェスティックウォリアー,0.3562040951990901,4,-0.1133099891079904,5,,13,50.3,41.5,47.9,6
11,8,12,バンブラボー,牡3,57.0,富田,飯田,518(-10),栗東,2023104922,1168,クリソベリル,アルボナンザ,キングカメハメハ,-1.647974979226211,11,-0.8064559629077653,11,,7,43.8,47.0,43.4,10
12,8,13,コルヴァス,牡3,57.0,川田,矢作,480(-10),栗東,2023104411,1088,キズナ,ペルルドール,ウィルテイクチャージ,-2.2127210760771594,13,-1.0017735811019486,2,,5,54.3,49.3,56.1,3
