,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ビートザレコード,牡7,60.0,草野,戸田,494(+10),美浦,2019104588,01113,ジャスタウェイ,ビートリックスキッド,Victory Note
1,2,2,スズカハービン,牡6,60.0,難波,高橋忠,478(0),栗東,2020106654,01066,ハービンジャー,スズカローラン,サンデーサイレンス
2,3,3,ゴールデンスロープ,セ5,60.0,石神深,小笠,452(-2),美浦,2021102482,01059,ゴールドシップ,ブリュメール,ティンバーカントリー
3,4,4,タマモエース,牡7,60.0,小野寺,宮地,484(-4),栗東,2019104010,01123,ワールドエース,ミサトサウス,サウスヴィグラス
4,5,5,コスモチプリア,牝6,58.0,伴,松永康,460(-2),美浦,2020105774,01149,ゴールドシップ,ホワイトウインド,スウェプトオーヴァーボード
5,6,6,ジーティーオウジャ,セ5,60.0,水沼,石栗,516(-6),美浦,2021104943,01201,ルーラーシップ,アラドヴァル,シンボリクリスエス
6,7,7,アトラクティーボ,牡7,60.0,坂口,武藤,536(-8),美浦,2019100641,01211,ワンアンドオンリー,シャンパンルージュ,ファスリエフ
7,7,8,シホノスペランツァ,牡7,60.0,高田,寺島,486(+6),栗東,2019105654,01046,ブラックタイド,メジロスプレンダー,シンボリクリスエス
8,8,9,ピーターサイト,牡6,60.0,上野,村田,482(+4),美浦,2020105611,01087,ワンアンドオンリー,ヴィクトリアアイ,ブライアンズタイム
9,8,10,フォージドブリック,牡5,60.0,大江圭,西田,564(+4),美浦,2021104800,01120,ブリックスアンドモルタル,リープオブフェイス,クロフネ
