,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,アルメーリス,牡3,57.0,田口,高橋一,546(+6),栗東,2023103675,1208,モーリス,アルメーリヒ,ネオユニヴァース,-0.3693036479579575,8,-0.0135171509852466,8,,7,40.9,45.0,41.2,8
1,2,2,ブラックパロット,牡3,57.0,横山和,手塚徳,516(-10),美浦,2023107307,1140,アドマイヤマーズ,リアアントニア,Rockport Harbor,-0.0126662072230097,6,-0.0034829518042849,6,,9,46.9,44.3,46.9,6
2,3,3,キングズテイル,牡3,57.0,浜中,岡田,480(0),栗東,2023105124,1115,リオンディーズ,スマートオランプ,キングズベスト,-0.7153191447341801,10,-0.0232524956736703,2,,3,55.8,49.5,54.2,5
3,4,4,クラッチスラッガー,牡3,57.0,幸,池添,504(-10),栗東,2023107351,732,キズナ,レンブランサ,ヘニーヒューズ,0.2909209701317994,1,0.0050586477543212,1,,4,71.2,49.4,54.8,3
4,5,5,ハイドパーク,牡3,57.0,藤懸,田中克,500(-4),栗東,2023104100,1138,クリソベリル,エイシンピカデリー,Hard Spun,0.0280817092548878,4,-0.0023364857761926,3,,5,55.4,46.2,55.3,2
5,6,6,リオンサーガ,牡3,57.0,丹内,宮地,514(-2),栗東,2023101586,1091,リオンディーズ,ヒムノティック,War Front,-0.5797677488599879,9,-0.0194386793153652,9,,6,40.6,45.1,41.2,9
6,7,7,フィサブロス,牡3,57.0,松山,橋口,458(-6),栗東,2023100230,1126,レイデオロ,アンジュエ,アグネスタキオン,0.0207378003055616,5,-0.0025431108714505,5,,1,52.9,76.6,71.4,1
7,7,8,シャイニーデイ,牡3,57.0,角田和,羽月,462(+6),栗東,2023100492,1186,ラブリーデイ,ブライティアソラ,スピルバーグ,0.120381918502874,2,0.000260433610987,7,,8,41.1,44.7,41.4,7
8,8,9,ドンテスタマスター,牡3,57.0,坂井,杉山晴,524(-4),栗東,2023105789,1163,コントレイル,インディアナギャル,Intikhab,0.120381918502874,2,0.000260433610987,4,,2,54.9,55.5,54.3,4
9,8,10,レグラヴィエール,牡3,57.0,秋山稔,浜田,500(+2),栗東,2023100774,1181,アメリカンペイトリオット,サンヴィヴァン,マンハッタンカフェ,-0.3199205169210988,7,-0.0121277282370847,10,,10,40.3,43.6,39.2,10
