,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,デルニエジョイ,牡3,57.0,田口,鈴木孝,474(+4),栗東,2023101973,1208,シスキン,グランジョイ,ダンスインザダーク,-1.2804210540615395,13,-0.5748513589448928,7,,5,45.9,49.3,49.1,7
1,2,2,コカボムショット,牡3,57.0,加藤,庄野,428(0),栗東,2023100984,1156,ファインニードル,コカボムクイーン,ブラックタイド,0.2335129095552671,6,-0.0540957560844793,12,,12,44.0,45.1,42.4,14
2,2,3,マスターストーン,牡3,57.0,北村友,前川,562(-2),栗東,2023100927,1102,サトノダイヤモンド,シェイクズセレナーデ,Unbridled's Song,-0.67438171242089,8,-0.3663889092623213,4,,8,52.0,46.7,50.3,6
3,3,4,ビービーシナジー,牡3,57.0,武豊,千田,494(0),栗東,2023100552,666,グレーターロンドン,リンピッドドラゴン,ディスクリートキャット,1.133341633184952,3,0.2554229288160321,5,,3,51.8,51.7,53.4,4
4,3,5,ルペイドゥロール,牡3,57.0,藤懸,新谷,504(-2),栗東,2023102380,1138,ゴールドドリーム,ジェルヴェーズ,メイショウサムソン,-0.8277514339576414,10,-0.4191442762194102,10,,13,44.6,44.8,43.0,10
5,4,6,ライゼシュトゥルム,牡3,57.0,菱田,角田,434(-2),栗東,2023103498,1144,イスラボニータ,ハッシュゴーゴー,アサクサキングス,-1.3896734993474489,14,-0.6124314809159449,11,,15,44.0,44.7,42.7,12
6,4,7,リヴァデラルナ,牡3,54.0,▲川端,西村,510(-4),栗東,2023102407,1195,ストロングリターン,フィアレス,スペシャルウィーク,-1.916706772116476,15,-0.7937178093054963,15,,14,43.9,44.7,42.5,13
7,5,8,オメガヒストリー,牡3,57.0,横山和,安田,498(+2),栗東,2023105245,1140,イスラボニータ,ニュープロヴィデンス,Bahamian Bounty,-0.7616223064516915,9,-0.3963975022592545,13,,10,44.0,45.3,42.7,11
8,5,9,モズジェネラル,牡3,54.0,▲森田,田中克,500(+2),栗東,2023105727,1222,モズアスコット,モズアーントモー,Uncle Mo,0.9305495994306188,5,0.1856675165385142,6,,6,51.6,47.0,51.1,5
9,6,10,スマッシング,牝3,55.0,幸,佐藤悠,464(0),栗東,2023100974,732,ダノンスマッシュ,ロイヤルスピリッツ,ハーツクライ,1.0896849388412877,4,0.2404061125425436,8,,11,45.5,45.3,44.2,9
10,6,11,リビングラヴ,牝3,55.0,岩部,牧田,496(-1),栗東,2023102736,726,ロンドンタウン,ホザンナ,ダイワメジャー,-0.9228415199038168,11,-0.4518528990675616,14,,7,43.9,46.9,42.4,15
11,7,12,フウリンカザン,牡3,57.0,浜中,前川,494(-2),栗東,2023105564,1115,カリフォルニアクローム,エイジアンウインズ,フジキセキ,-1.1443244480693244,12,-0.5280375138208852,9,,9,44.6,46.2,47.4,8
12,7,13,キャリアハイ,牡3,57.0,秋山稔,北出,536(0),栗東,2023101234,1181,デクラレーションオブウォー,ベネフィット,マンハッタンカフェ,-0.6162303217119585,7,-0.3463862782007554,2,,2,56.3,57.3,60.4,2
13,8,14,プリンセスアツコ,牝3,55.0,鮫島良,河嶋,420(-4),栗東,2023104046,1099,ドレフォン,カフジウインド,ディープインパクト,1.2150033946810808,2,0.283512542273785,3,,1,55.8,83.9,78.4,1
14,8,15,ポッドリプル,牡3,57.0,松山,辻野,466(-4),栗東,2023105593,1126,コントレイル,エピストロフィー,Charm Spirit,1.4349784122567193,1,0.3591784733149002,1,,4,82.2,51.1,60.0,3
