,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,v3_score,v3_rank,p_ai,p_market
0,1,1,ラストシャイニー,牝3,55.0,松本,千葉,424(-4),27.8,8,美浦,2023105803,1191,ダノンプレミアム,シンメイフジ,フジキセキ,-0.5359417650569174,7,-0.0722950779835167,8,-0.4923185700336296,5,-0.6472784600161623,5,0.0993888690354034,0.0286028044725299
1,2,2,ビレッジルイーザ,牝3,52.0,▲小林美,伊藤圭,452(+14),4.3,2,美浦,2023102170,1206,ノーブルミッション,オーシャンウェイ,Street Cry,0.5267499010134753,2,-0.0409018752607245,4,-0.3366847222661938,3,-0.7936836305029928,7,0.085852864692881,0.1849204568224031
2,3,3,チカマヨルキーナ,牝3,55.0,横山琉,藤岡健,468(-4),107.5,10,栗東,2023105220,1192,ナダル,エスキシータ,ハーツクライ,-1.263446941801829,10,-0.0722950779835167,8,-2.0550185512080392,10,-2.1174393339652737,10,0.0228483579338748,0.0073968182728961
3,4,4,ハスカップジャム,牝3,54.0,☆長浜,中舘,426(+10),64.7,9,美浦,2023104347,1214,フィエールマン,フライアゲイン,Fusaichi Pegasus,-0.8616239957921196,9,-0.0722950779835167,8,-0.6815788431155129,6,-0.9704364064293984,8,0.0719435784692164,0.0122899221690314
4,5,5,ルージュボニート,牝3,55.0,丹内,高柳瑞,442(-4),8.2,4,美浦,2023106623,1091,キズナ,レッドディオーサ,キングカメハメハ,0.0396466833759413,5,-0.0409018752607245,4,-0.9773297277382011,9,-0.5608929295683149,3,0.1083563850718643,0.0969704834556504
5,6,6,プルーフリーディン,牝3,55.0,鮫島駿,小林,498(+8),1.9,1,栗東,2023101145,1157,ジャスタウェイ,ノヴェッラ,ノヴェリスト,2.300504332764562,1,0.0943930095862095,1,-0.4207243492483187,4,-0.7399957551982984,6,0.0905880975388088,0.4185041917559649
6,7,7,サマースプラッシュ,牝3,53.0,◇古川奈,石栗,498(+4),38.5,7,美浦,2023106163,1190,アポロケンタッキー,アポロユッキー,アポロキングダム,0.1652723615577939,4,-0.0722950779835167,8,0.0296113077293321,1,0.0597302724351979,1,0.2015522913836074,0.0206534536191255
7,7,8,ルパピヨンブラン,牝3,55.0,西村淳,杉山佳,434(+2),8.3,3,栗東,2023105228,1171,ゴールドドリーム,フューチャーベース,ディスクリートキャット,0.5204337131529794,3,0.0943930095862095,1,-0.167991852555518,2,-0.0865593754310122,2,0.1741225236714324,0.0958021643778714
8,8,9,スリーケイ,牝3,55.0,佐々木,高橋一,510(0),12.1,6,栗東,2023100471,1197,クリソベリル,ワイルドフェイス,ワイルドラッシュ,-0.6771825862892914,8,-0.0722950779835167,8,-0.6929171502378052,7,-1.4781836013093328,9,0.0432992357424908,0.0657155342426721
9,8,10,ワイルドカグラ,牝3,51.0,★河原田,渡辺,466(+6),11.5,5,栗東,2023102549,1204,シニスターミニスター,ワイルドゲッツ,ワイルドラッシュ,-0.2144117029245919,6,0.060055897921531,3,-0.7084342585461046,8,-0.6208772895949175,4,0.1020477964604206,0.069144170811855
