,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),オッズ,人気,所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ジュリアスローズ,牝5,58.0,大江圭,粕谷,482(-2),74.8,10,美浦,2021103506,01120,エピファネイア,タニノジュレップ,コロナドズクエスト
1,2,2,スマートフランキー,牡4,60.0,田村太雅,高橋文,506(+2),232.9,13,美浦,2022101826,01105,スマートオーディン,スマートキャンディ,Candy Ride
2,3,3,コトブキヘスペラス,牡6,60.0,金子,金成,478(+8),255.8,14,美浦,2020100209,01052,ハーツクライ,エーシンベロシティ,Lemon Drop Kid
3,3,4,セイウンビッグバン,牡4,57.0,▲水沼,萱野,446(+2),44.2,8,美浦,2022100737,01201,アドマイヤマーズ,セイウンメテオ,Acclamation
4,4,5,キャネル,牡5,57.0,▲坂口,手塚久,500(-4),3.7,2,美浦,2021105885,01211,ブリックスアンドモルタル,レッドラヴィータ,スペシャルウィーク
5,4,6,グロッシェン,牡5,60.0,上野,手塚徳,476(+4),14.3,5,美浦,2021104844,01087,ニューイヤーズデイ,キャットコイン,ステイゴールド
6,5,7,フェスティヴビーム,セ6,60.0,難波,畠山,464(-16),59.0,9,美浦,2020102452,01066,リアルスティール,マクシマール,アグネスタキオン
7,5,8,ノーブルクライ,牡6,60.0,五十嵐,中舘,506(0),2.4,1,美浦,2020102976,01069,ハーツクライ,ノーブルジュエリー,Smarty Jones
8,6,9,タイキエクセロン,牡7,57.0,▲井上,橋田,508(-2),108.7,12,栗東,2019103996,01151,アメリカンペイトリオット,グッドイヴニング,コマンズ
9,6,10,ノブダブルホワイト,牡4,60.0,江田勇,松永康,434(-4),15.3,6,美浦,2022101614,01023,バゴ,ステルス,ディープインパクト
10,7,11,バンデルオーラ,牡7,60.0,伴,岩戸,486(-4),18.9,7,美浦,2019104915,01149,トーセンラー,マチカネハヤテ,サクラバクシンオー
11,7,12,バラジ,セ7,60.0,小牧加,井上,492(-6),6.0,3,栗東,2019106698,01196,ヴァンセンヌ,シーダーアラジ,アラジ
12,8,13,ニシノブレイゼスト,牡4,60.0,中村,高木,502(-6),82.8,11,美浦,2022107011,01101,シルバーステート,ニシノステディー,グランデラ
13,8,14,オーサムストローク,牡5,60.0,草野,伊藤圭,452(+4),6.9,4,美浦,2021100557,01113,エピファネイア,グランドクララ,Frankel
