,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ユーディキウム,牝3,54.0,団野,黒岩,492(+16),美浦,2022104981,01180,ロードカナロア,ファイナルディシジョン Final Decision(米),Super Saver,0.27020601833817826,4
1,2,2,プルミエソルティ,牡3,56.0,マーカンド,斎藤誠,484(+12),美浦,2022103243,05626,レイデオロ,マドモアゼル,ブラックタイド,-0.02349037327047693,5
2,3,3,ニヴルヘイム,牡3,55.0,☆吉村,栗田,452(0),美浦,2022104761,01216,エピファネイア,グレイシア,ダイワメジャー,0.5019857481027943,2
3,4,4,アスクアットバット,セ3,55.0,☆西塚,藤原,472(-12),栗東,2022110139,01200,カラヴァッジオ,Luna Rosa,Malibu Moon,-1.1370446073040021,8
4,4,5,パーセルペーパー,牡4,58.0,柴田大,和田雄,440(-4),美浦,2021106840,01009,ロージズインメイ Roses in May(米),ビジュティエ,オルフェーヴル,-2.3663862081358706,12
5,5,6,トリフォラート,牝3,54.0,内田博,小手川,482(0),美浦,2022104630,00422,サトノダイヤモンド,アンフィトリテII,Sebring,-0.4671063180121374,7
6,5,7,ウインドラート,牡4,58.0,木幡巧,水野,478(+12),美浦,2021106199,01162,ゴールドシップ,ウインジェルベーラ,アイルハヴアナザー I'll Have Another(米),0.49682018872269024,3
7,6,8,ミエノフェアリー,牝3,54.0,北村宏,古賀,400(-4),美浦,2022102064,01043,キズナ,ファータグリーン,タニノギムレット,-1.9375510155431845,11
8,6,9,カレンラップスター,牡3,56.0,小崎,小林,504(+4),栗東,2022104723,01152,ルーラーシップ,カレンオプシス,サムライハート,-1.6098703696702843,10
9,7,10,バトラーズワーフ,牡3,56.0,小林脩,浅利,466(0),美浦,2022105252,01183,ブリックスアンドモルタル Bricks and Mortar(米),エオリアンハープ,キングカメハメハ,-1.3655777699827611,9
10,7,11,キャピタルリッチ,牡3,56.0,菅原明,小笠,464(-2),美浦,2022101480,01179,オルフェーヴル,オークヒルパーク,アグネスタキオン,0.8328674672650224,1
11,8,12,チリーゴールド,牝3,54.0,杉原,深山,428(-6),美浦,2022104905,01135,オルフェーヴル,チリーシルバー,Malibu Moon,-0.18533556505355928,6
12,8,13,エデルクローネ,牡3,56.0,プーシャン,手塚久,484(+6),美浦,2022104774,05678,フィエールマン,コロナシオン,キングカメハメハ,-2.766817833788277,13
