,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,サトノソティラス,牡3,56.0,丸山,池江,494(+2),栗東,2022105587,01127,サトノダイヤモンド,ロングホットサマー Long Hot Summer(米),Street Boss,0.25941227473496054,8
1,1,2,コルデアニル,牝5,56.0,野中,金成,470(-2),美浦,2020103154,01158,モーリス,ブルザンインディゴ,フジキセキ,0.5181215909054385,6
2,2,3,ウインネモフィラ,牝5,56.0,黛,奥平,444(0),美浦,2020105205,01109,ゴールドシップ,コスモネモシン,ゼンノロブロイ,1.799244732043505,1
3,2,4,ハイラント,牡4,58.0,角田大和,伊藤大,450(+4),美浦,2021103033,01186,バゴ Bago(仏),サトノサンシャイン,ステイゴールド,-0.25338535524011085,11
4,3,5,ボンベール,牡9,58.0,菊沢,的場,496(-6),美浦,2016102904,01161,ブラックタイド,ワイルドアフリカ,ワイルドラッシュ Wild Rush(米),0.5733076872252119,5
5,3,6,カエルム,牡4,58.0,松本,安田,468(-10),栗東,2021105160,01191,ブラックタイド,ハウオリ,キングカメハメハ,1.408893725973582,2
6,4,7,ホウオウアートマン,牡3,56.0,横山琉,矢作,466(0),栗東,2022104845,01192,ドゥラメンテ,スウィートリーズン Sweet Reason(米),ストリートセンス Street Sense(米),-0.9672936469251321,13
7,4,8,ナムアミダブツ,牡8,58.0,水沼,加藤和,478(-4),美浦,2017104681,01201,オルフェーヴル,エアトゥーレ,トニービン Tony Bin(愛),0.7314641710214268,3
8,5,9,ヒシタイカン,セ5,58.0,高杉,堀,432(-4),美浦,2020103685,01213,モーリス,リュラ,ステイゴールド,-1.410718313610686,16
9,5,10,トロピカルライト,牝5,56.0,丸田,武藤,500(+12),美浦,2020102190,01117,キズナ,トロピカルスイーツ,フレンチデピュティ French Deputy(米),-1.3425868344566527,15
10,6,11,ローザサンリヴァル,牡4,58.0,亀田,高野,506(0),栗東,2021105910,01176,ルーラーシップ,ローザブランカ,クロフネ,0.3956630066872992,7
11,6,12,ラスハンメル,牡5,58.0,富田,松永幹,528(-6),栗東,2020103554,01168,シルバーステート,ピンクアリエス,キングカメハメハ,0.6558328970875722,4
12,7,13,ヴァイザーバルコ,セ5,58.0,武藤,水野,468(-6),美浦,2020106694,01169,ゴールドシップ,カレイメモワール,アドマイヤムーン,0.016006492772719243,10
13,7,14,ウインマイルート,牡6,58.0,荻野極,鈴木慎,450(-8),美浦,2019100212,01160,ゴールドシップ,コスモマイルール,ルールオブロー Rule of Law(米),0.20220252374882178,9
14,8,15,パープルクラウド,牡5,58.0,川又,吉村,516(-22),栗東,2020104553,01166,ドゥラメンテ,パープル Purple(愛),Galileo (愛),-1.0755865565729266,14
15,8,16,レーヴドロペラ,牝3,54.0,吉田隼,加藤士,460(-2),美浦,2022106709,01095,モーリス,レーヴルシード,ディープインパクト,-0.2843955198416458,12
