,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,エビュレンス,牡2,56.0,杉原,松永康,492(0),美浦,2023103138,1135,ダノンスマッシュ  2015 鹿毛  [血統][産駒]  Mr. Prospector系,ダーリング  2015 青鹿毛  [血統][産駒]  FNo.[9-e],ハービンジャー  Harbinger(英)  2006 鹿毛  [血統][産駒],0.9398668464151922,2,0.04350693537203573,2,,
1,1,2,ハリウッドグラム,牡2,56.0,マーカンド,林,524(0),美浦,2023106871,5626,キズナ  2010 青鹿毛  [血統][産駒]  Halo系,イリデッサ  Iridessa(愛)  2016 鹿毛  [血統][産駒]  FNo.[4-i],Ruler of The World  (愛)  2010 栗毛  [血統][産駒],-0.8303467482437291,12,-0.41751112717803657,12,,
2,2,3,ハルシャダ,牝2,55.0,池添,本間,492(0),美浦,2023101457,1032,アメリカンペイトリオット  2013 鹿毛  [血統][産駒]  Danzig系,ハトホル  2015 鹿毛  [血統][産駒]  FNo.[8-h],モンテロッソ  Monterosso(英)  2007 鹿毛  [血統][産駒],-1.0795441554387255,15,-0.4824097960189988,15,,
3,2,4,アルペンローゼ,牝2,55.0,横山和,栗田,482(0),美浦,2023105243,1140,イスラボニータ  2011 黒鹿毛  [血統][産駒]  Halo系,ダヴォス  2016 黒鹿毛  [血統][産駒]  FNo.[4-m],シニスターミニスター  Sinister Minister(米)  2003 鹿毛  [血統][産駒],-0.36115584848506094,11,-0.29531938702560406,11,,
4,3,5,ハオカノア,牡2,56.0,小崎,小崎,480(0),栗東,2023106078,1152,ディープブリランテ  2009 鹿毛  [血統][産駒]  Halo系,カノア  2017 鹿毛  [血統][産駒]  FNo.[2-f],キングカメハメハ  2001 鹿毛  [血統][産駒],1.8356249711895474,1,0.2767898998927816,1,,
5,3,6,パラダイスフェイス,牡2,56.0,木幡巧,牧,498(0),美浦,2023104103,1162,エスポワールシチー  2005 栗毛  [血統][産駒]  Halo系,ステージトリック  Stage Trick(米)  2006 栗毛  [血統][産駒]  FNo.[25],Distorted Humor  (米)  1993 栗毛  [血統][産駒],-0.9215425541629992,13,-0.4412613197448805,13,,
6,4,7,リケアマカロニ,牝2,55.0,原田和,小野,472(0),美浦,2023104808,1143,ニューイヤーズデイ  2011 鹿毛  [血統][産駒]  Mr. Prospector系,ヴァバーウエン  Verbouwen(米)  2013 栗毛  [血統][産駒]  FNo.[1-o],Kitten's Joy  (米)  2001 栗毛  [血統][産駒],0.4240903197312049,8,-0.09081713476170006,8,,
7,4,8,タイキブリッツェン,牡2,56.0,三浦,伊藤圭,496(0),美浦,2023102181,1122,モズアスコット  2014 栗毛  [血統][産駒]  Sadler's Wells系,ネフェルティティ  2013 芦毛  [血統][産駒]  FNo.[23-b],ゴールドアリュール  1999 栗毛  [血統][産駒],-2.1501763700183365,16,-0.761235351736351,16,,
8,5,9,ストーリーオブラブ,牝2,55.0,小林脩,小野,432(0),美浦,2023106587,1183,マジェスティックウォリアー  Majestic Warrior(米)  2005 鹿毛  [血統][産駒]  Seattle Slew系,オルレアンノオトメ  2007 鹿毛  [血統][産駒]  FNo.[1-t],チーフベアハート  Chief Bearhart(加)  1993 栗毛  [血統][産駒],0.8952406085887901,3,0.03188489057263928,3,,
9,5,10,ナンヨーリクエスト,牝2,54.0,☆吉村,中舘,432(0),美浦,2023101878,1216,ドレフォン  Drefong(米)  2013 鹿毛  [血統][産駒]  Storm Bird系,ナンヨーインディゴ  2018 鹿毛  [血統][産駒]  FNo.[7-f],キングカメハメハ  2001 鹿毛  [血統][産駒],-0.9286519789365528,14,-0.4431128326045931,14,,
10,6,11,トリエンナーレ,牝2,55.0,佐々木,森一,424(0),美浦,2023103779,1197,マインドユアビスケッツ  Mind Your Biscuits(米)  2013 栗毛  [血統][産駒]  Deputy Minister系,サンヴァンサン  2007 栗毛  [血統][産駒]  FNo.[2-s],クロフネ  1998 芦毛  [血統][産駒],0.224781079349473,9,-0.142723390665704,9,,
11,6,12,ハニーオーケストラ,牝2,54.0,☆西塚,稲垣,446(0),美浦,2023105811,1200,ダノンスマッシュ  2015 鹿毛  [血統][産駒]  Mr. Prospector系,パステラリア  2014 鹿毛  [血統][産駒]  FNo.[1-l],エンパイアメーカー  Empire Maker(米)  2000 黒鹿毛  [血統][産駒],-0.30676421866995623,10,-0.2811541338200259,10,,
12,7,13,ルクスドリーム,牡2,56.0,菅原明,小崎,494(0),栗東,2023102763,1179,イスラボニータ  2011 黒鹿毛  [血統][産駒]  Halo系,スマートアルファ  2013 芦毛  [血統][産駒]  FNo.[22],アグネスデジタル  1997 栗毛  [血統][産駒],0.5690924312338798,6,-0.05305412542072114,6,,
13,7,14,ペタルズダンス,牝2,55.0,プーシャン,嘉藤,452(0),美浦,2023106796,5678,クリソベリル  2016 鹿毛  [血統][産駒]  Halo系,カイカヨソウ  2010 鹿毛  [血統][産駒]  FNo.[1-e],ティンバーカントリー  Timber Country(米)  1992 栗毛  [血統][産駒],0.6310724887993432,4,-0.03691261224864689,4,,
14,8,15,カセノソレイユ,牡2,56.0,団野,鈴木伸,494(0),美浦,2023104154,1180,アジアエクスプレス  2011 栗毛  [血統][産駒]  Storm Bird系,デアリングプライド  2009 鹿毛  [血統][産駒]  FNo.[1-l],ダイワメジャー  2001 栗毛  [血統][産駒],0.43241864876171027,7,-0.0886481817463647,7,,
15,8,16,アジアントレジャー,牡2,56.0,酒井,蛯名正,512(0),美浦,2023102392,1034,アジアエクスプレス  2011 栗毛  [血統][産駒]  Storm Bird系,ディスティンダリア  2012 鹿毛  [血統][産駒]  FNo.[1-l],ショウナンカンプ  1998 鹿毛  [血統][産駒],0.6259944798862203,5,-0.038235081942588546,5,,
