,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4
0,1,1,ゴットリープ,牡5,57.0,▲坂口,栗田,472(-10),美浦,2020101319,01211,キンシャサノキセキ,アンタークティカ,コマンズ Commands(豪)
1,2,2,キタノマキシム,牡4,60.0,上野,伊藤伸,484(-2),美浦,2021100514,01087,ロジャーバローズ,エリモプリンセス,キングカメハメハ
2,3,3,アスクオンディープ,セ6,60.0,小牧加,前川,490(-16),栗東,2019101612,01196,ディープインパクト,カラズマッチポイント Kara's Match Point(米),Curlin (米)
3,4,4,ヒロピアーナ,牡5,60.0,伴,石栗,536(-2),美浦,2020105914,01149,リアルインパクト,ハルノアシオト,エンパイアメーカー Empire Maker(米)
4,5,5,アドミラブルエース,牡6,57.0,▲井上,蛯名利,486(-10),美浦,2019106113,01151,ワールドエース,メイケイペガムーン,アドマイヤムーン
5,6,6,リオンエトワール,セ5,60.0,大江圭,堀内,440(-4),美浦,2020102589,01120,ルーラーシップ,ミネット,ディープインパクト
6,6,7,サウンドブライアン,牡7,60.0,小野寺,加藤公,490(-6),栗東,2018103902,01123,クリーンエコロジー,ブライアンオークス,ブライアンズタイム Brian's Time(米)
7,7,8,ホークフィールド,牡4,60.0,高田,武英,490(+6),栗東,2021105004,01046,キズナ,カンビーナ Cambina(愛),Hawk Wing
8,7,9,チンプンカンプン,牡3,58.0,江田勇,奥平,470(0),美浦,2022106465,01023,ホークビル Hawkbill(米),ヨシノファルコン,ビービーガルダン
9,8,10,アポロプラネット,牡6,60.0,草野,伊藤圭,498(0),美浦,2019101264,01113,リオンディーズ,アポロノカンザシ,Ghostzapper
10,8,11,モズクルードラゴン,牡6,57.0,▲水沼,天間,486(+6),美浦,2019103719,01201,グランプリボス,モズラコルタ,ヴィクトワールピサ
