,枠,馬番,馬名,性齢,斤量,騎手,厩舎,所属,horse_id,jockey_id,父,母,母父
0,1,1,ニシノパプルブリリ,牝5,58.0,伴,加藤和,美浦,2020105495,01149,ディープブリランテ  ,ニシノクローバー  ,アドマイヤオーラ  
1,2,2,エンデュミオン,牡8,61.0,黒岩,清水久,栗東,2017106153,01072,ヴィクトワールピサ  ,ヒラボクビジン  ,ブライアンズタイム  Brian's Time(米)  
2,3,3,ザスリーサーティ,牡10,57.0,▲坂口,尾形,美浦,2015105440,01211,ステイゴールド  ,ツーデイズノーチス  ,ヘクタープロテクター  Hector Protector(米)  
3,4,4,メイショウカズサ,牡8,60.0,森一,安達,栗東,2017106642,01139,カジノドライヴ  ,プレシャスエルフ  ,コロナドズクエスト  Coronado's Quest(米)  
4,4,5,テイエムナイスラン,牡6,57.0,▲土田,石栗,美浦,2019102826,01198,ジャスタウェイ  ,メイショウボーテ  ,シンボリクリスエス  
5,5,6,シャンドゥレール,セ5,60.0,大江圭,国枝,美浦,2020103053,01120,エピファネイア  ,マジェスティッククオリティ  Majestic Quality(米)  ,Quality Road  
6,5,7,ヒルズカーン,牡5,60.0,草野,松永康,美浦,2020106166,01113,ダノンバラード  ,ドクトルコスモ  ,オレハマッテルゼ  
7,6,8,トゥラッタッタ,牡4,60.0,江田勇,新開,美浦,2021102973,01023,デクラレーションオブウォー  ,クイーンマザー  ,ハーツクライ  
8,6,9,アルデドゥオーモ,牡4,60.0,金子,矢野,美浦,2021100361,01052,オルフェーヴル  ,アルフィルク  ,アグネスタキオン  
9,7,10,スズカハービン,牡5,60.0,難波,高橋忠,栗東,2020106654,01066,ハービンジャー  Harbinger(英)  ,スズカローラン  ,サンデーサイレンス  Sunday Silence(米)  
10,7,11,サルサロッサ,牝6,57.0,▲井上,高柳瑞,美浦,2019103100,01151,エスケンデレヤ  ,ノバラ  ,マンハッタンカフェ  
11,8,12,プラチナドリーム,牡6,61.0,石神深,菊川,美浦,2019106330,01059,ホッコータルマエ  ,サティーヌアロム  ,シンボリクリスエス  
12,8,13,ルドヴィクス,牡7,60.0,小牧加,久保田,美浦,2018105213,01196,モーリス  ,ピーチブローフィズ  ,シンボリクリスエス  
