,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ミッキースターダム,セ4,58.0,高杉,前川,460(+2),栗東,2021105765,01213,エピファネイア  ,ベルダム  ,ディープインパクト  ,-0.061244480652455954,9
1,2,2,ハレアカラフラ,牝5,56.0,池添,吉田,478(-4),栗東,2020103292,01032,ラブリーデイ  ,オーキッドレイ  ,ディープインパクト  ,-1.3072435750914602,11
2,2,3,アトラクトラン,セ3,53.0,★河原田,渡辺,446(-6),栗東,2022104297,01204,シャンハイボビー  Shanghai Bobby(米)  ,ヒワラニ  ,ディープインパクト  ,-3.6514224527508445,15
3,3,4,テイクイットオール,牡3,55.0,△柴田裕,中竹,458(0),栗東,2022106647,01212,キズナ  ,トップソリスト  ,War Front  ,-1.1082833783126007,10
4,3,5,オーサムピクチャ,牝4,53.0,▲田山,佐々木,436(-2),栗東,2021104148,01220,キズナ  ,プレイズネイチャ  ,キングカメハメハ  ,0.7990022097455038,5
5,4,6,ニシノイツキムスメ,牝3,55.0,和田竜,北出,418(0),栗東,2022107012,01018,レイデオロ  ,ニシノハナムスメ  ,ディープインパクト  ,-2.6830615944797622,13
6,4,7,ザラタン,牝3,55.0,鮫島駿,中竹,446(0),栗東,2022107342,01157,キズナ  ,カメキチ  ,Mizzen Mast  ,0.6313922556576692,6
7,5,8,サリュエ,牡4,58.0,岩田望,野中,498(+20),栗東,2021101650,01174,ファインニードル  ,ザミリア  Zameyla(愛)  ,Cape Cross  ,1.0137316796104425,4
8,5,9,ビップディラン,牡3,57.0,西村淳,小椋,462(+8),栗東,2022100382,01171,ミッキーグローリー  ,ビップシンドウ  ,ロードカナロア  ,-1.485906082511299,12
9,6,10,エーデルヴェーグ,牝3,55.0,北村友,田中克,440(-2),栗東,2022104647,01102,サートゥルナーリア  ,インナーアージ  ,ディープインパクト  ,0.0840570584140811,8
10,6,11,シャイフ,牡3,57.0,Ｃデムーロ,池添,476(0),栗東,2022104985,05473,ミッキーアイル  ,ファディラー  Fadillah(英)  ,Monsun  ,2.61344369271587,2
11,7,12,ダノンブランニュー,牡3,56.0,☆松本,福永,488(-4),栗東,2022105334,01191,ミッキーアイル  ,サザンスターズ  Southern Stars(英)  ,Smart Strike  (加)  ,5.424042065484784,1
12,7,13,ダイシンラー,牡3,57.0,横山典,梅田,502(0),栗東,2022101562,00660,サトノダイヤモンド  ,グレースドゥモナコ  ,タイキシャトル  ,0.4171709104408776,7
13,8,14,サンウリエル,牡4,58.0,中井,宮本,480(+8),栗東,2021101304,01141,ディーマジェスティ  ,ピントゥハティ  ,アドマイヤムーン  ,2.1933032597761914,3
14,8,15,オリバナム,牝3,55.0,団野,斉藤崇,476(-10),栗東,2022100381,01180,ロジャーバローズ  ,ハマオリ  ,タートルボウル  Turtle Bowl(愛)  ,-3.5120113381078677,14
