,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,サンライズウェーヴ,牡4,60.0,難波,石坂,490(-4),栗東,2021102221,01066,マジェスティックウォリアー  Majestic Warrior(米)  ,コパノレヴィーン  ,ゴールドアリュール  
1,2,2,アナザーエース,牡5,57.0,▲井上,宮,524(+8),栗東,2020104005,01151,ヤマカツエース  ,ホットフレイバー  ,タバスコキャット  Tabasco Cat(米)  
2,3,3,ナムラドーギー,牡4,57.0,▲坂口,石栗,458(-4),美浦,2021104267,01211,サトノアレス  ,ナムラエメラルド  ,ファンタスティックライト  Fantastic Light(米)  
3,4,4,バラジ,セ6,57.0,▲鷲頭,井上,500(-2),栗東,2019106698,01202,ヴァンセンヌ  ,シーダーアラジ  ,アラジ  Arazi(米)  
4,5,5,ビーアイオラクル,牡6,60.0,黒岩,牧田,504(0),栗東,2019106691,01072,エスポワールシチー  ,ビットアリエス  ,ヨハネスブルグ  Johannesburg(米)  
5,6,6,メイショウウネビ,牡6,60.0,森一,本田,510(+8),栗東,2019104112,01139,メイショウサムソン  ,サーストンララア  ,キングカメハメハ  
6,6,7,ハイウェイスター,牝4,58.0,中村,宮本,498(+6),栗東,2021106621,01101,アメリカンペイトリオット  ,キエレ  ,Distorted Humor  (米)  
7,7,8,ブルーセルリアン,牡3,58.0,小牧加,宮,480(0),栗東,2022102325,01196,エイシンフラッシュ  ,チェキ  ,ゴールドアリュール  
8,7,9,ネイチャーシップ,牡7,60.0,大江圭,根本,502(-4),美浦,2018102917,01120,ゴールドシップ  ,アルデグロリア  ,アルデバランII  Aldebaran(米)  
9,8,10,テーオーサンドニ,牡6,60.0,小野寺,高柳大,480(+2),栗東,2019104079,01123,キタサンブラック  ,ポールポジションII  Pole Position(英)  ,Pivotal  
10,8,11,ヘヴンリーハンド,セ4,60.0,石神深,武井,516(0),美浦,2021106910,01059,オルフェーヴル  ,アンシェリゼ  Une Cherise(米)  ,Curlin  (米)  
