,式別,馬番,配当,人気
202604010101,単勝,7,340,2
202604010101,複勝,7,150,2
202604010101,複勝,8,380,7
202604010101,複勝,11,160,3
202604010101,枠連,5-5,3100,11
202604010101,馬連,7-8,2600,11
202604010101,ワイド,7-8,840,11
202604010101,ワイド,7-11,340,3
202604010101,ワイド,8-11,1140,18
202604010101,馬単,7→8,3500,11
202604010101,三連複,7-8-11,3060,14
202604010101,三連単,7→8→11,16320,51
202604010102,単勝,5,500,2
202604010102,複勝,5,190,2
202604010102,複勝,4,560,8
202604010102,複勝,6,230,3
202604010102,枠連,3-3,7360,19
202604010102,馬連,4-5,8280,26
202604010102,ワイド,4-5,2280,28
202604010102,ワイド,5-6,880,10
202604010102,ワイド,4-6,2240,29
202604010102,馬単,5→4,11920,42
202604010102,三連複,4-5-6,13760,48
202604010102,三連単,5→4→6,81210,266
202604010103,単勝,8,390,2
202604010103,複勝,8,160,3
202604010103,複勝,4,160,4
202604010103,複勝,3,160,2
202604010103,枠連,3-5,930,5
202604010103,馬連,4-8,980,4
202604010103,ワイド,4-8,350,4
202604010103,ワイド,3-8,410,5
202604010103,ワイド,3-4,430,6
202604010103,馬単,8→4,1940,7
202604010103,三連複,3-4-8,1750,4
202604010103,三連単,8→4→3,8260,23
202604010104,単勝,2,8800,11
202604010104,複勝,2,1460,11
202604010104,複勝,3,180,2
202604010104,複勝,11,190,3
202604010104,枠連,2-3,13880,28
202604010104,馬連,2-3,15920,40
202604010104,ワイド,2-3,4300,39
202604010104,ワイド,2-11,5080,45
202604010104,ワイド,3-11,770,13
202604010104,馬単,2→3,43200,90
202604010104,三連複,2-3-11,31770,99
202604010104,三連単,2→3→11,308170,650
202604010105,単勝,13,890,3
202604010105,複勝,13,360,3
202604010105,複勝,10,1650,11
202604010105,複勝,16,4340,14
202604010105,枠連,5-7,250,1
202604010105,馬連,10-13,18280,39
202604010105,ワイド,10-13,5260,41
202604010105,ワイド,13-16,15850,72
202604010105,ワイド,10-16,40440,103
202604010105,馬単,13→10,33860,68
202604010105,三連複,10-13-16,476070,347
202604010105,三連単,13→10→16,2284250,1
202604010106,単勝,5,280,1
202604010106,複勝,5,130,1
202604010106,複勝,8,610,8
202604010106,複勝,6,150,2
202604010106,枠連,4-5,490,2
202604010106,馬連,5-8,3200,12
202604010106,ワイド,5-8,1210,13
202604010106,ワイド,5-6,250,1
202604010106,ワイド,6-8,2360,28
202604010106,馬単,5→8,4900,18
202604010106,三連複,5-6-8,4770,12
202604010106,三連単,5→8→6,23200,64
202604010107,単勝,1,140,1
202604010107,複勝,1,110,1
202604010107,複勝,2,300,5
202604010107,複勝,14,240,3
202604010107,枠連,1-2,490,1
202604010107,馬連,1-2,820,3
202604010107,ワイド,1-2,390,3
202604010107,ワイド,1-14,330,2
202604010107,ワイド,2-14,1610,16
202604010107,馬単,1→2,1130,3
202604010107,三連複,1-2-14,2370,3
202604010107,三連単,1→2→14,7240,11
202604010108,単勝,1,870,5
202604010108,複勝,1,230,5
202604010108,複勝,10,230,4
202604010108,複勝,12,190,2
202604010108,枠連,1-7,3990,13
202604010108,馬連,1-10,3680,12
202604010108,ワイド,1-10,990,12
202604010108,ワイド,1-12,790,10
202604010108,ワイド,10-12,600,6
202604010108,馬単,1→10,7970,24
202604010108,三連複,1-10-12,5670,15
202604010108,三連単,1→10→12,39160,116
202604010109,単勝,11,180,1
202604010109,複勝,11,110,1
202604010109,複勝,6,210,4
202604010109,複勝,12,210,3
202604010109,枠連,4-6,480,2
202604010109,馬連,6-11,980,4
202604010109,ワイド,6-11,390,3
202604010109,ワイド,11-12,360,2
202604010109,ワイド,6-12,1640,16
202604010109,馬単,11→6,1240,3
202604010109,三連複,6-11-12,2450,5
202604010109,三連単,11→6→12,7700,9
202604010110,単勝,4,640,3
202604010110,複勝,4,210,3
202604010110,複勝,15,200,2
202604010110,複勝,8,250,5
202604010110,枠連,3-8,1340,5
202604010110,馬連,4-15,2000,4
202604010110,ワイド,4-15,920,9
202604010110,ワイド,4-8,970,11
