,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父
0,1,1,シルヴァーデューク,セ5,60.0,小牧加,前川,452(-6),栗東,2020100052,01196,シルバーステート  ,ヴァナディース  ,ロックオブジブラルタル  
1,2,2,ダノンロッキー,牡4,60.0,五十嵐,萩原,500(+4),美浦,2021105654,01069,キズナ  ,ティファニーズオナー  Tiffany's Honour(米)  ,Street Cry  (愛)  
2,3,3,キングサーガ,セ8,60.0,小野寺,小栗,494(-8),栗東,2017105439,01123,キングカメハメハ  ,ディアマイベイビー  ,ディープインパクト  
3,3,4,ダスク,牡5,57.0,▲井上,石坂,470(-8),栗東,2020106953,01151,シニスターミニスター  Sinister Minister(米)  ,フォルクスオーパー  ,テイエムオペラオー  
4,4,5,イチリュウオー,牡4,57.0,▲水沼,小西,472(+16),美浦,2021100123,01201,バゴ  Bago(仏)  ,マールデルプラタ  ,ステイゴールド  
5,4,6,ベルウッドウズメ,セ6,60.0,石神深,本間,496(+10),美浦,2019109138,01059,ケイムホーム  Came Home(米)  ,コチョウサン  ,クロフネ  
6,5,7,ブライテストドーン,セ5,60.0,草野,田島,524(+4),美浦,2020102956,01113,マインドユアビスケッツ  Mind Your Biscuits(米)  ,デザートオブムーン  ,ゼンノロブロイ  
7,5,8,アドミラブルエース,牡6,60.0,伴,蛯名利,496(+16),美浦,2019106113,01149,ワールドエース  ,メイケイペガムーン  ,アドマイヤムーン  
8,6,9,テーオービースト,牡3,56.0,▲土田,清水英,486(+20),美浦,2022103159,01198,ディーマジェスティ  ,シンメイゲイルス  ,ダンスインザダーク  
9,6,10,カレンマックナイト,牡6,60.0,黒岩,平田,444(-4),栗東,2019105140,01072,カレンブラックヒル  ,カレンオプシス  ,サムライハート  
10,7,11,グラツィオーソ,牝3,56.0,江田勇,田中剛,470(+4),美浦,2022102779,01023,ロゴタイプ  ,タオヤカ  ,プリサイスエンド  Precise End(米)  
11,7,12,ロードヴァレンチ,セ6,57.0,▲坂口,中舘,488(-6),美浦,2019103507,01211,エスポワールシチー  ,アンダルシア  ,アルカセット  Alkaased(米)  
12,8,13,ヴァランセカズマ,牡8,60.0,大江圭,蛯名利,504(+2),美浦,2017105822,01120,モンテロッソ  Monterosso(英)  ,トシザマキ  ,デュランダル  
13,8,14,マルベリーシチー,牡5,60.0,上野,奥平,500(0),美浦,2020100684,01087,サトノアラジン  ,ベルミュール  ,キングカメハメハ  
