,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,父,母,母父,score,rank
0,1,1,ヤエギリ,牝3,54.0,小沢,福永,476(+8),栗東,2022110125,01185,Gun Runner  (米)  ,Nokaze  ,エンパイアメーカー  Empire Maker(米)  ,-2.3122969611825277,10
1,2,2,ダノンジャイアン,牡3,56.0,斎藤,茶木,446(-4),栗東,2022105399,01178,ブリックスアンドモルタル  Bricks and Mortar(米)  ,ダノンジャンヌ  ,ディープインパクト  ,-1.020527884025576,6
2,2,3,メイショウアゴナス,牡3,56.0,中井,本田,472(-4),栗東,2022103263,01141,スワーヴリチャード  ,メイショウブーケ  ,フレンチデピュティ  French Deputy(米)  ,-2.0232206170946,9
3,3,4,コスモレオナルド,牡4,58.0,杉原,鹿戸,472(+6),美浦,2021106829,01135,ゴールドシップ  ,ミルルーテウス  ,アグネスタキオン  ,0.6857945574501448,3
4,3,5,コスモアチーブ,牡3,56.0,野中,相沢,478(+8),美浦,2022106792,01158,ゴールドシップ  ,パフォーム  ,マツリダゴッホ  ,-4.127861130162394,15
5,4,6,スワローサプライズ,牝3,51.0,▲和田陽,杉山晴,462(+8),栗東,2022100094,01223,エピファネイア  ,ナニアヒアヒ  ,キングカメハメハ  ,0.901011652028184,2
6,4,7,ホウオウレイヴン,セ3,56.0,鮫島駿,矢作,452(-4),栗東,2022105322,01157,サートゥルナーリア  ,コンテッサトゥーレ  ,ディープインパクト  ,0.04953293342398586,5
7,5,8,アスクメークシェア,牡5,55.0,▲古川奈,前川,496(0),栗東,2020101029,01190,ロードカナロア  ,ディープインアスク  ,ディープインパクト  ,-3.9183896953350246,14
8,5,9,コイヌール,牡4,55.0,▲舟山,柄崎,492(+4),美浦,2021106561,01221,リオンディーズ  ,ウインジュビリー  ,シンボリクリスエス  ,-2.3689756801797097,12
9,6,10,ウールデュボヌール,牡4,55.0,▲大久保,須貝,490(-8),栗東,2021104860,01194,キタサンブラック  ,サンクボヌール  ,ハービンジャー  Harbinger(英)  ,-1.2028131779417741,8
10,6,11,レベルスルール,牡3,55.0,☆松本,池江,504(0),栗東,2022105868,01191,イスラボニータ  ,ロックディスタウン  ,オルフェーヴル  ,0.4230710540633076,4
11,7,12,メイショウキンタイ,牡3,53.0,▲石神道,高橋亮,478(+4),栗東,2022100068,01209,フィエールマン  ,ビーマイステディ  ,ヴィクトワールピサ  ,0.9099597147862956,1
12,7,13,トーマステソーロ,牡4,58.0,古川吉,昆,460(-8),栗東,2021102283,01015,オルフェーヴル  ,モトカ  ,Frankel  ,-2.3373173369664704,11
13,8,14,ディヴァインスター,牡3,56.0,丹内,林,484(+4),美浦,2022105984,01091,アドマイヤマーズ  ,メジロマリアン  ,メジロベイリー  ,-1.0960459402251599,7
14,8,15,イサムダイヤモンド,牡3,56.0,横山琉,高橋文,464(-2),美浦,2022106098,01192,サトノダイヤモンド  ,ヒメタチバナ  ,ナカヤマフェスタ  ,-2.83161835497962,13
