,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,ユイノカタリベ,牡2,56.0,木幡初,竹内,512(-2),美浦,2023106577,1153,タワーオブロンドン,ランリーナ,エイシンフラッシュ,-0.3282859521349203,11,-0.2910266456393732,11,,
1,2,2,パータリプトラ,セ2,53.0,▲石神道,武井,472(+2),美浦,2023103263,1209,アメリカンペイトリオット,カフェローレル,マンハッタンカフェ,0.9772985052618484,3,0.12323414220384307,3,,
2,3,3,リフラ,牡2,56.0,亀田,西村,478(0),栗東,2023106018,1176,シニスターミニスター,サンタテレサ,ドリームジャーニー,-0.6815544597378551,13,-0.4031184290936507,13,,
3,4,4,セイウンリメンバー,牡2,54.0,△長浜,千葉,472(-2),美浦,2023100149,1214,ミッキーアイル,ビートゴーズオン,Curlin,0.022459946697186053,8,-0.17973528370582004,8,,
4,4,5,クラシオン,牡2,56.0,菊沢,菊沢,470(+4),美浦,2023104780,1161,モーニン,マージェリー,オルフェーヴル,1.0582550729866043,2,0.1489215891834206,2,,
5,5,6,キャッチアシーフ,牡2,56.0,斎藤,佐藤悠,512(+6),栗東,2023103810,1178,マインドユアビスケッツ,フルオブグレース,ヴィクトワールピサ,-0.625771539461019,12,-0.38541855807331526,12,,
6,5,7,シュヴァルツシルト,牡2,56.0,丸山,田島,466(-6),美浦,2023100359,1127,ミスチヴィアスアレックス,パワフルノンコ,ワークフォース,0.04035449504692801,7,-0.1740573594202908,7,,
7,6,8,ブルーミーティア,牡2,53.0,▲上里,鈴木伸,488(-10),美浦,2023100647,1217,モズアスコット,ショコラミーティア,マジェスティックウォリアー,0.6690358829354056,4,0.025422686143624713,4,,
8,6,9,ムソウテンセイ,牡2,53.0,▲和田陽,鈴木孝,434(-2),栗東,2023107472,1223,アメリカンペイトリオット,モエレサンタマリア,ゴールドヘイロー,0.3075077345535422,5,-0.08928987398809837,5,,
9,7,10,オメガヒストリー,牡2,56.0,国分優,安田,484(-2),栗東,2023105245,1125,イスラボニータ,ニュープロヴィデンス,Bahamian Bounty,2.4374698861636106,1,0.5865452234682347,1,,
10,7,11,ザキノフレンズ,牡2,56.0,富田,東田,502(-4),栗東,2023104433,1168,モーニン,ザデイ,シンボリクリスエス,-0.07422253423063077,9,-0.2104125489665096,9,,
11,8,12,マイネルトレマーズ,牡2,56.0,小沢,手塚久,558(0),美浦,2023105363,1185,ベンバトル,ネイティヴコード,アグネスデジタル,0.16848851157404343,6,-0.1334005498701238,6,,
12,8,13,ロイヤルスパイア,牡2,55.0,☆松本,栗田,462(-6),美浦,2023101112,1191,タワーオブロンドン,エンクリプション,ストーミングホーム,-0.29135785038978856,10,-0.2793093917797528,10,,
