,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,チギリ,牝3,52.0,▲石神道,鹿戸,466(+4),美浦,2022105429,1209,レッドファルクス,ナチュラルスタンス,フジキセキ,-1.0564279625109647,12,-0.6018692380079372,12,,
1,2,2,メイショウハリソン,牡3,57.0,小沢,石橋,474(-2),栗東,2022103250,1185,ブリックスアンドモルタル,メイショウオウヒ,マンハッタンカフェ,-1.3728317672358359,15,-0.7112975950537581,15,,
2,2,3,ハギノカノア,牡5,55.0,▲大久保,秋山,482(0),栗東,2020100978,1194,ロードカナロア,ハギノフェリス,ディープインパクト,-0.7515124990442769,11,-0.4964141274600776,11,,
3,3,4,テーオーノーベル,牡3,55.0,△柴田裕,岡田,480(-2),栗東,2022100725,1212,ロードカナロア,ジャストアスミッジ,Into Mischief,0.7355626144653572,3,0.017891276094051733,3,,
4,3,5,ルグランシャリオ,牡3,53.0,★河原田,石栗,534(+14),美浦,2022102611,1204,フサイチセブン,ティーエスベリー,New Approach,0.6141195196814466,4,-0.024109857072848535,4,,
5,4,6,キュードス,牡3,55.0,◇永島,荒川,490(-8),栗東,2022106312,1187,ミスターメロディ,アルカンジュ,チチカステナンゴ,-1.1770575287602945,13,-0.6435890120709972,13,,
6,4,7,ヒサエノオモカゲ,牝3,53.0,△長浜,千葉,480(+10),美浦,2022101710,1214,ノーブルミッション,クレマチスクィーン,ダンスインザダーク,-1.2487937966021587,14,-0.6683990232444093,14,,
7,5,8,リュミナーズ,牝3,55.0,亀田,堀内,448(-4),美浦,2022101465,1176,ルヴァンスレーヴ,レセディラローナ,エンパイアメーカー,-0.344491968541432,9,-0.35564594682592215,9,,
8,5,9,ラルガメンテ,牝3,55.0,斎藤,尾関,468(+6),美浦,2022105982,1178,ドゥラメンテ,メジロツボネ,スウェプトオーヴァーボード,0.5438635766568904,5,-0.048407897434806495,5,,
9,6,10,シゲルオトヒメ,牝6,53.0,▲古川奈,谷,434(-8),栗東,2019102986,1190,ベルシャザール,ピースヴィクトリア,マヤノトップガン,0.2345939459859784,7,-0.15536889810265173,7,,
10,6,11,リアルペガサス,牡4,55.0,▲和田陽,大橋,464(+2),栗東,2021103316,1223,ダンカーク,ボストンビリーヴ,アグネスタキオン,0.24664626578819981,6,-0.15120059944488204,6,,
11,7,12,コウジョリョウゾク,牡3,54.0,▲橋木,牧田,478(0),栗東,2022103135,1215,ルヴァンスレーヴ,メイショウキズナ,チチカステナンゴ,1.1012766021317977,2,0.14437357567895434,2,,
12,7,13,トーアケルキラ,セ3,55.0,△鷲頭,辻,478(+2),美浦,2022105903,1202,イスラボニータ,トーアシシイ,ボストンハーバー,0.18368028862169858,8,-0.17297740278359766,8,,
13,8,14,ウインドワンピース,牡5,55.0,▲川端,新開,512(-10),美浦,2020103901,1195,ヴァンセンヌ,シーデイライト,ヘニーヒューズ,-0.6211357874934161,10,-0.45132330007747595,10,,
14,8,15,ロストボール,セ6,55.0,▲上里,加藤和,454(+2),美浦,2019106972,1217,フリオーソ,センスオブラヴ,ストリートセンス,1.921070803211943,1,0.42789966228179344,1,,
