,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value
0,1,1,エアトベーレ,牝2,55.0,嶋田,手塚久,402(-6),美浦,2023100964,1134,レイデオロ,マウレア,ディープインパクト,-0.5649874222936123,13,-0.43190437001762416,13,,
1,2,2,オーケートムボーイ,牝2,55.0,斎藤,奥村豊,456(+8),栗東,2023103900,1178,シニスターミニスター,プントバンコ,フジキセキ,-0.6472331049726794,14,-0.46034906567325384,14,,
2,3,3,ブルーメサンライズ,牝2,55.0,富田,石坂,462(-10),栗東,2023101573,1168,キタサンブラック,サイモンガーランド,ロージズインメイ,0.42540080983563555,6,-0.08937828322275312,6,,
3,3,4,スウィープシャルム,牝2,55.0,荻野琢,前川,462(+6),栗東,2023102791,1112,アニマルキングダム,ビジュートウショウ,ディープスカイ,0.7353219184489219,4,0.017808031299796228,4,,
4,4,5,アクシュラ,牝2,55.0,小沢,橋口,448(-4),栗東,2023104416,1185,ドレフォン,ユメノトビラ,Bernardini,-0.03130788155443155,9,-0.24733113018936675,9,,
5,4,6,セレーノ,牝2,53.0,◇永島,高橋亮,444(+2),栗東,2023104372,1187,モーリス,アングルティール,ディープインパクト,0.09284721891188492,7,-0.20439204898994306,7,,
6,5,7,マカロンブルー,牝2,53.0,◇今村,佐藤悠,450(-10),栗東,2023104965,1193,シニスターミニスター,アスターストーリー,ゴールドアリュール,0.4614980034671068,5,-0.07689405726190687,5,,
7,5,8,アンファール,牝2,55.0,黛,和田雄,408(+6),美浦,2023104466,1109,レッドファルクス,ジャカランダテラス,Redoute's Choice,0.787471992273891,3,0.03584415100906105,3,,
8,6,9,ホールドミーワンス,牝2,55.0,菊沢,西園翔,502(+4),栗東,2023103379,1161,ブリックスアンドモルタル,キスミーワンス,ネオユニヴァース,1.6684726944853416,1,0.3405385256011862,1,,
9,6,10,ジューンレイヴン,牝2,55.0,加藤,小椋,--,栗東,2023106701,1156,タワーオブロンドン,オーシャンズルーラ,バトルプラン,1.0699469806955415,2,0.13353821608642932,2,,
10,7,11,スマートコーラル,牝2,55.0,藤懸,石坂,494(-4),栗東,2023106001,1138,マジェスティックウォリアー,スマートサクソン,ドリームジャーニー,-0.49562316069865875,11,-0.40791471796324213,11,,
11,7,12,アイビーミャーオ,牝2,54.0,☆松本,小林,464(-4),栗東,2023101755,1191,フォーウィールドライブ,ルンルンキャット,キングヘイロー,-0.5568127312334847,12,-0.4290771505003217,12,,
12,8,13,クイーンズドリーム,牝2,55.0,小崎,大久保,514(-4),栗東,2023106857,1152,クリソベリル,アンデスクイーン,タートルボウル,0.017465051667167282,8,-0.2304629956377421,8,,
13,8,14,ミヤムーブメント,牝2,52.0,▲上里,緒方,400(-2),栗東,2023101657,1217,イスラボニータ,パピヨナージュ,キングカメハメハ,-0.43056878106290714,10,-0.38541563996269296,10,,
