,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank
0,1,1,ミエノクラウン,牡2,55.0,☆西塚,高橋亮,494(+8),栗東,2023102950,01200,サトノクラウン,ミエノサクシード,ステイゴールド,-4.449697101366853,11
1,2,2,アクティングエリア,牝2,55.0,和田竜,天間,438(-6),美浦,2023109090,01018,シルバーステート,クエルクス,フジキセキ,-1.651644810191588,4
2,3,3,サトノビダーヤ,牡2,56.0,酒井,高橋康,468(+2),栗東,2023107379,01034,サトノジェネシス,バシマー,Grand Lodge,-3.4526300287459173,8
3,4,4,シャドウクライ,牝2,55.0,北村友,杉山佳,452(0),栗東,2023103507,01102,アドマイヤマーズ,パールシャドウ,クロフネ,-2.4414726360785135,7
4,5,5,イノリ,牝2,55.0,ジェルー,高橋康,408(0),栗東,2023106508,05680,キセキ,メイユーブルーム,ダンスインザダーク,-3.5164892740172045,9
5,6,6,テーオーアルアイン,牡2,56.0,松山,奥村豊,490(+10),栗東,2023105241,01126,アルアイン,シードラゴン,Siyouni,-0.19800903454755556,2
6,6,7,ラップトップ,牝2,52.0,▲田山,小栗,386(-4),栗東,2023100238,01220,リオンリオン,ラベ,ダンスインザダーク,-1.880782673572157,5
7,7,8,サーブルディアマン,牡2,56.0,西村淳,坂口,472(0),栗東,2023103690,01171,サトノダイヤモンド,サーブルクーリール,Tale of the Cat,-1.9720819272335977,6
8,7,9,ブライトエアリー,牝2,55.0,津村,相沢,458(-8),美浦,2023102362,01092,ウインブライト,イルジオーネ,ワークフォース,-1.470392577735344,3
9,8,10,ヒメヒオウギ,牝2,55.0,古川吉,中竹,410(+14),栗東,2023106148,01015,コントレイル,クロコスミア,ステイゴールド,-4.092117743586298,10
10,8,11,インナーヴォイス,牡2,55.0,☆吉村,清水久,456(+4),栗東,2023102751,01216,キタサンブラック,アンジュミノル,ルーラーシップ,-0.1620959383108386,1
