,peds_0,peds_1,peds_2,peds_3,peds_4,peds_5,peds_6,peds_7,peds_8,peds_9,peds_10,peds_11,peds_12,peds_13,peds_14,peds_15,peds_16,peds_17,peds_18,peds_19,peds_20,peds_21,peds_22,peds_23,peds_24,peds_25,peds_26,peds_27,peds_28,peds_29,peds_30,peds_31,peds_32,peds_33,peds_34,peds_35,peds_36,peds_37,peds_38,peds_39,peds_40,peds_41,peds_42,peds_43,peds_44,peds_45,peds_46,peds_47,peds_48,peds_49,peds_50,peds_51,peds_52,peds_53,peds_54,peds_55,peds_56,peds_57,peds_58,peds_59,peds_60,peds_61
2017102984,フェノーメノ,プリティホワイト,ステイゴールド,ディラローシェ,クロフネ,レディタキオン,サンデーサイレンス,ゴールデンサッシュ,デインヒル,Sea Port,フレンチデピュティ,ブルーアヴェニュー,アグネスタキオン,オースミシャイン,Halo,Wishing Well,ディクタス,ダイナサッシュ,Danzig,Razyana,Averof,Anchor,Deputy Minister,Mitterand,Classic Go Go,Eliza Blue,サンデーサイレンス,アグネスフローラ,シンボリルドルフ,コランデアガール,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sanctus,Doronic,ノーザンテースト,ロイヤルサッシュ,Northern Dancer,Pas de Nom,His Majesty,Spring Adieu,Sing Sing,Argentina,Major Portion,Ripeck,Vice Regent,Mint Copy,Hold Your Peace,Laredo Lass,Pago Pago,Classic Perfection,Icecapade,コレラ,Halo,Wishing Well,ロイヤルスキー,アグネスレディー,パーソロン,スイートルナ,ネヴァービート,ヤヨイカマダ
2017103875,パイロ,ハッピーヴァリュー,Pulpit,Wild Vision,ゼンノロブロイ,ネームヴァリュー,A.P. Indy,Preach,Wild Again,Carol's Wonder,サンデーサイレンス,ローミンレイチェル,Honour and Glory,マジソンカウンティ,Seattle Slew,Weekend Surprise,Mr. Prospector,Narrate,Icecapade,Bushel-n-Peck,Pass the Tab,Carols Christmas,Halo,Wishing Well,マイニング,One Smart Lady,Relaunch,Fair to All,Seattle Slew,Steal a Kiss,Bold Reasoning,My Charmer,Secretariat,Lassie Dear,Raise a Native,Gold Digger,Honest Pleasure,State,Nearctic,Shenanigans,Khaled,Dama,Al Hattab,Dantina,Whitesburg,Light Verse,Hail to Reason,Cosmah,Understanding,Mountain Flower,Mr. Prospector,I Pass,Clever Trick,Pia's Lady,In Reality,Foggy Note,Al Nasr,Gonfalon,Bold Reasoning,My Charmer,Graustark,Queen's Paradise
2017104952,ディープインパクト,メイキアシー,サンデーサイレンス,ウインドインハーヘア,Sadler's Wells,Gwynn,Halo,Wishing Well,Alzao,Burghclere,Northern Dancer,Fairy Bridge,Darshaan,Victoress,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Nearctic,Natalma,Bold Reason,Special,Shirley Heights,Delsy,Conquistador Cielo,Royal Statute,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Crepello,Sans le Sou,Queen's Hussar,Highlight,Nearco,Lady Angela,Native Dancer,Almahmoud,Hail to Reason,Lalun,Forli,Thong,Mill Reef,Hardiemma,Abdos,Kelty,Mr. Prospector,K D Princess,Northern Dancer,Queen's Statute
2017102804,トビーズコーナー,ヨシサプライズ,Bellamy Road,Brandon's Ride,フサイチコンコルド,ヨシザマミー,Concerto,Hurry Home Hillary,Mister Frisky,Mrs. Bumble,Caerleon,バレークイーン,トニービン,ホマレノグレイス,Chief's Crown,Undeniably,Deputed Testamony,Ten Cents a Turn,Marsayas,Frisky Flyer,Restivo,Bumble,Nijinsky,Foreseer,Sadler's Wells,Sun Princess,カンパラ,Severn Bridge,ブレイヴェストローマン,エイショウグレイス,Danzig,Six Crowns,In Reality,Past Forgetting,Traffic Cop,Proof Requested,Cozzene,Rub al Khali,Damascus,Extra Place,Highest Tide,Eager Nymph,Restless Native,Jaffa,Poker,Distant Scene,Northern Dancer,Flaming Page,Round Table,Regal Gleam,Northern Dancer,Fairy Bridge,イングリッシュプリンス,Sunny Valley,Kalamoun,State Pension,Hornbeam,Priddy Fair,Never Bend,Roman Song,ボールドリック,オヒデ
2017103670,ダイワメジャー,モンテミウ,サンデーサイレンス,スカーレットブーケ,ボストンハーバー,シンメイミネルバ,Halo,Wishing Well,ノーザンテースト,スカーレットインク,Capote,Harbor Springs,Caerleon,フジャブ,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Crimson Satan,Consentida,Seattle Slew,Too Bald,Vice Regent,Tinnitus,Nijinsky,Foreseer,Woodman,Winters' Love,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Nearctic,Natalma,Victoria Park,Lady Angela,Spy Song,Papila,Beau Max,La Menina,Bold Reasoning,My Charmer,Bald Eagle,Hidden Talent,Northern Dancer,Victoria Regina,Restless Wind,Dors,Northern Dancer,Flaming Page,Round Table,Regal Gleam,Mr. Prospector,プレイメイト,Danzig,Cold Hearted
2017102434,ヴィクトワールピサ,クライフォージョイ,ネオユニヴァース,ホワイトウォーターアフェア,サクラバクシンオー,ノーモアクライ,サンデーサイレンス,ポインテッドパス,Machiavellian,Much Too Risky,サクラユタカオー,サクラハゴロモ,Cozzene,Rain Symphony,Halo,Wishing Well,Kris,Silken Way,Mr. Prospector,Coup de Folie,Bustino,Short Rations,テスコボーイ,アンジェリカ,ノーザンテースト,クリアアンバー,Caro,Ride the Trails,Fappiano,Raise an Heiress,Hail to Reason,Cosmah,Understanding,Mountain Flower,Sharpen Up,Doubly Sure,Shantung,Boulevard,Raise a Native,Gold Digger,Halo,Raise the Standard,Busted,Ship Yard,Lorenzaccio,Short Commons,Princely Gift,Suncourt,ネヴァービート,スターハイネス,Northern Dancer,Lady Victoria,Ambiopoise,One Clear Call,フォルティノ,Chambord,Prince John,Wildwook,Mr. Prospector,Killaloe,Raise a Native,Mellow Marsh
2017100372,ノヴェリスト,シャラポワ,Monsun,Night Lagoon,サンデーサイレンス,ウインブルドン,Konigsstuhl,Mosella,Lagunas,Nenuphar,Halo,Wishing Well,Blushing Groom,Tournament Star,Dschingis Khan,Konigskronung,Surumu,Monasia,イルドブルボン,Liranga,Night Shift,Narola,Hail to Reason,Cosmah,Understanding,Mountain Flower,Red God,Runaway Bride,Nijinsky,Chris Evert,Tamerlane,Donna Diana,Tiepoletto,Kronung,Literat,Surama,Authi,Monacensia,Nijinsky,Roseliere,Literat,Love In,Northern Dancer,Ciboulette,Nebos,Nubia,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Nasrullah,Spring Run,Wild Risk,Aimee,Northern Dancer,Flaming Page,Swoon's Son,Miss Carmie
2017102557,ブラックタイド,アリゲーターアリー,サンデーサイレンス,ウインドインハーヘア,Gone West,Mackie,Halo,Wishing Well,Alzao,Burghclere,Mr. Prospector,Secrettame,Summer Squall,Glowing Tribute,Hail to Reason,Cosmah,Understanding,Mountain Flower,Lyphard,Lady Rebecca,Busted,Highclere,Raise a Native,Gold Digger,Secretariat,Tamerett,Storm Bird,Weekend Surprise,Graustark,Admiring,Turn-to,Nothirdchance,Cosmic Bomb,Almahmoud,Promised Land,Pretty Ways,Montparnasse,Edelweiss,Northern Dancer,Goofed,Sir Ivor,Pocahontas,Crepello,Sans le Sou,Queen's Hussar,Highlight,Native Dancer,Raise You,Nashua,Sequence,Bold Ruler,Somethingroyal,Tim Tam,Mixed Marriage,Northern Dancer,South Ocean,Secretariat,Lassie Dear,Ribot,Flower Bowl,Hail to Reason,Searching
2017109160,スクワートルスクワート,クサナギノツルギ,Marquetry,Lost the Code,デュランダル,センボンザクラ,Conquistador Cielo,Regent's Walk,Lost Code,Smarter By the Day,サンデーサイレンス,サワヤカプリンセス,サクラユタカオー,ダイナフランダース,Mr. Prospector,K D Princess,Vice Regent,Lover's Walk,Codex,Loss Or Gain,Smarten,Tentamara,Halo,Wishing Well,ノーザンテースト,スコッチプリンセス,テスコボーイ,アンジェリカ,ノーザンテースト,レディフランダーズ,Raise a Native,Gold Digger,Bold Commander,タミーズターン,Northern Dancer,Victoria Regina,Never Bend,Honey Lake,Arts and Letters,Roundup Rose,Ack Ack,Gain Or Loss,Cyane,Smartaire,Tentam,Hardy Climber,Hail to Reason,Cosmah,Understanding,Mountain Flower,Northern Dancer,Lady Victoria,Creme dela Creme,Meadow Saffron,Princely Gift,Suncourt,ネヴァービート,スターハイネス,Northern Dancer,Lady Victoria,Chieftain,Moll Flanders
2017106296,グランプリボス,メイショウホノボノ,サクラバクシンオー,ロージーミスト,メイショウサムソン,シャドウスプリング,サクラユタカオー,サクラハゴロモ,サンデーサイレンス,ビューティフルベーシック,オペラハウス,マイヴィヴィアン,デインヒル,アピーリングラス,テスコボーイ,アンジェリカ,ノーザンテースト,クリアアンバー,Halo,Wishing Well,Secretariat,Nervous Pillow,Sadler's Wells,Colorspin,ダンシングブレーヴ,ウイルプリンセス,Danzig,Razyana,Cutlass,Appealing Taste,Princely Gift,Suncourt,ネヴァービート,スターハイネス,Northern Dancer,Lady Victoria,Ambiopoise,One Clear Call,Hail to Reason,Cosmah,Understanding,Mountain Flower,Bold Ruler,Somethingroyal,Nervous Energy,Fathers Pillow,Northern Dancer,Fairy Bridge,High Top,Reprocolor,Lyphard,Navajo Princess,サンプリンス,エール,Northern Dancer,Pas de Nom,His Majesty,Spring Adieu,Damascus,Aphonia,Valid Appeal,Out to Lunch
