,枠,馬番,馬名,性齢,斤量,騎手,厩舎,馬体重(増減),所属,horse_id,jockey_id,peds_0,peds_1,peds_4,score,rank,score_hitrate,rank_hitrate,score_value,rank_value,idx_hitrate,idx_value,idx_mar,rank_mar
0,1,1,チャリティチャリス,牡3,57.0,ディー,浅利,466(0),美浦,2023103473,5674,ブリックスアンドモルタル,チャリティーライン,Manduro,-0.6914073777731974,5,-0.019480427470262,3,,11,55.0,45.5,51.7,4
1,2,2,ブルーフレア,牡3,57.0,大野,辻,494(-2),美浦,2023106046,1096,エイシンフラッシュ,ビキニクィーン,キングヘイロー,1.140348506206793,2,0.0446513287332008,2,,1,55.4,81.5,77.3,1
2,3,3,キョウエイシュバル,牡3,57.0,原,萱野,478(+2),美浦,2023100303,1184,リアルスティール,ボヘミアンシュバル,マジェスティックウォリアー,-1.2934596567587917,9,-0.0405589294231265,6,,2,47.3,49.2,44.3,7
3,4,4,エクストラプッシュ,牡3,57.0,岩田望,奥村豊,532(-2),栗東,2023105329,1174,ナダル,ヘアケイリー,ディープインパクト,-1.2934596567587917,9,-0.0405589294231265,1,,3,77.3,48.8,60.6,2
4,5,5,タフバディ,牡3,57.0,小林脩,加藤和,480(-17),美浦,2023100459,1183,キタサンブラック,エジル,Stormy Atlantic,-1.2934596567587917,9,-0.0405589294231265,12,,7,41.7,47.1,43.9,12
5,5,6,インサラータ,牝3,55.0,池添,小笠,426(-4),美浦,2023107215,1032,ニューイヤーズデイ,プロレタリアト,ハーツクライ,-1.2934596567587917,9,-0.0405589294231265,11,,12,41.8,45.5,44.1,10
6,6,7,アイムスティルミー,セ3,57.0,江田照,手塚久,438(0),美浦,2023106595,689,ダノンバラード,チェリッシュユー,ヴィクトワールピサ,1.140348506206793,2,0.0446513287332008,4,,6,52.6,47.3,49.2,5
7,6,8,アイスアイスベイビ,牡3,57.0,木幡巧,岩戸,464(+4),美浦,2023102937,1162,ゴールドシップ,ブライテストリング,ダノンシャンティ,1.140348506206793,2,0.0446513287332008,5,,8,52.1,46.5,51.9,3
8,7,9,ネイティヴプライド,牡3,57.0,菅原明,高木,476(+2),美浦,2023105319,1179,クリソベリル,ビキニブロンド,キングカメハメハ,-0.6914073777731974,5,-0.019480427470262,7,,9,46.2,46.4,44.5,6
9,7,10,オーキッドワン,牡3,57.0,柴田大,水野,452(-4),美浦,2023100313,1009,リオンディーズ,クレーンズラヴァー,ゼンノロブロイ,-1.2934596567587917,9,-0.0405589294231265,10,,10,42.0,46.3,44.3,9
10,8,11,ガビーズメロディ,牡3,57.0,ゴンサルベ,伊坂,476(+10),美浦,2023106214,5675,ミスターメロディ,アイナ,ステイゴールド,-1.2934596567587917,9,-0.0405589294231265,8,,5,45.8,47.4,44.3,8
11,8,12,ホグホグナナハン,牡3,57.0,丹内,小笠,460(-4),美浦,2023104610,1091,オルフェーヴル,クリッピングエリア,シンボリクリスエス,0.6809723368069901,4,0.0285680718105493,9,,4,42.7,48.4,44.0,11
